pid,id,assignee,type,contentid,title
meqzp01,meqzp01088,system,QuizItem,meqzp01088,vt.&n.感谢
meqzp01,meqzp01089,system,QuizItem,meqzp01089,vt.告诉，讲述
meqzp01,meqzp01090,system,QuizItem,meqzp01090,vt.给，付出
meqzp01,meqzp01091,system,QuizItem,meqzp01091,vt.观看，注意
meqzp01,meqzp01092,system,QuizItem,meqzp01092,vt.看见，领会
meqzp01,meqzp01093,system,QuizItem,meqzp01093,vt.拿走，乘坐
meqzp01,meqzp01094,system,QuizItem,meqzp01094,vt.让
meqzp01,meqzp01095,system,QuizItem,meqzp01095,vt.说，讲
meqzp01,meqzp01096,system,QuizItem,meqzp01096,vt.想，需要
meqzp01,meqzp01097,system,QuizItem,meqzp01097,vt.有，吃
meqzp01,meqzp01098,system,QuizItem,meqzp01098,vt.遇见n.会面
meqzp01,meqzp01099,system,QuizItem,meqzp01099,vt.找到，发现
meqzp01,meqzp01100,system,QuizItem,meqzp01100,vt.制造，使得
meqzp01,meqzp01101,system,QuizItem,meqzp01101,vt.种植n.植物
meqzp02,meqzp02000,system,QuizItem,meqzp02000,can
meqzp02,meqzp02001,system,QuizItem,meqzp02001,look
meqzp02,meqzp02002,system,QuizItem,meqzp02002,walk
meqzp02,meqzp02003,system,QuizItem,meqzp02003,exercise
meqzp02,meqzp02004,system,QuizItem,meqzp02004,worry
meqzp02,meqzp02005,system,QuizItem,meqzp02005,call
meqzp02,meqzp02006,system,QuizItem,meqzp02006,stop
meqzp02,meqzp02007,system,QuizItem,meqzp02007,talk
meqzp02,meqzp02008,system,QuizItem,meqzp02008,travel
meqzp02,meqzp02009,system,QuizItem,meqzp02009,use
meqzp02,meqzp02010,system,QuizItem,meqzp02010,work
meqzp02,meqzp02011,system,QuizItem,meqzp02011,dance
meqzp02,meqzp02012,system,QuizItem,meqzp02012,cook
meqzp02,meqzp02013,system,QuizItem,meqzp02013,love
meqzp02,meqzp02014,system,QuizItem,meqzp02014,help
meqzp02,meqzp02015,system,QuizItem,meqzp02015,cry
meqzp02,meqzp02016,system,QuizItem,meqzp02016,visit
meqzp02,meqzp02017,system,QuizItem,meqzp02017,about
meqzp02,meqzp02018,system,QuizItem,meqzp02018,far
meqzp02,meqzp02019,system,QuizItem,meqzp02019,half
meqzp02,meqzp02020,system,QuizItem,meqzp02020,that
meqzp02,meqzp02021,system,QuizItem,meqzp02021,those
meqzp02,meqzp02022,system,QuizItem,meqzp02022,this
meqzp02,meqzp02023,system,QuizItem,meqzp02023,these
meqzp02,meqzp02024,system,QuizItem,meqzp02024,white
meqzp02,meqzp02025,system,QuizItem,meqzp02025,thin
meqzp02,meqzp02026,system,QuizItem,meqzp02026,sad
meqzp02,meqzp02027,system,QuizItem,meqzp02027,ugly
meqzp02,meqzp02028,system,QuizItem,meqzp02028,clever
meqzp02,meqzp02029,system,QuizItem,meqzp02029,wrong
meqzp02,meqzp02030,system,QuizItem,meqzp02030,big
meqzp02,meqzp02031,system,QuizItem,meqzp02031,short
meqzp02,meqzp02032,system,QuizItem,meqzp02032,sorry
meqzp02,meqzp02033,system,QuizItem,meqzp02033,cloudy
meqzp02,meqzp02034,system,QuizItem,meqzp02034,tall
meqzp02,meqzp02035,system,QuizItem,meqzp02035,high
meqzp02,meqzp02036,system,QuizItem,meqzp02036,afraid
meqzp02,meqzp02037,system,QuizItem,meqzp02037,good
meqzp02,meqzp02038,system,QuizItem,meqzp02038,black
meqzp02,meqzp02039,system,QuizItem,meqzp02039,bad
meqzp02,meqzp02040,system,QuizItem,meqzp02040,yellow
meqzp02,meqzp02041,system,QuizItem,meqzp02041,hungry
meqzp02,meqzp02042,system,QuizItem,meqzp02042,healthy
meqzp02,meqzp02043,system,QuizItem,meqzp02043,near
meqzp02,meqzp02044,system,QuizItem,meqzp02044,wonderful
meqzp02,meqzp02045,system,QuizItem,meqzp02045,open
meqzp02,meqzp02046,system,QuizItem,meqzp02046,fast
meqzp02,meqzp02047,system,QuizItem,meqzp02047,old
meqzp02,meqzp02048,system,QuizItem,meqzp02048,cold
meqzp02,meqzp02049,system,QuizItem,meqzp02049,cool
meqzp02,meqzp02050,system,QuizItem,meqzp02050,all
meqzp02,meqzp02051,system,QuizItem,meqzp02051,aux.能够；可以n.罐头
meqzp02,meqzp02052,system,QuizItem,meqzp02052,n.看v.观看
meqzp02,meqzp02053,system,QuizItem,meqzp02053,n.&v•步行：散步
meqzp02,meqzp02054,system,QuizItem,meqzp02054,n.&v.锻炼；练习
meqzp02,meqzp02055,system,QuizItem,meqzp02055,n.&v.烦恼，担忧；困扰
meqzp02,meqzp02056,system,QuizItem,meqzp02056,n.喊；电话v.称呼；打电话
meqzp02,meqzp02057,system,QuizItem,meqzp02057,n.&v.停止
meqzp02,meqzp02058,system,QuizItem,meqzp02058,n.&v.谈话；交谈
meqzp02,meqzp02059,system,QuizItem,meqzp02059,n.&vi.旅行
meqzp02,meqzp02060,system,QuizItem,meqzp02060,n.&vt.利用;使用
meqzp02,meqzp02061,system,QuizItem,meqzp02061,n.&v.工作；运转
meqzp02,meqzp02062,system,QuizItem,meqzp02062,n.&vi.跳舞
meqzp02,meqzp02063,system,QuizItem,meqzp02063,n.厨师v.做饭
meqzp02,meqzp02064,system,QuizItem,meqzp02064,n.&vt.爱；热爱
meqzp02,meqzp02065,system,QuizItem,meqzp02065,n.&vt.帮助
meqzp02,meqzp02066,system,QuizItem,meqzp02066,n.哭声v.喊叫；哭
meqzp02,meqzp02067,system,QuizItem,meqzp02067,n.&vt.参观；访问
meqzp02,meqzp02068,system,QuizItem,meqzp02068,ad.大约a.在附近的prep.关于
meqzp02,meqzp02069,system,QuizItem,meqzp02069,a.&ad.远的；遥远地
meqzp02,meqzp02070,system,QuizItem,meqzp02070,a.&n.一半
meqzp02,meqzp02071,system,QuizItem,meqzp02071,a.&pron.那个conj.那ad.那么
meqzp02,meqzp02072,system,QuizItem,meqzp02072,a.&pron.那些
meqzp02,meqzp02073,system,QuizItem,meqzp02073,a.&pron.这
meqzp02,meqzp02074,system,QuizItem,meqzp02074,a.&pron.这些
meqzp02,meqzp02075,system,QuizItem,meqzp02075,a.白色的n.白色
meqzp02,meqzp02076,system,QuizItem,meqzp02076,a.薄的；瘦的
meqzp02,meqzp02077,system,QuizItem,meqzp02077,a难过的；.悲伤的
meqzp02,meqzp02078,system,QuizItem,meqzp02078,a.丑陋的
meqzp02,meqzp02079,system,QuizItem,meqzp02079,a.聪明的；伶俐的
meqzp02,meqzp02080,system,QuizItem,meqzp02080,a.错误的；不正常的;坏事
meqzp02,meqzp02081,system,QuizItem,meqzp02081,a.大的ad.大量地
meqzp02,meqzp02082,system,QuizItem,meqzp02082,a.短的；矮的
meqzp02,meqzp02083,system,QuizItem,meqzp02083,a.对不起；难过的
meqzp02,meqzp02084,system,QuizItem,meqzp02084,a.多云的；阴天的
meqzp02,meqzp02085,system,QuizItem,meqzp02085,a.高的a.高的ad.高地
meqzp02,meqzp02086,system,QuizItem,meqzp02086,a.高的a.高的ad.高地
meqzp02,meqzp02087,system,QuizItem,meqzp02087,a.害怕的;担心的
meqzp02,meqzp02088,system,QuizItem,meqzp02088,a.好;良好
meqzp02,meqzp02089,system,QuizItem,meqzp02089,a.黑的n.黑色
meqzp02,meqzp02090,system,QuizItem,meqzp02090,a.坏的;严重的n.坏人ad.不好地
meqzp02,meqzp02091,system,QuizItem,meqzp02091,a.黄色的
meqzp02,meqzp02092,system,QuizItem,meqzp02092,a.饥饿的
meqzp02,meqzp02093,system,QuizItem,meqzp02093,a.健康的
meqzp02,meqzp02094,system,QuizItem,meqzp02094,a.近的
meqzp02,meqzp02095,system,QuizItem,meqzp02095,a.精彩的；了不起的
meqzp02,meqzp02096,system,QuizItem,meqzp02096,a.开着的vt.打开
meqzp02,meqzp02097,system,QuizItem,meqzp02097,a.快的，迅速的ad.迅速地
meqzp02,meqzp02098,system,QuizItem,meqzp02098,a.老的，旧的
meqzp02,meqzp02099,system,QuizItem,meqzp02099,a.冷的n.寒冷；感冒
meqzp02,meqzp02100,system,QuizItem,meqzp02100,a.凉爽的；酷
meqzp02,meqzp02101,system,QuizItem,meqzp02101,a.全部的pron.全部ad.全部地n.全体
