序号,单词,exchange,音标,中文意思,
210,applicant,,/ˈæplɪkənt/,n.申请人,
211,application,,/æplɪˈkeɪʃ(ə)n/,n.申请,
212,apply,,/əˈplaɪ/,v.申请,
213,appoint,,/əˈpɔɪnt/,v.任命，委任，安排，确定（时间，地点）,
214,appointment,,/əˈpɔɪntmənt/,n.约会,
215,appreciate,,/əˈpriːʃɪeɪt/,v.欣赏；感激,
216,appreciation,,/əpriːʃɪˈeɪʃ(ə)n/,n.欣赏，鉴定，评估,
217,approach,,/əˈprəʊtʃ/,n./v.靠近，接近，建议，要求,
218,appropriate,,/əˈprəʊprɪət/,a.合适的，恰当的,
219,approve,,/əˈpruːv/,v.赞成，同意，批准，通过,
220,approximately,,/əprɔksɪˈmətlɪ/,ad.近似，大约,
221,apron,,/ˈeɪprən/,n.（机场的）停机坪,
222,arbitrary,,/ˈɑːbɪtrərɪ;(US)ˈɑːrbɪtrerɪ/,a.随心所欲的，独裁的，专断的,
223,arch,,/ɑːtʃ/,n.拱，拱门,
224,architect,,/ˈɑːkɪtekt/,n.建筑师，设计师,
225,architecture,,/ˈɑːkɪtektʃə(r)/,n.建筑学，建筑设计，风格,
226,April,,/ˈeɪpr(ə)l/,n.4月,
227,Arab,,/ˈærəb/,*a.阿拉伯的n.阿拉伯人,
228,Arabic,,/ˈærəbɪk/,a.阿拉伯语的n.阿拉伯语,
229,Arctic,,/ˈɑːktɪk/,a.北极的,
230,theArctic,,/ˈɑːktɪk/,北极,
231,theArcticOcean,,/ˈɑːktɪkˈəʊʃ(ə)n/,北冰洋,
232,are,,/ɑː(r)/,v.(be)是,
233,area,,/ˈeərɪə/,n.面积；地域，地方，区域；范围，领域,
234,argue,,/ˈɑːɡjuː/,vi.争辩，争论,
235,argument,,/ˈɑːɡjʊmənt/,n.争论，辩论,
236,arise,,/əˈraɪz/,vi.起来，升起；出现,
237,arose,,/əˈraɪz/,vi.起来，升起；出现,
238,arisen,,/əˈraɪz/,vi.起来，升起；出现,
239,arise,,(arose，arisen)/əˈraɪz/,vi.起来，升起；出现,
240,arithmetic,,/əˈrɪθmətɪk/,n.算术,
241,arm,,/ɑːm/,n.臂，支架v.以…装备，武装起来n.（美）武器，武力,
242,armchair,,/ɑːmˈtʃeə(r)/,n.扶手椅,
243,army,,/ˈɑːmɪ/,n.军队,
244,around,,/əˈraʊnd/,ad.在周围；在附近prep.在……周围；大约,
245,arrange,,/əˈreɪndʒ/,v.安排，布置,
246,arrangement,,/əˈreɪndʒmənt/,n.安排，布置,
247,arrest,,/əˈrest/,v.逮捕，拘留,
248,arrival,,/əˈraɪv(ə)l/,n.到来，到达,
249,arrive,,/əˈraɪv/,vi.到达；达到,
250,arrow,,/ˈærəʊ/,n.箭；箭头,
251,art,,/ɑːt/,n.艺术，美术；技艺,
252,article,,/ˈɑːtɪk(ə)l/,n.文章;东西，物品;冠词,
253,artificial,,/ɑːtɪˈfɪʃ(ə)l/,a.人工的，人造的,
254,artist,,/ˈɑːtɪst/,n.艺术家,
255,as,,/əz，æz/,ad.&conj.像……一样；如同；因为prep.作为，当做,
256,ash,,/æʃ/,n.灰；灰末,
257,ashamed,,/əˈʃeɪmd/,a.惭愧；害臊,
258,Asia,,/ˈeɪʃə/,*n.亚洲,
259,Asian,,/ˈeɪʃ(ə)n，ˈeɪʒ(ə)n/,a.亚洲（人）的n.亚洲人,
260,aside,,/əˈsaɪd/,ad.在旁边,
261,ask,,/ɑːsk/,v.问；请求，要求；邀请,
262,asleep,,/əˈsliːp/,a.睡着的，熟睡,
263,aspect,,/ˈæspekt/,n.方面，外观，外表,
264,assess,,/əˈses/,v.评价，评定（性质，质量）,
265,assessment,,/əˈsesmənt/,n.看法，评价,
266,assist,,/əˈsɪst/,v.帮助，协助,
267,assistance,,/əˈsɪst(ə)ns/,n.帮助，援助，支持,
268,assistant,,/əˈsɪst(ə)nt/,n.助手，助理,
269,associate,,/əˈsəʊʃɪeɪt/,v.联想，联系,
270,association,,/əsəʊsɪˈeɪʃ(ə)n/,n.协会，社团，联系,
271,assume,,/əˈsjuːm;(US)əˈsuːm/,v.假定，假设,
272,assumption,,/əˈsʌmpʃ(ə)n/,n.假定，假设,
273,astonish,,/əˈstɔnɪʃ/,vt.使惊讶,
274,astronaut,,/ˈæstrənɔːt/,n.宇航员,
275,astronomer,,/əˈstrɔnəmə(r)/,n.天文学家,
276,astronomy,,/əˈstrɔnəmɪ/,n.天文学,
277,at,,/æt/,prep.在（几点钟）;在（某处）,
278,athlete,,/ˈæθliːt/,n.运动员,
279,athletic,,/æθˈletɪk/,a.健壮的，体育运动的,
280,athletics,,/æθˈletɪks/,n.田径,
281,Atlantic,,/ətˈlæntɪk/,a.大西洋的,
282,theAtlanticOcean,,/ətˈlæntɪkˈəʊʃ(ə)n/,大西洋,
283,atmosphere,,/ˈætməsfɪə(r)/,n.大气；气氛,
284,atom,,/ˈætəm/,n.原子，微粒,
285,attach,,/əˈtætʃ/,v.把…固定，重视,
286,attack,,/əˈtæk/,vt./n.攻击，袭击,
287,attain,,/əˈteɪn/,v.（经过努力）获得，得到,
288,attempt,,/əˈtempt/,vt.试图，尝试,
289,attend,,/əˈtend/,v.看护，照料，服侍；出席，参加,
290,attention,,/əˈtenʃ(ə)n/,n.注意，关心,
291,attentively,,/ə'tentɪvli/,ad.注意地,
292,attitude,,/ˈætɪtjuːd;(US)ˈætɪtʊd/,n.态度，看法,
293,attract,,/əˈtrækt/,v.吸引，引起,
294,attraction,,/əˈtrækʃ(ə)n/,n.吸引，爱慕,
295,attractive,,/əˈtræktɪv/,a.迷人的，有吸引力的,
296,audience,,/ˈɔːdɪəns/,n.观众，听众,
297,authentic,,/ɜːˈθentɪk/,a.真正的，真品的,
298,author,,/ˈɔːθə(r)/,n.作者，作家,
299,authority,,/ɔːˈθɔrɪtɪ/,n.权力，权威，威信，官方,
300,automatic,,/ɔːtəˈmætɪk/,a.自动的，机械的,
301,autonomous,,/ɔːˈtɔnəməs/,a.自治的，自主的,
302,August,,/ˈɔːɡəst/,n.8月,
303,aunt,,/ɑːnt;(US)ænt/,n.伯母；舅母；婶；姑；姨,
304,Australia,,/ɔˈstreɪljə/,*n.澳洲；澳大利亚,
305,Australian,,/ɔˈstreɪlɪən/,a.澳洲的，澳大利亚人的n.澳大利亚人,
306,autumn,,/ˈɔːtəm/,n.秋天，秋季,
307,available,,/ˈɔːtəm/,a.可获得的，有空的,
308,avenue,,/ˈævənjuːˈævənuː/,n.大道,
309,average,,/ˈævərɪdʒ/,a.平均；普通的n.平均数,
310,avoid,,/əˈvɔɪd/,v.避免，躲开，逃避,
311,awake,,(awoke，awoken)/əˈweɪk/,v.唤醒a.醒着的,
312,award,,/wɔːd/,n.奖品，奖励,
313,aware,,/əˈweə(r)/,a.知道，意识到，发觉,
314,away,,/əˈweɪ/,ad.离开；远离,
315,awesome,,/ˈɔːsəm/,a.令人惊叹，很困难的,
316,awful,,/ˈɔːfʊl/,a.很坏的，极讨厌的,
317,awkward,,/ˈɔːkwəd/,a.令人尴尬，使人难堪的,
318,Baby,,/ˈbeɪbɪ/,n.婴儿,
319,bachelor,,/ˈbætʃələ(r)/,n.未婚男子，单身汉,
320,back,,/bæk/,ad.回（原处）；向后a.后面的n.背后，后部；背,
321,backache,,/ˈbækeɪk/,n.背痛,
322,background,,/ˈbækɡraʊnd/,n.背景,
323,backward,(backwards),/ˈbækwəd/,ad.向后,
324,bacon,,/ˈbeɪkən/,n.咸猪肉；熏猪肉,
325,bacterium,,/bækˈtɪərɪəm/,(复bacteria)n.细菌,
326,bad,,/bæd/,a.坏的；有害的，不利的；严重的,
327,worse,,/bæd/,a.坏的；有害的，不利的；严重的,
328,worst,,/bæd/,a.坏的；有害的，不利的；严重的,
329,bad,,(worse，worst)/bæd/,a.坏的；有害的，不利的；严重的,
330,badly,,/ˈbædlɪ/,ad.坏，恶劣地,
331,badminton,,/ˈbædmɪntən/,n.羽毛球,
332,bag,,/bæɡ/,n.书包；提包；袋子,
333,baggage,,/ˈbæɡɪdʒ/,n.行李,
334,bake,,/beɪk/,v.烤；烘（面包）,
335,bakery,,/ˈbeɪkərɪ/,n.面包店,
336,balance,,/ˈbæləns/,n.平衡,
337,balcony,,/ˈbælkənɪ/,n.阳台；楼座,
338,ball,,/bɔːl/,n.球n.舞会,
339,ballet,,/ˈbæleɪ/,n.芭蕾舞,
340,balloon,,/bəˈluːn/,n.气球,
341,ballpoint,,/`bɔl，pɔɪnt/,圆珠笔,
342,ballpoint,(ballpointpen),/`bɔl，pɔɪnt/,圆珠笔,
343,bamboo,,/bæmˈbuː/,n.竹,
344,ban,,/bæn/,n.禁令v.禁止；取缔,
345,banana,,/bəˈnɑːnə;(US)bəˈnænə/,n.香蕉,
346,band,,/bænd/,n.乐队,
347,bandage,,/ˈbændɪdʒ/,n.绷带,
348,bang,,/bæŋ/,int.砰,
349,bank,,/bæŋk/,n.（河海湖的）岸，堤n.银行,
350,bankaccount,,/bæŋkəˈkaʊnt/,n.银行账户,
351,bar,,/bɑː(r)/,n.条（长方）块，棒，横木n.（酒店的）买酒柜台；酒吧；（卖东西的）柜台,
352,barbecue,,/ˈbɑːbɪkjuː/,n.烤肉野餐,
353,barber,,/ˈbɑːbə(r)/,n.（为男人理发）理发师,
354,barbershop,,/`bɑrbər，ʃɑp/,n.理发店,
355,bare,,/beə(r)/,a.裸露的，光秃秃的,
356,bargain,,/ˈbɑːɡɪn/,n.（经讨价还价后）成交的商品；廉价货v.讨价还价,
357,bark,,/bɑːk/,v.狗叫n.狗叫声,
358,barrier,,/'bærɪə/,n.屏障，障碍，关卡,
359,base,,/beɪs/,n.根据地，基地（棒球）垒,
360,baseball,,/ˈbeɪsbɔːl/,n.棒球,
361,basement,,/ˈbeɪsmənt/,n.地下室,
362,basic,,/ˈbeɪsɪk/,a.基本的,
363,basin,,/ˈbeɪs(ə)n/,n.水盆，脸盆,
364,basis,,/ˈbeɪsɪs/,n.原因，缘由，要素,
365,basket,,/ˈbɑːskɪt;(US)ˈbæskɪt/,n.篮子,
366,basketball,,/ˈbɑːskɪtbɔːl/,n.篮球,
367,bat,,/bæt/,n.（棒球、板球的）球棒n.蝙蝠,
368,bath,,/bɑːθ;(US)bæθ/,n.洗澡；浴室；澡盆,
369,bathe,,/beɪð/,vi.洗澡；游泳,
370,bathrobe,,/ˈbɑːθrəʊb/,n.浴衣,
371,bathroom,,/ˈbɑːθruːm/,n.浴室，盥洗室,
372,bathtub,,/'bɑːθtʌb/,n.澡盆,
373,battery,,/ˈbætərɪ/,n.电池,
374,battle,,/ˈbæt(ə)l/,n.战斗；战役,
375,battleground,,/ˈbæt(ə)lɡraʊnd/,n.战场,
376,bay,,/beɪ/,n.湾；海湾,
377,BC,,/ˌbiːˈsiː/,n.公元前,
378,be,,/biː/,v.是（原形），其人称和时态形式有(am，is，are，was，were，being，been)；成为,
379,beach,,/biːtʃ/,n.海滨，海滩,
380,beam,,/biːm/,n.平衡木,
381,bean,,/biːn/,n.豆，豆科植物,
382,beancurd,,/'biːnkɜːd/,n.豆腐,
383,bear,,/beə(r)/,v.承受，负担，承担；忍受；容忍n.熊,
384,beard,,/bɪəd/,n.（下巴上的）胡须,
385,beast,,/biːst/,n.野兽；牲畜,
386,beat,,/biːt/,v.敲打；跳动；打赢n.（音乐）节拍,
387,beaten,,/biːt/,v.敲打；跳动；打赢n.（音乐）节拍,
388,beat,,(beaten)/biːt/,v.敲打；跳动；打赢n.（音乐）节拍,
389,beautiful,,/ˈbjuːtɪf(ə)l/,a.美，美丽，美观的,
390,beauty,,/ˈbjuːtɪ/,n.美丽，美人,
391,because,,/bɪˈkɔz;(US)bɪˈkɔːz/,conj.因为,
392,become,,(became，become)/bɪˈkʌm/,v.变得；成为,
393,bed,,/bed/,n.床,
394,bedclothes,,/ˈbedkləʊðz/,n.铺盖（被褥等）,
395,beddings,,/ˈbedɪŋ/,n.卧具，铺盖,
396,bedroom,,/ˈbedruːm/,n.寝室，卧室,
397,bee,,/biː/,n..蜜蜂,
398,beef,,/biːf/,n.牛肉,
399,beehive,,/ˈbiːhaɪv/,n.蜂箱,
400,beer,,/bɪə(r)/,n.啤酒,
401,before,,/bɪˈfɔː(r)/,prep.在…以前；在…前面ad.以前conj.在…之前,
402,beg,,/beɡ/,v.请求，乞求，乞讨,
403,begin,,/bɪˈɡɪn/,v.开始，着手,
404,began,,/bɪˈɡɪn/,v.开始，着手,
405,begun,,/bɪˈɡɪn/,v.开始，着手,
406,begin,,(began，begun)/bɪˈɡɪn/,v.开始，着手,
407,beginning,,/bɪˈɡɪnɪŋ/,n.开始，开端,
408,behalf,,/bɪˈhɑːf/,n.代表某人，为了某人,
409,behave,,/bɪˈheɪv/,v.守规矩，行为,
410,behaviour,,/bɪ`heɪvjər/,n.行为，举止,
411,behind,,/bɪˈhaɪnd/,prep.(表示位置)在…后面ad.在后面；向后,
412,being,,/ˈbiːɪŋ/,n.物；生物；人,
413,Belgium,,/ˈbeldʒəm/,*n.比利时,
414,belief,,/bɪˈliːf/,n.信条，信念,
415,believe,,/bɪˈliːv/,v.相信，认为,
416,bell,,/bel/,n.钟，铃;钟(铃)声;钟形物,
417,belly,,/ˈbelɪ/,n.肚子,
418,belong,,/bɪˈlɔŋ/,vi.属，附属,
419,below,,/bɪˈləʊ/,prep.在……下面,
420,belt,,/belt/,n.（皮）带,
421,bench,,/bentʃ/,n.长凳；工作台,
422,bend,,/bend/,vt.使弯曲,
423,bent,,/bend/,vt.使弯曲,
424,bend,(bent),/bend/,vt.使弯曲,
425,beneath,,/bɪˈniːθ/,prep.在…下方（面）,
426,beneficial,,/benɪˈfɪʃ(ə)l/,a.有利的，有帮助的，有用的,
427,benefit,,/ˈbenɪfɪt/,n./v.优势，益处，使…受益,
428,bent,,/bent/,a.弯的,
429,beside,,/bɪˈsaɪd/,prep.在…旁边；靠近,
430,besides,,/bɪˈsaɪdz/,prep.除…以外（还有）ad.还有，此外,
431,best,,/best/,（good，well的最高级）a.&ad.最好的；最好地，最n.最好的（人或物）,
432,best--seller,,/best- ˈselə(r)/,n.畅销书,
433,better,,/ˈbetə(r)/,(good，well的比较级)a.&ad.较好的，更好的；好些；更好地；更，更多n.较好的事物；较优者v.改善；胜过,
