id,type,mchoice,ans,eword,title,opa,opb,desc
"cnwstqi0019","primary","N","B","力","力","X","𠃌 丿","力〈名〉 (象形。甲骨文字形，象耒形，有柄有尖，用以翻地。用耒表示执耒耕作需要花费力气。力'是汉字部首之一。本义体力，力气) 同本义  力，筋也。像人筋之形。--《说文》。筋下曰肉之力也。二篆为转注。"
"cnwstqi0020","primary","N","B","乃","乃","X","𠄎 丿","乃  你，你的  余嘉乃勋。--《左传·僖公十二年》 几败乃公事。--《汉书·高帝纪上》 谁谓乃公勇者?--《史记·淮南衡山传》 王师北定中原日，家祭无忘告乃翁(父亲)。--陆游《示儿》 又如乃父(乃"
"cnwstqi0021","primary","N","B","又","又","X","㇇ ㇏","又  (象形。甲骨文字形，象右手形，本左右的右'。从又'的字多与手的动作有关。本义右手) 同本义  又，手也，象形。--《说文》。段玉裁注此即今之右字。' 又  复，再，再一次  敝予又改为兮。--《"
"cnwstqi0022","primary","N","A","三","三","一 一 一","X","三〈数〉 (指事。本义数目。二加一的和) 同本义  三，天地人之道也。从三数。--《说文》 三，数名。--《广韵》 二与一为三。--《庄子·齐物论》 一生二，二生三，三生万物。--《老子》 王三赐命。"
"cnwstqi0023","primary","N","A","干","干","一 一 丨","X","干〈名〉 (象形。甲骨文字形，象叉子一类的猎具、武器，本是用于进攻的，后来用于防御。本义盾牌) 同本义  盾，自关而东或谓之干。--《方言》九 朱干玉戚以舞大武。--《礼记·祭统》。注朱干，赤盾。'"
"cnwstqi0024","primary","N","A","于","于","一 一 亅","X","于〈动〉 (象形。甲骨文字形，表示气出受阻而仍越过。本义超过) 往;去  之子于归，宜其室家。--《诗·周南·桃夭》。毛传于，往也。' 予惟以尔庶邦于伐殷，逋播臣。--《书·大诰》 取  昼尔于茅，宵"
"cnwstqi0025","primary","N","A","亏","亏","一 一 ㇉","X","亏  (形声。从亏。本义气损) 同本义  亏，气损也。--《说文》。段注引申凡损皆曰亏。' 又如亏柔(犹虚弱);亏退(衰退止息) 欠缺，短少(应该有的而缺少)。与盈'、满'相对  虽监门之服养不亏于此"
"cnwstqi0026","primary","N","B","工","工","X","一 丨 一","工  (象形。甲骨文字形，象工具形。工'、巨'(矩)古同字，有规矩'，即持有工具。本义工匠的曲尺) 同本义  工，巧饰也，象人有规榘也。--《说文》 许君谓工象人有规榘，说颇难通，以巧饰训工，殆非朔义"
"cnwstqi0027","primary","N","A","土","土","一 丨 一","X","土〈名〉 (象形。甲骨文字形，上象土块，下象地面。金文中空廓变填实，小篆又变为线条。本义泥土，土壤) 同本义。沉积于地面上的泥沙混合物。潮湿时称泥土，地质学上称土壤  土，地之吐生物者也。--《说文》"
"cnwstqi0028","primary","N","B","士","士","X","一 丨 一","士〈名〉 (会意。从一，从十。善于做事情，从一开始，到十结束。本义古代男子的美称) 同本义  士，事也。--《说文》 通古今，辩然不，谓之士。--《白虎通·爵》 学以居位曰士。--《汉书·食货志》 以"
"cnwstqi0029","primary","N","A","才","才","一 亅 丿","X","才  (象形。甲骨文字形，上面一横表示土地，下面象草木的茎(嫩芽)刚刚出土，其枝叶尚未出土的样子。本义草木初生) 同本义  才，草木之初也。--《说文》 有才能;有本领  试使斗而才。--《聊斋志异·"
"cnwstqi0030","primary","N","A","下","下","一 丨 丶","X","下  (指事。据甲骨文，上面部分表示位置的界限，下面部分表示在下的意思。本义下面，位置在下) 同本义  下，底也。--《说文》 在南山之下。--《诗·召南·殷其靬》 十月蟋蟀入我床下。--《诗·豳风·"
"cnwstqi0031","primary","N","A","寸","寸","一 亅 丶","X","寸  (指事。小篆字形，从又，从一。又'象手形，一'指下手腕一寸之处。寸'是汉字部首之一，从寸'的字往往与手'有关。本义中医切脉，称距离手腕一寸长的部位为 寸口'，简称寸')  寸，十分也。人手却一寸"
"cnwstqi0032","primary","N","B","大","大","X","一 丿 ㇏","大  (象形。甲骨文字形，象人的正面形，有手有脚。大'是汉字部首之一，从大'的字往往与人类或人事有关。本义大小的大') 形容体积、面积、数量、力量、规模、程度等方面超过一般或超过所比较的对象。与小'相"
"cnwstqi0033","primary","N","A","丈","丈","一 丿 ㇏","X","丈  (会意。小篆字形。从又(手)持十'。十，十尺。本义长度单位，十尺) 同本义  丈，十尺也。--《说文》 度五尺为墨，倍墨谓之丈。--《小尔雅》 遂成丈匹。--《后汉书·列女传》 白发三千丈。--"
"cnwstqi0034","primary","N","A","与","与","一 ㇉ 一","X","与  (会意。小篆字形，一、勺'合起来，表示赐予别人东西。與'，从与，从舁(鉹??)，共同抬起，与，给予∠起来表偕同、朋友。本义赐予，施予，给予) 同本义  与，赐也，通作与'。--《正字通》 我持白"
"cnwstqi0035","primary","N","B","万","万","X","一 𠃌 丿","万  (形声。萬'，甲骨文呈蝎子形。本义蝎) 虫名。蝎。 万，虫也。--《说文》  今日俸钱过十万，与君营奠复营斋。--唐·元稹《遣悲怀》 又如万寿(称皇帝、皇后的生日);万劫(即万世。形容极长的时间"
"cnwstqi0036","primary","N","B","上","上","X","丨 一 一","上〈名〉 (指事。小篆字形。下面的一'表示位置的界线，线上一短横表示在上面的意思。本义高处;上面) 同本义  上，高也。--《说文》 宛丘之上兮。--《诗·陈风·宛丘》 施于松上。--《诗·小雅·顁弁"
"cnwstqi0037","primary","N","A","小","小","亅 丿 丶","X","小  (象形。据甲骨文，象沙粒形。小篆析为会意。从八，从|。本义细;微。与大'相对) 同本义  小，物之微也。--《说文》 小往大来。--《易·泰》。疏阴生消耗，故称小。' 彼所小言尽人毒也。--《庄"
"cnwstqi0038","primary","N","B","口","口","X","丨 𠃍 一","口〈名〉 (象形。甲骨文字形，象人的口形。本义口腔器官，嘴) 同本义。人类用来发声和进食的器官  口，人所以言食也。--《说文》 且夫口三五之门也。--《国语·晋语》 口之为言达也。--《春秋·元命苞"
"cnwstqi0039","primary","N","A","山","山","丨 ㇄ 丨","X","山〈名〉 (象形。甲骨文和金文字形，象山峰并立的形状。山'是汉字的一个部首。本义地面上由土石构成的隆起部分) 同本义  山，土有石而高。--《说文》 山，土之聚也。--《国语·周语》 山人取之。--《"
"cnwstqi0040","primary","N","B","巾","巾","X","丨 𠃌 丨","巾  (象形。甲骨文字形，象布巾下垂之形。本义佩巾，拭布，相当于现在的手巾) 同本义  巾，佩巾也。--《说文》 沐巾一。--《仪礼·士冠礼》 盥卒授巾。--《礼记·内则》 布巾环幅不凿。--《仪礼·"
"cnwstqi0041","primary","N","B","千","千","X","丿 一 丨","千〈数〉 (形声。从十，人声。本义数目。十百为千) 同本义  千，十百也。--《说文》 又如千夫(一千个成年男子);千门(千家);千社(25家为社，千社为25000家);千祀(千年，千代);总数为一千"
"cnwstqi0042","primary","N","B","乞","乞","X","丿 一 ⺄","乞〈动〉 (象形。《说文》本作气'，借云气字表示乞求义。本义向人求讨) 同本义  乞，谓行匄也。--《苍颉篇》 郑伯乞盟。--《春秋·僖公八年》 乞者，处其所而请与也。--《谷梁传》 操瓢而乞者。--"
"cnwstqi0043","primary","N","B","川","川","X","丿 丨 丨","川〈名〉 (象形。甲骨文字形，左右是岸，中间是流水，正像河流形。本义河流) 同本义  川，贯川通流水也。--《说文》。按，象水直达之形。 水之出于他水，沟流于大水及海者，命曰川水。--《管子·度地》"
"cnwstqi0044","primary","N","B","亿","亿","X","丿 丨 ⺄","亿  (形声。左形，右声。本义安宁) 安宁;安定  亿，安也。--《说文》 不能供亿。--《左传·隐公十年》 心亿则乐。--《左传·昭公二十一年》 我盍姑亿吾鬼神。--《左传·昭公三十年》 亿其上下。"
"cnwstqi0045","primary","N","B","个","个","X","丿 ㇏ 丨","个  通用个体量词，表示单独的人或物  个，枚也。--《集韵》 俎释三个。--《仪礼·士虞礼》 竹竿万个。--《史记·货殖列传》。正义竹曰个，木曰枚。' 字亦作箇' 箇，箇数，又枚也。--《广韵》 俗"
"cnwstqi0046","primary","N","B","夕","夕","X","丿 ㇇ 丶","夕  (指事。从月半见。本义黄昏，傍晚) 同本义  夕，莫也。--《说文》 日之夕矣。--《诗·王风·君子于役》 日东则景夕多风。--《周礼·大司徒》。司农注谓日跌景乃中立表之处，大东近日也。' 初昏"
"cnwstqi0047","primary","N","B","久","久","X","丿 ㇇ ㇏","久  灸灼。灸'的古字  其腹有久故瘢二所。--《睡虎地秦墓竹简》 久，以后灸之，象人两胫后有距也。--《说文》 皆木桁，久之。--《仪礼·既夕礼》。注当为灸。' 支撑  久诸墙以观其桡也。--《周礼"
"cnwstqi0048","primary","N","A","么","么","丿 𠃋 丶","X","么   用作某些词的后缀。如什么;怎么;多么 么  用作歌词中的衬字。如五月的花儿，红呀么红似火 么   用在句末，表示疑问或反诘的语气  先生，你会看喉咙吗?--《老残游记》 么   小;幼小  幺"
"cnwstqi0049","primary","N","A","勺","勺","丿 𠃌 丶","X","勺〈名〉 (象形。本义古代舀酒器) 同本义。泛指舀东西的器具，有柄  勺，挹取也。象形。中有实，与包同意。--《说文》 勺，枓也。--《一切经音义》引《说文》 勺一升。--《考工记·梓人》 黄金勺。-"
"cnwstqi0050","primary","N","B","凡","凡","X","丿 ⺄ 丶","凡  (象形。金文字形，象造器之模范形。①本义铸造器物的模子。②引申义凡是，表示概括) 凡是，一切  凡，皆也。--《广雅》 凡，数之总名也。--《三苍》 深察名号，凡者，独举其大事也∨凡而略，名目而"
"cnwstqi0051","primary","N","A","丸","丸","丿 ⺄ 丶","X","丸  (形声。反体指事。小篆是仄的反写。本义小而圆的物体) 同本义  丸，圜也。--《说文》 五六月累丸二不坠。--《庄子·达生》 市南宜僚弄丸。--《庄子·徐无鬼》 首衔铜丸。--《后汉书·张衡传》"
"cnwstqi0052","primary","N","A","及","及","丿 ㇋ ㇏","X","及  (会意。甲骨文字形，从人，从手。表示后面的人赶上來用手抓住前面的人。本义追赶上，抓住) 同本义  及，逮也。--《说文》 使人追宋义子，及之齐，杀之。--《史记`项羽本纪》 无庸，将自及。--《"
"cnwstqi0053","primary","N","A","广","广","丶 一 丿","X","广  (形声。从广，黄声。从广'，表示与房屋有关。按广'和弙'本不同义是两个字。广'，甲骨文和金文的写法象屋墙屋顶，其含义是依山崖建造的房屋。现在广'是 弙'的简化字。本义宽大的房屋) 四周无壁的大屋"
"cnwstqi0054","primary","N","A","亡","亡","丶 一 ㇄","X","亡  (会意。小篆字从入，从乚。入'是人字。乚隐蔽∠起来表示人到隐蔽处。本义逃离，出走) 同本义  亡，逃也。--《说文》 晋公子生十七年而亡。--《国语·晋语四》 子牟有罪而亡。--《国语·楚语上》"
"cnwstqi0055","primary","N","B","门","门","X","丶 丨 𠃌","门  (象形。甲骨文字形，象门形。门'是汉字的一个部首。本义双扇门，门) 同本义  閠，闻也。从二户相对，象形。按，一扇曰户，两扇曰门。又，在堂室曰户，在宅区域曰门。 五祀，门以闭藏自固也。--《白虎"
"cnwstqi0056","primary","N","B","丫","丫","X","丶 丿 丨","丫  (象形。本义树木或物体的分叉) 同本义  丫，象物开之形。--《广韵》。按，这是中古所造的字。泛指上端分出的东西。 十个指头八个丫。--《五灯会元》 又如丫叉(树木两枝分歧处;两手交叉);丫子("
"cnwstqi0057","primary","N","A","义","义","丶 丿 ㇏","X","义  (会意。从我，从羊。我'是兵器，又表仪仗;羊'表祭牲。本义正义;合宜的道德、行为或道理) 同本义  义固不杀人。--《墨子·公输》 义不杀少。 生，亦我所欲也，义，亦我所欲也，二者不可得兼，舍生"
"cnwstqi0058","primary","N","A","之","之","丶 ㇇ ㇏","X","之  (会意。象苃过屮。枝茎益大。本义出，生出，滋长) 同本义  之，出也。象苃过屮，枝茎益大有所之，一者，地也。--《说文》 如语焉而未之然。--《礼记》。俞樾平议此之字乃其本义。未之者，未出也。'"
"cnwstqi0059","primary","N","A","尸","尸","𠃍 一 丿","X","尸〈名〉 (象形。小篆字形，屍像卧着的人形。本义祭祀时代表死者受祭的人) 同本义  尸，神像也。象卧之形。--《说文》。按，凭几曰卧。 神具醉止，皇尸载起。鼓钟送尸，神保聿归。--《诗·小雅·楚茨》"
"cnwstqi0060","primary","N","A","己","己","𠃍 一 乚","X","己  (象形。甲骨文字形，象绳曲之形。己'是古纪'字，假借作自己'用。①本义丝的头绪，用以缠束丝。②自己) 自己，本人  知己知彼，百战不殆。--《孙子兵法》 而己亦人也。--《吕氏春秋·察今》 自拟"
"cnwstqi0061","primary","N","B","已","已","X","𠃍 一 乚","已  (象形。象蛇形。一说原与子'同字。本义停止) 同本义  鸡鸣不已。--《诗·郑风·风雨》。传已，止也。' 德音不已。--《诗·小雅·南山有台》。传已，止也。' 以故事得已。--《史记·项羽本纪》"
"cnwstqi0062","primary","N","A","巳","巳","𠃍 一 乚","X","巳  (象形。甲骨文字形，像在胎包中生长的小儿。本义在胎包中成长的小儿) 同本义  巳，似也。象子在包中形，包字从之。╠朱骏声《说文通训定声》 巳则生已定也。--《淮南子·天文》 地支的第六位  与天"
"cnwstqi0063","primary","N","B","弓","弓","X","𠃍 一 ㇉","弓  (象形。甲骨文字形，象弓形，有弓背和弓弦，后省去弓弦，只剩下弓背，隶变后变成现在的弓'字。弓'是汉字部首之一，从弓'的字多与弓箭'有关系。本义射箭或打 弹的器械) 同本义  弓，兵也，所以发矢。"
"cnwstqi0064","primary","N","B","子","子","X","乛 亅 一","子  (象形。甲骨文字形，象小儿在襁褓中，有头、身、臂膀，两足象并起来的样子。子'是汉字的一个部首。本义婴儿) 同本义  子，十一月阳气动，万物滋，人以为偁。象形。古文从巛，象发也。籀文从囟，有发、臂"
"cnwstqi0065","primary","N","A","卫","卫","𠃌 丨 一","X","卫  (会意。从韋币从行。甲骨文中卫、韦'同字。意思是在大道(行)站岗保卫(韦)。本义保卫;防护) 同本义  卫，宿卫也。--《说文》 卫护也。--《玉篇》 以卫王宫。--《战国策·赵策》 备一夕之卫"
"cnwstqi0066","primary","N","A","也","也","𠃌 丨 乚","X","也  亦表示同样  叠用，强调两事并列或对等  表示转折或让步  表示委婉。如我也只好如此 表示强调  表示选择，还是  你见我府里那个门子，却是多少年纪?或是黑瘦也白净肥胖?--《水浒传》 又如也是"
"cnwstqi0067","primary","N","B","女","女","X","𡿨 丿 一","女〈名〉 (象形。甲骨文字形，象一个敛手跪着的人形。本义女性， 女人，与男'相对) 同本义  女，妇人也。--《说文》。王育说对文则处子曰女，适人曰妇。' 女也不爽，士贰其行。--《诗·卫风·氓》 一"
"cnwstqi0068","primary","N","A","刃","刃","𠃌 丿 ㇀","X","刃  (指事。小篆字形，在刀上加一点，表示刀锋所在。本义刀口，刀锋) 同本义  刃，刀坚也。象刀有刃之形。--《说文》。张舜徽注许云象形，而实指事。今俗称刀口。' 锻乃戈矛，砺乃锋刃。--《书·费誓》"
"cnwstqi0069","primary","N","A","飞","飞","⺄ 丿 丶","X","飞  (象形。小篆字形，下面象展开的双翼，上面象鸟首。本义鸟飞) 同本义  飛，鸟翥也。象张翼之形。--《说文》 飞鸟遗之音。--《易·小过》 明珠弹于飞肉。--《太玄·唐》。注飞肉，禽鸟也。' 西塞"
"cnwstqi0070","primary","N","B","习","习","X","𠃌 丶 ㇀","习  (会意。从羽 。从羽，与鸟飞有关。本义小鸟反复地试飞) 同本义  習，数飞也。--《说文》 鹰乃学习。--《礼记·月令》 习习笼中鸟，举翮触四隅。--晋·左思《咏史》 反覆练习，钻研  君子以朋"
"cnwstqi0071","primary","N","A","叉","叉","㇇ ㇏ 丶","X","叉  (指事。小篆为又'(即手)上加一点，指出叉手的动向。本义交错，交叉) 手指相交错。也泛指一般的交错、交叉  叉，手指相错也。--《说文》。段注谓手指与物相错也。凡布指错物间而取之曰叉，因之凡岐头"
"cnwstqi0072","primary","N","B","马","马","X","𠃍 ㇉ 一","马  (象形。早期金文字形，象马眼、马鬃、马尾之形。马'是汉字的一个部首。本义家畜名) 单蹄食草大型哺乳动物  非固定特征(如体型较大，蹄子较大，颈稍呈弓形，头小，耳短) 千里马常有，而伯乐不常有。-"
"cnwstqi0073","primary","N","A","乡","乡","𠃋 𠃋 丿","X","乡  (会意。据甲骨文，像二人对食形。‘鄉’和‘饗’原本是一字…整个字像两个人相向对坐，共食一簋的情状。本义是用酒食款待别人，是饗'的古字) 乡'假借为行政区域名  乡，国离邑民所封乡也。啬夫别治封圻"
"cnwstqi0074","primary","N","A","丰","丰","一 一 一 丨","一 一 丨 一","丰  (象形。甲骨文字形，上面象一器物盛有玉形，下面是豆'(古代盛器)。故豷'本是盛有贵重物品的礼器。这由豱'字可以得到证明。古文豷与豱'是同一个字，《说文 》豱，行礼之器也。'本义古代盛酒器的托盘)"
"cnwstqi0075","primary","N","B","王","王","一 一 一 丨","一 一 丨 一","王  (会意。本作士'，是能独立任事的人，后加一横，表示在士'之上，即人间的最高统治者，而帝 是天上的最高统治者◇帝'、王'同步降职，帝成了人间的皇帝，而王 '成了对臣子的最高封爵。本义天子、君主)"
"cnwstqi0076","primary","N","A","开","开","一 一 丿 丨","一 一 丨 丿","开  (会意。小篆字形，两边是两扇门，中间一横是门闩，下面是一双手，表示两手打开门闩之意。本义开门) 同本义  開，张也。--《说文》 天门开阖。--《老子》十章 善闭，无关楗而不可开。--《老子》"
"cnwstqi0077","primary","N","B","井","井","一 一 丨 丿","一 一 丿 丨","井  (象形。金文字形，外象井口，中间一点表示井里有水。本义水井) 同本义  改邑不改井。--《易·井》 井道。--《易·杂卦》传 宿息井树。--《周礼·野庐氏》。注井，共饮食。' 为其井匽。--《周"
"cnwstqi0078","primary","N","B","天","天","一 一 ㇏ 丿","一 一 丿 ㇏","天〈名〉 (会意。甲骨文字形。下面是个正面的人形(大)，上面指出是人头，小篆变成一横。本义人的头顶) 同本义  天，颠也。…颠者，人之顶也。以为凡高之称。--《说文解字注》 又如天灵(人或其他动物的头"
"cnwstqi0079","primary","N","A","夫","夫","一 一 丿 ㇏","一 一 ㇏ 丿","夫〈名〉 (象形。甲骨文字形，像站着的人形(大)，上面的一'，表示头发上插一根簪(腺??))，意思是成年男子，是个丈夫了。古时男子成年束发加冠才算丈夫，故加一'做标志。本义 成年男子的通称) 同本义"
"cnwstqi0080","primary","N","A","元","元","一 一 丿 乚","一 一 乚 丿","元  (会意。从一，从兀。甲骨文字形。象人形。上面一横指明头的部位。上一短横是后加上去的，依汉字造字规律，顶端是一横的，其上可加一短横。本义头) 同本义  元，始也。--《说文》。按，当训首也。 元，"
"cnwstqi0081","primary","N","A","无","无","一 一 丿 乚","一 一 乚 丿","无  (会意。据甲骨文字形，象一个人持把在跳舞。卜辞、金文中无、舞'同字。本义乐舞) 同本义  哲学范畴，指无形、无名、虚无等，或指物质的隐微状态  天下万物生于有，有生于无。--《老子》 无  没有"
"cnwstqi0082","primary","N","A","云","云","一 一 𠃋 丶","一 一 丶 𠃋","云  (象形。《说文》古文字形。象云回转形。雲'为会意字，从雨，从云。本义云彩。这个意义后作雲') 同本义  大气中的水蒸气，凝聚而成小水滴或水粒，或与雨共存时肉眼可见的集合体，叫做云 雲，山川气也。"
"cnwstqi0083","primary","N","A","专","专","一 一 ㄣ 丶","一 一 丶 ㄣ","专  (会意兼形声。甲骨文字形，右边象纺塼形，即叀;左边是手(寸)，合起来为用手纺织。叀'兼作声符。本义纺锤) 纺专，收丝器  专，纺专。--《说文》。字亦作塼，作畊，俗作磚。 载弄之瓦。--《诗·小"
"cnwstqi0084","primary","N","A","丐","丐","一 丨 一 ㇉","一 丨 ㇉ 一","丐  乞求，乞讨  求愿曰匃。--《通俗文》 匃，求也。--《广雅》 不强丐。--《左传·昭公六年》 毋或匄夺。--《左传·昭公十六年》 丐沐沐我。--《史记·外戚世家》 丐，乞也。--《字汇》 不抽"
"cnwstqi0085","primary","N","B","扎","扎","一 亅 乚 ㇀","一 亅 ㇀ 乚","扎   捆绑;缠束;拴;系  抄扎家私，分俵众军。--《水浒传》 又如扎抹(缠绑;收拾);扎爪(拴绑;缠绑);扎一根红头绳;扎花环;扎包(捆在腰间的长布);扎缚(捆扎;包扎);扎脚(缠足);扎把(成捆"
"cnwstqi0086","primary","N","A","艺","艺","一 丨 丨 ⺄","一 丨 ⺄ 丨","艺  (会意。甲骨文字形。左上是木'，表植物;右边是人用双手操作。又写成埶'，从坴，土块;从乵，拿◇繁化为藝'。艺'从帅'，乙声。本义种植) 同本义  艺，种也。--《说文》 艺麻之如何?衡从其亩。-"
"cnwstqi0087","primary","N","B","木","木","一 丨 ㇏ 丿","一 丨 丿 ㇏","木  (象形。甲骨文字形。象树木形。上为枝叶，下为树根。木'是汉字的一个部首。从木'的字表示树木或木器的名称。本义树木) 同本义  木，冒也。冒地而生。东方之行，从草，下象其根。--《说文》 五行，木"
"cnwstqi0088","primary","N","A","五","五","一 丨 𠃍 一","一 丨 一 𠃍","五  (五，会意。从二，从乿。二'代表天地，乿'表示互相交错。本义交午，纵横交错) 同本义  五，阴阳在天地之间交午也。--《说文》 葛屦五两。--《诗·齐风·南山》 羔羊之皮，素丝五絝。--《诗·召"
"cnwstqi0089","primary","N","A","支","支","一 丨 ㇇ ㇏","一 丨 ㇏ ㇇","支  (会意。小篆字形，上面是竹'的一半，下面是手(又)。《说文》从手持半竹。'本义去枝的竹子) 同本义  支，去竹之枝也。从手持半竹。--《说文》。桂馥义证疑作去枝之竹也。' 枝条◇作枝'  芄兰之"
"cnwstqi0090","primary","N","A","厅","厅","一 丿 一 亅","一 丿 亅 一","厅  (形声。从广，聽声。厅是后起字，大约产生于唐代。古作聽'。魏晋以来加广'。本义堂屋) 同本义  厅，厅屋。--《广韵》 凉榭锦厅，其下可坐数百人。--《洛阳名园记》 官署中听事问案之处  古者治"
"cnwstqi0091","primary","N","A","不","不","一 丿 丨 丶","一 丿 丶 丨","不  (象形。甲骨文字形，上面象花蒂的子房，下面象花蕊下垂形。①本义萼足。《诗·小雅·常棣》常棣之花，鄂不韡。'郑笺承华者曰鄂。'②副词。不。《荀子》锲 而不舍，金石可镂。') 用在动词、形容词或个别"
"cnwstqi0092","primary","N","A","犬","犬","一 丿 ㇏ 丶","一 丿 丶 ㇏","犬〈名〉 (象形。犬'是汉字部首之一。本义狗) 同本义。古时特指大狗，后来犬、狗通名  犬，狗之有县蹏者也。象形。孔子曰视犬之字如画狗也。--《说文》 效犬者，左牵之。--《礼记·曲礼》。疏大者为犬，"
"cnwstqi0093","primary","N","B","太","太","一 丿 丶 ㇏","一 丿 ㇏ 丶","太〈形〉 (指事。古作大'，后语音分化，在大'字下添加符号，成指事字。本义过于) 极大。古作大'，也作泰'。凡言大而以为形容未尽，则作太  太，大也。--《广雅·释诂一》段曰后世还言，而以为形容未尽，"
