id,level,mchoice,ans,title,desc,opa,opb,opc,opd,ope,opf,opg,oph
"meqzs11027","senior","N","A","greedy","英['gri:di] ","a.贪婪的；贪心的","a.酸的；发酸的；酸痛的","a.典型的；特有的n.特征；特性","a.外部的；外面的","","","",""
"meqzs11028","senior","N","C","frank","英[fræŋk] ","a.数字的；数码的","a.热悉的；通晓的","a.坦白的；直率的","a.喜剧的；滑稽的n.连环漫画","","","",""
"meqzs11029","senior","N","A","favourite","英['feivәrit] ","a.最喜爱的n.特别喜爱的人（或物）","a.太阳的；日光的","a.生的；未加工过的","a.杰出的；突出的","","","",""
"meqzs11030","senior","N","C","particular","英[pә'tikjulә] ","a.社会主义的n.社会主义者","a.上面的；上部的；较高的","a.特定的；特指的n.详情；细节","a.外国的；海外的ad.在海外","","","",""
"meqzs11031","senior","N","C","characteristic","英[.kærәktә'ristik] ","a.热情的；热心的:狂热的","a.唯一的；独一无二的","a.典型的；特有的n.特征；特性","a.酸的；发酸的；酸痛的","","","",""
"meqzs11032","senior","N","A","decent","英['di:sәnt] ","a.像样的；正派的；得体的","a.温和的:轻微的；味淡的","a.喜爱的；宠爱的","a.适当的；恰当的；合适的","","","",""
"meqzs11033","senior","N","A","identical","英[ai'dentikәl] ","a.完全相同的；同一的；一致的","a.王室的；高贵的","a.大量的；实质的；可观的","a.唯一的；独一无二的","","","",""
"meqzs11034","senior","N","B","statistic","英[stә'tistik] ","a.像样的；正派的；得体的","a.统计（学）的n.统计数值；统计学（statistics）","a.外国的；海外的ad.在海外","a.生的；未加工过的","","","",""
"meqzs11035","senior","N","B","dizzy","英['dizi] ","a.太阳的；日光的","a.头晕目眩的；心不在焉的","a.很好的；可以接受的；晴朗的v.&n.罚款","a.稀有的；稀罕的","","","",""
"meqzs11036","senior","N","B","outstanding","英[.aut'stændiŋ] ","a.喜剧的；滑稽的n.连环漫画","a.杰出的；突出的","a.清楚的；明显的；不同的","a.外国的；海外的ad.在海外","","","",""
"meqzs11037","senior","N","C","external","英[ik'stә:nl] ","a.公司的；团体的；法人的","a.热悉的；通晓的","a.外部的；外面的","a.唯一的；独一无二的","","","",""
"meqzs11038","senior","N","B","overseas","英['әuvә'si:z] ","a.王室的；高贵的","a.外国的；海外的ad.在海外","a.典型的；特有的n.特征；特性","a.统计（学）的n.统计数值；统计学（statistics）","","","",""
"meqzs11039","senior","N","C","royal","英['rɒiәl] ","a.最喜爱的n.特别喜爱的人（或物）","a.全部的ad.全部地；总体上n.背带裤","a.王室的；高贵的","a.坦白的；直率的","","","",""
"meqzs11040","senior","N","A","unique","英[ju:'ni:k] ","a.唯一的；独一无二的","a.酸的；发酸的；酸痛的","a.太阳的；日光的","a.喜剧的；滑稽的n.连环漫画","","","",""
"meqzs11041","senior","N","A","raw","英[rɒ:] ","a.生的；未加工过的","a.统计（学）的n.统计数值；统计学（statistics）","a.适当的；恰当的；合适的","a.商业的；商务的n.商业广告","","","",""
"meqzs11042","senior","N","D","bitter","英['bitә] ","a.狭窄的n.海峡；困境","a.喜爱的；宠爱的","a.王室的；高贵的","a.味苦的；痛苦的；令人不快的","","","",""
"meqzs11043","senior","N","A","mild","英[maild] ","a.温和的:轻微的；味淡的","a.特定的；特指的n.详情；细节","a.人工的；人造的；矫揉造作的","a.典型的；特有的n.特征；特性","","","",""
"meqzs11044","senior","N","B","literary","英['litәrәri] ","a.适当的；恰当的；合适的","a.文学的；精通文学的；书面的","a.最喜爱的n.特别喜爱的人（或物）","a.像样的；正派的；得体的","","","",""
"meqzs11045","senior","N","D","rare","英[rєә] ","a.外部的；外面的","a.唯一的；独一无二的","a.想象的:花俏的n.&v.幻想","a.稀有的；稀罕的","","","",""
"meqzs11046","senior","N","C","fond","英[fɒnd] ","a.生的；未加工过的","a.太阳的；日光的","a.喜爱的；宠爱的","a.喜剧的；滑稽的n.连环漫画","","","",""
"meqzs11047","senior","N","D","comic","英['kɒmik] ","a.生的；未加工过的","a.数字的；数码的","a.社会主义的n.社会主义者","a.喜剧的；滑稽的n.连环漫画","","","",""
"meqzs11048","senior","N","A","dramatic","英[drә'mætik] ","a.戏剧的；引人瞩目的；剧烈的","a.文学的；精通文学的；书面的","a.生的；未加工过的","a.很好的；可以接受的；晴朗的v.&n.罚款","","","",""
"meqzs11049","senior","N","D","strait","英[streit] ","a.宏伟的；盛大的","a.双胞胎的n.（复）双胞胎","a.无辜的；清白的；天真无邪的","a.狭窄的n.海峡；困境","","","",""
"meqzs11050","senior","N","B","fancy","英['fænsi] ","a.双胞胎的n.（复）双胞胎","a.想象的:花俏的n.&v.幻想","a.数字的；数码的","a.酸的；发酸的；酸痛的","","","",""
"meqzs11051","senior","N","C","a.无辜的；清白的；天真无邪的","英['inәsәnt] ","grand","outstanding","innocent","favourite","","","",""
"meqzs11052","senior","N","B","a.清楚的；明显的；不同的","英[dis'tiŋkt] ","socialist","distinct","dramatic","fancy","","","",""
"meqzs11053","senior","N","B","a.很好的；可以接受的；晴朗的v.&n.罚款","英[fain] ","dramatic","fine","disappointed","innocent","","","",""
"meqzs11054","senior","N","D","a.全球的；全世界的；全局的","英['glәubl] ","innocent","fancy","twin","global","","","",""
"meqzs11055","senior","N","A","a.全部的ad.全部地；总体上n.背带裤","英['әuvәrɒ:l] ","overall","distinct","literary","royal","","","",""
"meqzs11056","senior","N","B","a.了不起的；令人敬畏的；极好的","英['ɒ:sәm] ","commercial","awesome","outstanding","appropriate","","","",""
"meqzs11057","senior","N","A","a.热情的；热心的:狂热的","英[in.θju:zi'æstik] ","enthusiastic","sour","unique","innocent","","","",""
"meqzs11058","senior","N","D","a.人工的；人造的；矫揉造作的","英[.ɑ:ti'fiʃәl] ","raw","external","subsequent","artificial","","","",""
"meqzs11059","senior","N","D","a.柔韧的；易弯曲的；灵活的","英['fleksәbl] ","comic","familiar","fond","flexible","","","",""
"meqzs11060","senior","N","A","a.商业的；商务的n.商业广告","英[kә'mә:ʃәl] ","commercial","enthusiastic","digital","twin","","","",""
"meqzs11061","senior","N","A","a.上面的；上部的；较高的","英['ʌpә] ","upper","strait","frank","dizzy","","","",""
"meqzs11062","senior","N","B","a.社会主义的n.社会主义者","英['sәuʃәlist] ","unique","socialist","overseas","identical","","","",""
"meqzs11063","senior","N","B","a.公司的；团体的；法人的","英['kɒ:pәrit] ","innocent","corporate","frank","familiar","","","",""
"meqzs11064","senior","N","B","a.至关重要的；生死攸关的；有活力的","英['vaitl] ","subsequent","vital","rare","artificial","","","",""
"meqzs11065","senior","N","D","a.宏伟的；盛大的","英[grænd] ","external","digital","awesome","grand","","","",""
"meqzs11066","senior","N","A","a.失望的；沮丧的","英[.disә'pɒintid] ","disappointed","fancy","global","statistic","","","",""
"meqzs11067","senior","N","A","a.实际的；实用的","英['præktikl] ","practical","twin","awesome","external","","","",""
"meqzs11068","senior","N","C","a.实际上的；事实上的","英['vә:tʃuәl] ","rare","practical","virtual","commercial","","","",""
"meqzs11069","senior","N","C","a.大量的；实质的；可观的","英[sәb'stænʃәl] ","digital","vital","substantial","artificial","","","",""
"meqzs11070","senior","N","A","a.适当的；恰当的；合适的","英[ә'prәupriәt] ","appropriate","overall","dramatic","digital","","","",""
"meqzs11071","senior","N","A","a.热悉的；通晓的","英[fә'miljә] ","familiar","unique","flexible","enthusiastic","","","",""
"meqzs11072","senior","N","B","a.数字的；数码的","英['didʒitәl] ","global","digital","enthusiastic","fancy","","","",""
"meqzs11073","senior","N","C","a.双胞胎的n.（复）双胞胎","英[twin] ","substantial","royal","twin","dramatic","","","",""
"meqzs11074","senior","N","B","a.酸的；发酸的；酸痛的","英['sauә] ","unique","sour","overseas","socialist","","","",""
"meqzs11075","senior","N","D","a.随后的；后来的；并发的","英['sʌbsikwәnt] ","random","digital","practical","subsequent","","","",""
"meqzs11076","senior","N","A","a.随机的，任意的n.随机","英['rændәm] ","random","flexible","dramatic","rare","","","",""
"meqzs11077","senior","N","A","a.太阳的；日光的","英['sәulә] ","solar","overall","strait","unique","","","",""
"meqzs11078","senior","N","D","a.贪婪的；贪心的","英['gri:di] ","familiar","dramatic","artificial","greedy","","","",""
"meqzs11079","senior","N","B","a.坦白的；直率的","英[fræŋk] ","rare","frank","commercial","artificial","","","",""
"meqzs11080","senior","N","C","a.最喜爱的n.特别喜爱的人（或物）","英['feivәrit] ","corporate","familiar","favourite","artificial","","","",""
"meqzs11081","senior","N","D","a.特定的；特指的n.详情；细节","英[pә'tikjulә] ","vital","twin","fond","particular","","","",""
"meqzs11082","senior","N","B","a.典型的；特有的n.特征；特性","英[.kærәktә'ristik] ","awesome","characteristic","distinct","fond","","","",""
"meqzs11083","senior","N","A","a.像样的；正派的；得体的","英['di:sәnt] ","decent","greedy","solar","artificial","","","",""
"meqzs11084","senior","N","D","a.完全相同的；同一的；一致的","英[ai'dentikәl] ","socialist","particular","fond","identical","","","",""
"meqzs11085","senior","N","C","a.统计（学）的n.统计数值；统计学（statistics）","英[stә'tistik] ","artificial","rare","statistic","socialist","","","",""
"meqzs11086","senior","N","D","a.头晕目眩的；心不在焉的","英['dizi] ","rare","particular","upper","dizzy","","","",""
"meqzs11087","senior","N","C","a.杰出的；突出的","英[.aut'stændiŋ] ","royal","strait","outstanding","grand","","","",""
"meqzs11088","senior","N","B","a.外部的；外面的","英[ik'stә:nl] ","digital","external","solar","statistic","","","",""
"meqzs11089","senior","N","D","a.外国的；海外的ad.在海外","英['әuvә'si:z] ","practical","distinct","strait","overseas","","","",""
"meqzs11090","senior","N","D","a.王室的；高贵的","英['rɒiәl] ","identical","fond","bitter","royal","","","",""
"meqzs11091","senior","N","B","a.唯一的；独一无二的","英[ju:'ni:k] ","commercial","unique","disappointed","fine","","","",""
"meqzs11092","senior","N","B","a.生的；未加工过的","英[rɒ:] ","distinct","raw","bitter","subsequent","","","",""
"meqzs11093","senior","N","A","a.味苦的；痛苦的；令人不快的","英['bitә] ","bitter","disappointed","raw","practical","","","",""
"meqzs11094","senior","N","B","a.温和的:轻微的；味淡的","英[maild] ","overseas","mild","global","enthusiastic","","","",""
"meqzs11095","senior","N","A","a.文学的；精通文学的；书面的","英['litәrәri] ","literary","artificial","awesome","dramatic","","","",""
"meqzs11096","senior","N","D","a.稀有的；稀罕的","英[rєә] ","royal","literary","overall","rare","","","",""
"meqzs11097","senior","N","B","a.喜爱的；宠爱的","英[fɒnd] ","identical","fond","distinct","overall","","","",""
"meqzs11098","senior","N","A","a.喜剧的；滑稽的n.连环漫画","英['kɒmik] ","comic","appropriate","fine","decent","","","",""
"meqzs11099","senior","N","C","a.戏剧的；引人瞩目的；剧烈的","英[drә'mætik] ","external","vital","dramatic","bitter","","","",""
"meqzs11100","senior","N","A","a.狭窄的n.海峡；困境","英[streit] ","strait","digital","innocent","identical","","","",""
"meqzs11101","senior","N","B","a.想象的:花俏的n.&v.幻想","英['fænsi] ","appropriate","fancy","rare","practical","","","",""
