id,level,mchoice,ans,eword,title,desc,opa,opb,opc,opd,ope,opf,opg,oph
"meqzp08036","primary","N","B","photo","photo","英['fәutәu] (photography)","n.星期，周","n.照片","n.医院","n.鞋子","","","",""
"meqzp08037","primary","N","A","dinner","dinner","英['dinә] ","n.正餐","n.汁液","n.熊v.忍受","n.足球；橄榄球","","","",""
"meqzp08038","primary","N","D","juice","juice","英[dʒu:s] ","n.一天；白；天","n.主意，想法","n.颜色","n.汁液","","","",""
"meqzp08039","primary","N","D","China","China","英['tʃainә] ","n.小学生","n棕色a.棕色的","n.眼睛","n.中国；瓷器","","","",""
"meqzp08040","primary","N","C","clock","clock","英[klɒk] ","n.自行车","n.早晨","n.钟","n.椅子","","","",""
"meqzp08041","primary","N","D","kind","kind","英[kaind] ","n.颜色","n.眼睛","n.医院","n.种；类","","","",""
"meqzp08042","primary","N","B","pig","pig","英[pig] ","n.小学生","n.猪","n.一天；白；天","n.W；英尺","","","",""
"meqzp08043","primary","N","B","idea","idea","英[ai'diә] ","n.月球；月光","n.主意，想法","n.医生；博士","n.种；类","","","",""
"meqzp08044","primary","N","B","table","table","英['teibl] ","n.钟","n.桌子，表格","n.月，月份","n.星","","","",""
"meqzp08045","primary","N","D","bike","bike","英[baik] (bicycle)","n.鱼v.钓鱼","n.小孩","n.颜色","n.自行车","","","",""
"meqzp08046","primary","N","A","brown","brown","英[braun] ","n棕色a.棕色的","n.熊猫","n.象，大象","n.颜色","","","",""
"meqzp08047","primary","N","D","foot","foot","英[fut] (Mfeet)","n.衣服","n.照片","n.桌子，表格","n.W；英尺","","","",""
"meqzp08048","primary","N","D","football","football","英['futbɒ:l] ","n.早餐","n.先生","n棕色a.棕色的","n.足球；橄榄球","","","",""
"meqzp08049","primary","N","C","mouth","mouth","英[mauθ] ","n.小姐","n.鞋子","n.嘴","n.兄，弟","","","",""
"meqzp08050","primary","N","B","day","day","英[dei] ","n.小孩","n.一天；白；天","n.桌子，表格","n.早餐","","","",""
"meqzp08051","primary","N","A","banana","n.香蕉","英[bә'nɑ:nә] ","banana","umbrella","month","star","","","",""
"meqzp08052","primary","N","A","elephant","n.象，大象","英['elifәnt] ","elephant","juice","music","art","","","",""
"meqzp08053","primary","N","D","boat","n.小船v.乘船","英[bәut] ","game","China","Mr.","boat","","","",""
"meqzp08054","primary","N","A","kid","n.小孩","英[kid] ","kid","hour","foot","China","","","",""
"meqzp08055","primary","N","C","Miss","n.小姐","英[mis] ","shoe","morning","Miss","baby","","","",""
"meqzp08056","primary","N","D","hour","n.小时","英[auә] ","fish","breakfast","clothes","hour","","","",""
"meqzp08057","primary","N","D","pupil","n.小学生","英['pju:pl] ","hour","grandfather","football","pupil","","","",""
"meqzp08058","primary","N","B","shoe","n.鞋子","英[ʃu:] ","boat","shoe","table","moon","","","",""
"meqzp08059","primary","N","C","star","n.星","英[stɑ:] ","juice","banana","star","kid","","","",""
"meqzp08060","primary","N","D","Mr.","n.先生","英['mistә(r)] (mister)","chair","China","umbrella","Mr.","","","",""
"meqzp08061","primary","N","C","week","n.星期，周","英[wi:k] ","duck","hour","week","clothes","","","",""
"meqzp08062","primary","N","A","brother","n.兄，弟","英['brʌðә] ","brother","clothes","pupil","moon","","","",""
"meqzp08063","primary","N","A","bear","n.熊v.忍受","英[bєә] ","bear","breakfast","elephant","football","","","",""
"meqzp08064","primary","N","C","panda","n.熊猫","英['pændә] ","banana","morning","panda","hospital","","","",""
"meqzp08065","primary","N","B","school","n.学校","英[sku:l] ","chair","school","eye","football","","","",""
"meqzp08066","primary","N","A","snow","n.雪v.下雪","英[snәu] ","snow","school","mouth","day","","","",""
"meqzp08067","primary","N","D","duck","n.鸭子","英[dʌk] ","mouth","football","rain","duck","","","",""
"meqzp08068","primary","N","D","colour","n.颜色","英['kʌlә] (color)","chair","moon","duck","colour","","","",""
"meqzp08069","primary","N","C","eye","n.眼睛","英[ai] ","dinner","juice","eye","bear","","","",""
"meqzp08070","primary","N","D","grandfather","n.爷爷；外公","英['grændfɑ:ðә] (grandpa)","boat","kind","clothes","grandfather","","","",""
"meqzp08071","primary","N","C","night","n.夜间","英[nait] ","art","music","night","chair","","","",""
"meqzp08072","primary","N","C","clothes","n.衣服","英[klәuðz] ","table","umbrella","clothes","eye","","","",""
"meqzp08073","primary","N","A","doctor","n.医生；博士","英['dɒktә] ","doctor","bear","bike","game","","","",""
"meqzp08074","primary","N","D","hospital","n.医院","英['hɒspitәl] ","bear","Mr.","panda","hospital","","","",""
"meqzp08075","primary","N","A","chair","n.椅子","英[tʃєә] ","chair","night","star","hour","","","",""
"meqzp08076","primary","N","B","art","n.艺术a.艺术的","英[ɑ:t] ","mouth","art","baby","pig","","","",""
"meqzp08077","primary","N","D","music","n.音乐，乐曲","英['mju:zik] ","grandfather","school","kid","music","","","",""
"meqzp08078","primary","N","C","baby","n.婴儿","英['beibi] ","art","bike","baby","China","","","",""
"meqzp08079","primary","N","C","game","n.游戏；比赛","英[geim] ","Mr.","morning","game","Miss","","","",""
"meqzp08080","primary","N","B","fish","n.鱼v.钓鱼","英[fiʃ] ","pupil","fish","rain","moon","","","",""
"meqzp08081","primary","N","A","rain","n.雨v.下雨","英[rein] ","rain","photo","panda","art","","","",""
"meqzp08082","primary","N","B","umbrella","n.雨伞","英[ʌm'brelә] ","game","umbrella","month","clothes","","","",""
"meqzp08083","primary","N","A","month","n.月，月份","英[mʌnθ] ","month","day","hour","shoe","","","",""
"meqzp08084","primary","N","D","moon","n.月球；月光","英[mu:n] ","star","juice","Mr.","moon","","","",""
"meqzp08085","primary","N","C","breakfast","n.早餐","英['brekfәst] ","week","banana","breakfast","shoe","","","",""
"meqzp08086","primary","N","C","morning","n.早晨","英['mɒ:niŋ] ","brown","juice","morning","photo","","","",""
"meqzp08087","primary","N","A","photo","n.照片","英['fәutәu] (photography)","photo","umbrella","panda","baby","","","",""
"meqzp08088","primary","N","B","dinner","n.正餐","英['dinә] ","doctor","dinner","photo","China","","","",""
"meqzp08089","primary","N","A","juice","n.汁液","英[dʒu:s] ","juice","Mr.","baby","morning","","","",""
"meqzp08090","primary","N","A","China","n.中国；瓷器","英['tʃainә] ","China","clothes","doctor","juice","","","",""
"meqzp08091","primary","N","A","clock","n.钟","英[klɒk] ","clock","brother","bike","snow","","","",""
"meqzp08092","primary","N","C","kind","n.种；类","英[kaind] ","idea","Miss","kind","doctor","","","",""
"meqzp08093","primary","N","A","pig","n.猪","英[pig] ","pig","foot","photo","moon","","","",""
"meqzp08094","primary","N","D","idea","n.主意，想法","英[ai'diә] ","hospital","pupil","hour","idea","","","",""
"meqzp08095","primary","N","C","table","n.桌子，表格","英['teibl] ","bike","music","table","kind","","","",""
"meqzp08096","primary","N","B","bike","n.自行车","英[baik] (bicycle)","fish","bike","banana","kid","","","",""
"meqzp08097","primary","N","B","brown","n棕色a.棕色的","英[braun] ","art","brown","clock","music","","","",""
"meqzp08098","primary","N","B","foot","n.W；英尺","英[fut] (Mfeet)","elephant","foot","morning","eye","","","",""
"meqzp08099","primary","N","A","football","n.足球；橄榄球","英['futbɒ:l] ","football","Miss","idea","brother","","","",""
"meqzp08100","primary","N","D","mouth","n.嘴","英[mauθ] ","banana","hour","pupil","mouth","","","",""
"meqzp08101","primary","N","B","day","n.一天；白；天","英[dei] ","kid","day","school","eye","","","",""
