seq,    word,Unicode,pinyin
0118/1605,㳇,U+3CC7,fù
0119/1605,沇,U+6C87,yǎn
0120/1605,忮,U+5FEE,zhì
0121/1605,忳,U+5FF3,tún
0122/1605,忺,U+5FFA,xiān
0123/1605,𬣡,U+2C8E1,jiàn
0124/1605,祃,U+7943,mà
0125/1605,诇,U+8BC7,xiòng
0126/1605,邲,U+90B2,bì
0127/1605,诎,U+8BCE,qū
0128/1605,诐,U+8BD0,bì
0129/1605,屃,U+5C43,xì
0130/1605,𫸩,U+2BE29,kōu
0131/1605,岊,U+5C8A,jié
0132/1605,阽,U+963D,diàn
0133/1605,䢺,U+48BA,chū
0134/1605,阼,U+963C,zuò
0135/1605,妧,U+59A7,yuán
0136/1605,妘,U+5998,yún
0137/1605,𨚕,U+28695,biàn
0138/1605,纮,U+7EAE,hóng
0139/1605,驲,U+9A72,rì
0140/1605,𫘜,U+2B61C,wén
0141/1605,纻,U+7EBB,zhù
0142/1605,𬘘,U+2C618,dǎn
0143/1605,𫘝,U+2B61D,jué
0144/1605,纼,U+7EBC,zhèn
0145/1605,玤,U+73A4,bàng
0146/1605,玞,U+739E,fū
0147/1605,玱,U+73B1,qiāng
0148/1605,玟,U+739F,wén
0149/1605,邽,U+90BD,guī
0150/1605,邿,U+90BF,shī
0151/1605,坥,U+5765,qū
0152/1605,坰,U+5770,jiōng
0153/1605,坬,U+576C,guà，wā
0154/1605,坽,U+577D,líng
0155/1605,弆,U+5F06,jǔ
0156/1605,耵,U+8035,dīng
0157/1605,䢼,U+48BC,gōng
0158/1605,𦭜,U+26B5C,zhī
0159/1605,茋,U+830B,dǐ
0160/1605,苧,U+82E7,níng
0161/1605,苾,U+82FE,bì
0162/1605,苠,U+82E0,mín
0163/1605,枅,U+6785,jī
0164/1605,㭎,U+3B4E,gāng
0165/1605,枘,U+6798,ruì
0166/1605,枍,U+678D,yì
0167/1605,矼,U+77FC,gāng
0168/1605,矻,U+77FB,kū
0169/1605,匼,U+533C,kē
0170/1605,𬨂,U+2CA02,qí
0171/1605,𬀩,U+2C029,wěi
0172/1605,𬀪,U+2C02A,xiàn
0173/1605,旿,U+65FF,wǔ
0174/1605,昇,U+6607,shēng
0175/1605,昄,U+6604,bǎn
0176/1605,昒,U+6612,hū
0177/1605,昈,U+6608,hù
0178/1605,咉,U+5489,yāng
0179/1605,咇,U+5487,bì
0180/1605,咍,U+548D,hāi
0181/1605,岵,U+5CB5,hù
0182/1605,岽,U+5CBD,dōng
0183/1605,岨,U+5CA8,jū，qū
0184/1605,岞,U+5C9E,zuò
0185/1605,峂,U+5CC2,tóng
0186/1605,㟃,U+37C3,sī
0187/1605,囷,U+56F7,qūn
0188/1605,𬬩,U+2CB29,yì
0189/1605,钐,U+9490,shān，shàn
0190/1605,钔,U+9494,mén
0191/1605,钖,U+9496,yáng
0192/1605,牥,U+7265,fāng
0193/1605,佴,U+4F74,nài
0194/1605,垈,U+5788,dài
0195/1605,侁,U+4F81,shēn
0196/1605,侹,U+4FB9,tǐng
0197/1605,佸,U+4F78,huó
0198/1605,佺,U+4F7A,quán
0199/1605,隹,U+96B9,zhuī
0200/1605,㑊,U+344A,yì
0201/1605,侂,U+4F82,tuō
0202/1605,佽,U+4F7D,cì
0203/1605,侘,U+4F98,chà
0204/1605,郈,U+90C8,hòu
0205/1605,舠,U+8220,dāo
0206/1605,郐,U+90D0,kuài
0207/1605,郃,U+90C3,hé
0208/1605,攽,U+653D,bān
0209/1605,肭,U+80AD,nà
0210/1605,肸,U+80B8,xī
0211/1605,肷,U+80B7,qiǎn
0212/1605,狉,U+72C9,pī
0213/1605,狝,U+72DD,xiǎn
0214/1605,饳,U+9973,duò
0215/1605,忞,U+5FDE,mín
0216/1605,於,U+65BC,yū，yú
0217/1605,炌,U+708C,kài
0218/1605,炆,U+7086,wén
0219/1605,泙,U+6CD9,píng
0220/1605,沺,U+6CBA,tián
0221/1605,泂,U+6CC2,jiǒng
0222/1605,泜,U+6CDC,zhī
0223/1605,泃,U+6CC3,jū
0224/1605,泇,U+6CC7,jiā
0225/1605,怊,U+600A,chāo
0226/1605,峃,U+5CC3,xué
0227/1605,穸,U+7A78,xī
0228/1605,祋,U+794B,duì
0229/1605,祊,U+794A,bēng
0230/1605,𫍣,U+2B363,tóng
0231/1605,𬣳,U+2C8F3,hěn
0232/1605,𬩽,U+2CA7D,xún
0233/1605,鸤,U+9E24,shī
0234/1605,弢,U+5F22,tāo
0235/1605,弨,U+5F28,chāo
0236/1605,陑,U+9651,ér
0237/1605,𬮿,U+2CBBF,gài
0238/1605,陎,U+964E,shū
0239/1605,𬯀,U+2CBC0,jī
0240/1605,卺,U+537A,jǐn
0241/1605,乸,U+4E78,nǎ
0242/1605,妭,U+59AD,bá
0243/1605,姈,U+59C8,líng
0244/1605,𫰛,U+2BC1B,xíng
0245/1605,迳,U+8FF3,jìng
0246/1605,叕,U+53D5,zhuó
0247/1605,𬳵,U+2CCF5,pī
0248/1605,驵,U+9A75,zǎng
0249/1605,𬳶,U+2CCF6,jiōng
0250/1605,䌹,U+4339,jiǒng
0251/1605,驺,U+9A7A,zōu
0252/1605,𫠊,U+2B80A,xuán
0253/1605,绋,U+7ECB,fú
0254/1605,绐,U+7ED0,dài
0255/1605,砉,U+7809,huā
0256/1605,耔,U+8014,zǐ
0257/1605,㛃,U+36C3,jié
0258/1605,玶,U+73B6,píng
0259/1605,珇,U+73C7,zǔ
0260/1605,珅,U+73C5,shēn
0261/1605,𬍛,U+2C35B,lì
0262/1605,珋,U+73CB,liǔ
0263/1605,玹,U+73B9,xuán
0264/1605,珌,U+73CC,bì
0265/1605,玿,U+73BF,sháo
0266/1605,韨,U+97E8,fú
0267/1605,垚,U+579A,yáo
0268/1605,垯,U+57AF,da
0269/1605,垙,U+5799,guāng
0270/1605,垲,U+57B2,kǎi
0271/1605,埏,U+57CF,shān
0272/1605,垍,U+578D,jì
0273/1605,耇,U+8007,gǒu
0274/1605,鿍,U+9FCD,gàng
0275/1605,垎,U+578E,hè
0276/1605,垴,U+57B4,nǎo
0277/1605,垟,U+579F,yáng
0278/1605,垞,U+579E,chá
0279/1605,挓,U+6313,zhā
0280/1605,垵,U+57B5,ān
0281/1605,垏,U+578F,lǜ
0282/1605,拶,U+62F6,zā，zǎn
0283/1605,荖,U+8356,lǎo
0284/1605,荁,U+8341,huán
0285/1605,荙,U+8359,dá
0286/1605,荛,U+835B,ráo
0287/1605,茈,U+8308,cí，zǐ
0288/1605,茽,U+833D,zhòng
0289/1605,荄,U+8344,gāi
0290/1605,茺,U+833A,chōng
0291/1605,𬜬,U+2C72C,màn
0292/1605,荓,U+8353,píng
0293/1605,茳,U+8333,jiāng
0294/1605,𦰡,U+26C21,nà，nuó
0295/1605,茛,U+831B,gèn
0296/1605,荭,U+836D,hóng
0297/1605,㭕,U+3B55,qū
0298/1605,柷,U+67F7,zhù
0299/1605,柃,U+67C3,líng
0300/1605,柊,U+67CA,zhōng
0301/1605,枹,U+67B9,bāo
0302/1605,栐,U+6810,yǒng
0303/1605,柖,U+67D6,sháo
0304/1605,郚,U+90DA,wú
0305/1605,剅,U+5245,lóu
0306/1605,䴓,U+4D13,shī
0307/1605,迺,U+8FFA,nǎi
0308/1605,厖,U+5396,máng
0309/1605,砆,U+7806,fū
0310/1605,砑,U+7811,yà
0311/1605,砄,U+7804,jué
0312/1605,耏,U+800F,ér，nài
0313/1605,奓,U+5953,zhā
0314/1605,䶮,U+4DAE,yǎn
0315/1605,轵,U+8F75,zhǐ
0316/1605,轷,U+8F77,hū
0317/1605,轹,U+8F79,lì
0318/1605,轺,U+8F7A,yáo
0319/1605,昺,U+663A,bǐng
0320/1605,𪾢,U+2AFA2,xiàn
0321/1605,昽,U+663D,lóng
0322/1605,盷,U+76F7,tián
0323/1605,咡,U+54A1,èr
0324/1605,咺,U+54BA,xuān
0325/1605,昳,U+6633,dié
0326/1605,昣,U+6623,zhěn
0327/1605,哒,U+54D2,dā
0328/1605,昤,U+6624,líng
0329/1605,昫,U+662B,xù
0330/1605,昡,U+6621,xuàn
0331/1605,咥,U+54A5,xì
0332/1605,昪,U+662A,biàn
0333/1605,虷,U+8677,gān，hán
0334/1605,虸,U+8678,zǐ
0335/1605,哃,U+54C3,tóng
0336/1605,峘,U+5CD8,huán
0337/1605,耑,U+8011,duān
0338/1605,峛,U+5CDB,liè
0339/1605,𪨰,U+2AA30,qū
0340/1605,峗,U+5CD7,wéi
0341/1605,峧,U+5CE7,jiāo
0342/1605,帡,U+5E21,píng
0343/1605,钘,U+9498,xíng
0344/1605,𫓧,U+2B4E7,fū
0345/1605,钜,U+949C,jù
0346/1605,𬬮,U+2CB2E,chǎng
0347/1605,𬬱,U+2CB31,jīn
0348/1605,𬬭,U+2CB2D,lún
0349/1605,钪,U+94AA,kàng
0350/1605,钬,U+94AC,huǒ
0351/1605,钭,U+94AD,dǒu
0352/1605,矧,U+77E7,shěn
0353/1605,秬,U+79EC,jù
0354/1605,俫,U+4FEB,lái
0355/1605,舁,U+8201,yú
0356/1605,俜,U+4FDC,pīng
0357/1605,俙,U+4FD9,xī
0358/1605,俍,U+4FCD,liáng
0359/1605,垕,U+5795,hòu
0360/1605,衎,U+884E,kàn
0361/1605,舣,U+8223,yǐ
0362/1605,弇,U+5F07,yǎn
0363/1605,侴,U+4FB4,chǒu
0364/1605,鸧,U+9E27,cāng
0365/1605,䏡,U+43E1,shì
0366/1605,胠,U+80E0,qū
0367/1605,𦙶,U+26676,gǔ
0368/1605,胈,U+80C8,bá
0369/1605,胩,U+80E9,kǎ
0370/1605,胣,U+80E3,chǐ
0371/1605,朏,U+670F,fěi
0372/1605,飐,U+98D0,zhǎn
0373/1605,訄,U+8A04,qiú
0374/1605,饻,U+997B,xī
0375/1605,庤,U+5EA4,zhì
0376/1605,疢,U+75A2,chèn
0377/1605,炣,U+70A3,kě
0378/1605,炟,U+709F,dá
0379/1605,㶲,U+3DB2,yòng
0380/1605,洭,U+6D2D,kuāng
0381/1605,洘,U+6D18,kǎo
0382/1605,洓,U+6D13,qì
0383/1605,洿,U+6D3F,wū
0384/1605,㳚,U+3CDA,xù
0385/1605,泚,U+6CDA,cǐ
0386/1605,浈,U+6D48,zhēn
0387/1605,浉,U+6D49,shī
0388/1605,洸,U+6D38,guāng
0389/1605,洑,U+6D11,fú
0390/1605,洢,U+6D22,yī
0391/1605,洈,U+6D08,wéi
0392/1605,洚,U+6D1A,jiàng
0393/1605,洺,U+6D3A,míng
0394/1605,洨,U+6D28,xiáo
0395/1605,浐,U+6D50,chǎn
0396/1605,㳘,U+3CD8,chōng
0397/1605,洴,U+6D34,píng
0398/1605,洣,U+6D23,mǐ
0399/1605,恔,U+6054,jiǎo
0400/1605,宬,U+5BAC,chéng
0401/1605,窀,U+7A80,zhūn
0402/1605,扂,U+6242,diàn
0403/1605,袆,U+8886,huī
0404/1605,祏,U+794F,shí
0405/1605,祐,U+7950,yòu
0406/1605,祕,U+7955,mì
0407/1605,叚,U+53DA,xiá
0408/1605,陧,U+9667,niè
0409/1605,陞,U+965E,shēng
0410/1605,娀,U+5A00,sōng
0411/1605,姞,U+59DE,jí
0412/1605,姱,U+59F1,kuā
0413/1605,姤,U+59E4,gòu
0414/1605,姶,U+59F6,è
0415/1605,姽,U+59FD,guǐ
0416/1605,枲,U+67B2,xǐ
0417/1605,绖,U+7ED6,dié
0418/1605,骃,U+9A83,yīn
0419/1605,𬘡,U+2C621,yīn
0420/1605,𬳽,U+2CCFD,shēn
0421/1605,𬘩,U+2C629,tīng
0422/1605,𫄧,U+2B127,yán
0423/1605,彖,U+5F56,tuàn
0424/1605,骉,U+9A89,biāo
0425/1605,恝,U+605D,jiá
0426/1605,珪,U+73EA,guī
0427/1605,珛,U+73DB,xiù
0428/1605,珹,U+73F9,chéng
0429/1605,琊,U+740A,yá
0430/1605,玼,U+73BC,cǐ
0431/1605,珖,U+73D6,guāng
0432/1605,𪟝,U+2A7DD,jì
0433/1605,珽,U+73FD,tǐng
0434/1605,珦,U+73E6,xiàng
0435/1605,珫,U+73EB,chōng
0436/1605,珒,U+73D2,jīn
0437/1605,𬍤,U+2C364,xún
0438/1605,珢,U+73E2,yín
0439/1605,珕,U+73D5,lì
0440/1605,珝,U+73DD,xǔ
0441/1605,𫭼,U+2BB7C,láo
0442/1605,埗,U+57D7,bù
0443/1605,垾,U+57BE,hàn
0444/1605,垺,U+57BA,fú
0445/1605,埆,U+57C6,què
0446/1605,垿,U+57BF,xù
0447/1605,埌,U+57CC,làng
0448/1605,埇,U+57C7,yǒng
0449/1605,莰,U+83B0,kǎn
0450/1605,茝,U+831D,chǎi
0451/1605,𬜯,U+2C72F,liǎng
0452/1605,鄀,U+9100,ruò
0453/1605,莶,U+83B6,xiān
0454/1605,莝,U+839D,cuò
0455/1605,䓖,U+44D6,qióng
0456/1605,莙,U+8399,jūn
0457/1605,栻,U+683B,shì
0458/1605,桠,U+6860,yā
0459/1605,𬂩,U+2C0A9,jiā
0460/1605,桄,U+6844,guāng，guàng
0461/1605,梠,U+68A0,lǚ
0462/1605,栴,U+6834,zhān
0463/1605,梴,U+68B4,chān
0464/1605,栒,U+6812,xún
0465/1605,酎,U+914E,zhòu
0466/1605,酏,U+914F,yǐ
0467/1605,𫠆,U+2B806,kuǐ
0468/1605,砵,U+7835,bō
0469/1605,砠,U+7820,jū
0470/1605,砫,U+782B,zhù
0471/1605,砬,U+782C,lá
0472/1605,硁,U+7841,kēng
0473/1605,恧,U+6067,nǜ
0474/1605,翃,U+7FC3,hóng
0475/1605,郪,U+90EA,qī
0476/1605,𨐈,U+28408,guāng
0477/1605,辀,U+8F80,zhōu
0478/1605,辁,U+8F81,quán
0479/1605,𬌗,U+2C317,hé
0480/1605,剕,U+5255,fèi
0481/1605,赀,U+8D40,zī
0482/1605,哢,U+54E2,lòng
0483/1605,晅,U+6645,xuǎn
0484/1605,晊,U+664A,zhì
0485/1605,唝,U+551D,hǒng
0486/1605,哳,U+54F3,zhā
0487/1605,哱,U+54F1,bō
0488/1605,冔,U+5194,xǔ
0489/1605,晔,U+6654,yè
0490/1605,晐,U+6650,gāi
0491/1605,晖,U+6656,huī
0492/1605,畖,U+7556,wā
0493/1605,蚄,U+8684,fāng
0494/1605,蚆,U+8686,bā
0495/1605,𫑡,U+2B461,méng
0496/1605,帱,U+5E31,chóu，dào
0497/1605,崁,U+5D01,kàn
0498/1605,峿,U+5CFF,wú
0499/1605,𪨶,U+2AA36,shē
0500/1605,崄,U+5D04,xiǎn
0501/1605,帨,U+5E28,shuì
0502/1605,崀,U+5D00,làng
0503/1605,赆,U+8D46,jìn
0504/1605,𬬸,U+2CB38,shù
0505/1605,钷,U+94B7,pǒ
0506/1605,𬬻,U+2CB3B,lú
0507/1605,𬬹,U+2CB39,shén
0508/1605,𬬿,U+2CB3F,zhāo
0509/1605,𬭁,U+2CB41,mǔ
0510/1605,眚,U+771A,shěng
0511/1605,甡,U+7521,shēn
0512/1605,笫,U+7B2B,zǐ
0513/1605,倻,U+503B,yē
0514/1605,倴,U+5034,bèn
0515/1605,脩,U+8129,xiū
0516/1605,倮,U+502E,luǒ
0517/1605,倕,U+5015,chuí
0518/1605,倞,U+501E,jìng
0519/1605,𫢸,U+2B8B8,dàn
0520/1605,倓,U+5013,tán
0521/1605,倧,U+5027,zōng
0522/1605,衃,U+8843,pēi
0523/1605,虒,U+8652,sī
0524/1605,舭,U+822D,bǐ
0525/1605,舯,U+822F,zhōng
0526/1605,舥,U+8225,pā
0527/1605,瓞,U+74DE,dié
0528/1605,鬯,U+9B2F,chàng
0529/1605,鸰,U+9E30,líng
0530/1605,脎,U+810E,sà
0531/1605,朓,U+6713,tiǎo
0532/1605,胲,U+80F2,hǎi
0533/1605,虓,U+8653,xiāo
0534/1605,鱽,U+9C7D,dāo
0535/1605,狴,U+72F4,bì
0536/1605,峱,U+5CF1,náo
0537/1605,狻,U+72FB,suān
0538/1605,眢,U+7722,yuān
0539/1605,𫗧,U+2B5E7,sù
0540/1605,勍,U+52CD,qíng
0541/1605,痄,U+75C4,zhà
0542/1605,疰,U+75B0,zhù
0543/1605,痃,U+75C3,xuán
0544/1605,竘,U+7AD8,qǔ
0545/1605,羖,U+7F96,gǔ
0546/1605,羓,U+7F93,bā
0547/1605,桊,U+684A,juàn
0548/1605,敉,U+6549,mǐ
0549/1605,烠,U+70E0,huí
0550/1605,烔,U+70D4,tóng
0551/1605,烶,U+70F6,tǐng
0552/1605,烻,U+70FB,shān
0553/1605,𬊈,U+2C288,xún
0554/1605,涍,U+6D8D,xiào
0555/1605,浡,U+6D61,bó
0556/1605,浭,U+6D6D,gēng
0557/1605,浬,U+6D6C,lǐ
0558/1605,涄,U+6D84,pīng
0559/1605,涢,U+6DA2,yún
0560/1605,涐,U+6D90,é
0561/1605,浰,U+6D70,lì，liàn
0562/1605,浟,U+6D5F,yóu
0563/1605,浛,U+6D5B,hán
0564/1605,浼,U+6D7C,měi
0565/1605,浲,U+6D72,féng
0566/1605,涘,U+6D98,sì
0567/1605,悈,U+6088,jiè
0568/1605,悃,U+6083,kǔn
0569/1605,悢,U+60A2,liàng
0570/1605,𬒈,U+2C488,què
0571/1605,宧,U+5BA7,yí
0572/1605,窅,U+7A85,yǎo
0573/1605,窊,U+7A8A,wā
0574/1605,窎,U+7A8E,diào
0575/1605,扅,U+6245,yí
0576/1605,扆,U+6246,yǐ
0577/1605,袪,U+88AA,qū
0578/1605,袗,U+8897,zhěn
0579/1605,袯,U+88AF,bó
0580/1605,祧,U+7967,tiāo
0581/1605,隺,U+96BA,hè
0582/1605,堲,U+5832,jí
0583/1605,疍,U+758D,dàn
0584/1605,𨺙,U+28E99,nì
0585/1605,陴,U+9674,pí
0586/1605,烝,U+70DD,zhēng
0587/1605,砮,U+782E,nǔ
0588/1605,㛚,U+36DA,tǒng
0589/1605,哿,U+54FF,gě
0590/1605,翀,U+7FC0,chōng
0591/1605,翂,U+7FC2,fēn
0592/1605,剟,U+525F,duō
0593/1605,𬳿,U+2CCFF,tú
0594/1605,𫄨,U+2B128,chī
0595/1605,绤,U+7EE4,xì
0596/1605,骍,U+9A8D,xīng
0597/1605,𬘫,U+2C62B,huán
0598/1605,䂮,U+40AE,lüè
0599/1605,琎,U+740E,jìn
0600/1605,珸,U+73F8,wú
0601/1605,珵,U+73F5,chéng
0602/1605,琄,U+7404,xuàn
0603/1605,琈,U+7408,fú
0604/1605,琀,U+7400,hán
0605/1605,珺,U+73FA,jùn
0606/1605,掭,U+63AD,tiàn
0607/1605,堎,U+580E,lèng
0608/1605,堐,U+5810,yá
0609/1605,埼,U+57FC,qí
0610/1605,掎,U+638E,jǐ
0611/1605,埫,U+57EB,tǎng
0612/1605,堌,U+580C,gù
0613/1605,晢,U+6662,zhé
0614/1605,𫮃,U+2BB83,shàn
0615/1605,掞,U+639E,yàn
0616/1605,埪,U+57EA,kōng
0617/1605,壸,U+58F8,kǔn
0618/1605,㙍,U+364D,duō
0619/1605,聍,U+804D,níng
0620/1605,菝,U+83DD,bá
0621/1605,萚,U+841A,tuò
0622/1605,菥,U+83E5,xī
0623/1605,莿,U+83BF,cì
0624/1605,䓫,U+44EB,qí
0625/1605,勚,U+52DA,yì
0626/1605,䓬,U+44EC,zhuó
0627/1605,萆,U+8406,bì
0628/1605,菂,U+83C2,dì
0629/1605,菍,U+83CD,niè
0630/1605,菼,U+83FC,tǎn
0631/1605,萣,U+8423,dìng
0632/1605,䓨,U+44E8,yīng
0633/1605,菉,U+83C9,lù
0634/1605,䓛,U+44DB,qū
0635/1605,梼,U+68BC,táo
0636/1605,梽,U+68BD,zhì
0637/1605,桲,U+6872,bó，po
0638/1605,梾,U+68BE,lái
0639/1605,桯,U+686F,tīng
0640/1605,梣,U+68A3,chén，qín
0641/1605,梌,U+688C,tú
0642/1605,桹,U+6879,láng
0643/1605,敔,U+6554,yǔ
0644/1605,厣,U+53A3,yǎn
0645/1605,硔,U+7854,gǒng
0646/1605,鿎,U+9FCE,dá，tǎ
0647/1605,硙,U+7859,wèi
0648/1605,硚,U+785A,qiáo
0649/1605,硊,U+784A,huì
0650/1605,硍,U+784D,yín
0651/1605,勔,U+52D4,miǎn
0652/1605,䴕,U+4D15,liè
0653/1605,龁,U+9F81,hé
0654/1605,逴,U+9034,chuō
0655/1605,唪,U+552A,fěng
0656/1605,啫,U+556B,zhě
0657/1605,翈,U+7FC8,xiá
0658/1605,㫰,U+3AF0,làng
0659/1605,晙,U+6659,jùn
0660/1605,畤,U+7564,zhì
0661/1605,𬱖,U+2CC56,dí
0662/1605,趼,U+8DBC,jiǎn
0663/1605,跂,U+8DC2,qí
0664/1605,蛃,U+86C3,bǐng
0665/1605,蚲,U+86B2,píng
0666/1605,𬟽,U+2C7FD,dōng
0667/1605,蚺,U+86BA,rán
0668/1605,啴,U+5574,chǎn
0669/1605,䎃,U+4383,rǎn
0670/1605,崧,U+5D27,sōng
0671/1605,崟,U+5D1F,yín
0672/1605,崞,U+5D1E,guō
0673/1605,崒,U+5D12,zú
0674/1605,崌,U+5D0C,jū
0675/1605,崡,U+5D21,hán
0676/1605,铏,U+94CF,xíng
0677/1605,𫓯,U+2B4EF,jī
0678/1605,𫟹,U+2B7F9,hóng
0679/1605,铕,U+94D5,yǒu
0680/1605,𫟼,U+2B7FC,dá
0681/1605,铖,U+94D6,chéng
0682/1605,铘,U+94D8,yé
0683/1605,铚,U+94DA,zhì
0684/1605,铞,U+94DE,diào
0685/1605,铥,U+94E5,diū
0686/1605,铴,U+94F4,tāng
0687/1605,牻,U+727B,máng
0688/1605,牿,U+727F,gù
0689/1605,稆,U+7A06,lǚ
0690/1605,笱,U+7B31,gǒu
0691/1605,笯,U+7B2F,nú
0692/1605,偰,U+5070,xiè
0693/1605,偡,U+5061,zhàn
0694/1605,鸺,U+9E3A,xiū
0695/1605,偭,U+506D,miǎn
0696/1605,偲,U+5072,cāi
0697/1605,偁,U+5041,chēng
0698/1605,㿠,U+3FE0,huàng
0699/1605,鄅,U+9105,yǔ
0700/1605,偓,U+5053,wò
0701/1605,徛,U+5F9B,jì
0702/1605,衒,U+8852,xuàn
0703/1605,舳,U+8233,zhú
0704/1605,舲,U+8232,líng
0705/1605,鸼,U+9E3C,zhōu
0706/1605,悆,U+6086,yù
0707/1605,鄃,U+9103,shū
0708/1605,瓻,U+74FB,chī
0709/1605,䝙,U+4759,chū
0710/1605,脶,U+8136,luó
0711/1605,脞,U+811E,cuǒ
0712/1605,脟,U+811F,liè
0713/1605,䏲,U+43F2,tī
0714/1605,鱾,U+9C7E,jǐ
0715/1605,猇,U+7307,xiāo
0716/1605,猊,U+730A,ní
0717/1605,猄,U+7304,jīng
0718/1605,觖,U+89D6,jué
0719/1605,𠅤,U+20164,xí
0720/1605,庱,U+5EB1,chěng
0721/1605,庼,U+5EBC,qǐng
0722/1605,庳,U+5EB3,bì
0723/1605,痓,U+75D3,chì
0724/1605,䴔,U+4D14,jiāo
0725/1605,竫,U+7AEB,jìng
0726/1605,堃,U+5803,kūn
0727/1605,阌,U+960C,wén
0728/1605,羝,U+7F9D,dī
0729/1605,羕,U+7F95,yàng
0730/1605,焆,U+7106,juān
0731/1605,烺,U+70FA,lǎng
0732/1605,焌,U+710C,jùn，qū
