seq,word,Unicode,pinyin
3683,孛,U+5B5B,bèi
3684,邴,U+90B4,bǐng
3685,邳,U+90B3,pī
3686,矶,U+77F6,jī
3687,奁,U+5941,lián
3688,豕,U+8C55,shǐ
3689,忒,U+5FD2,tuī
3690,欤,U+6B24,yú
3691,轫,U+8F6B,rèn
3692,迓,U+8FD3,yà
3693,邶,U+90B6,bèi
3694,忐,U+5FD0,tǎn
3695,卣,U+5363,yǒu
3696,邺,U+90BA,yè
3697,旰,U+65F0,gàn
3698,呋,U+544B,fū
3699,呒,U+5452,ḿ
3700,呓,U+5453,yì
3701,呔,U+5454,dāi
3702,呖,U+5456,lì
3703,呃,U+5443,è，e
3704,旸,U+65F8,yáng
3705,吡,U+5421,bǐ
3706,町,U+753A,dīng
3707,虬,U+866C,qiú
3708,呗,U+5457,bei
3709,吽,U+543D,hōng
3710,吣,U+5423,qìn
3711,吲,U+5432,yǐn
3712,帏,U+5E0F,wéi
3713,岐,U+5C90,qí
3714,岈,U+5C88,yá
3715,岘,U+5C98,xiàn
3716,岑,U+5C91,cén
3717,岚,U+5C9A,lán
3718,兕,U+5155,sì
3719,囵,U+56F5,lún
3720,囫,U+56EB,hú
3721,钊,U+948A,zhāo
3722,钋,U+948B,pō
3723,钌,U+948C,liǎo，liào
3724,迕,U+8FD5,wǔ
3725,氙,U+6C19,xiān
3726,氚,U+6C1A,chuān
3727,牤,U+7264,māng
3728,佞,U+4F5E,nìng
3729,邱,U+90B1,qiū
3730,攸,U+6538,yōu
3731,佚,U+4F5A,yì
3732,佝,U+4F5D,gōu
3733,佟,U+4F5F,tóng
3734,佗,U+4F57,tuó
3735,伽,U+4F3D,gā，jiā，qié
3736,彷,U+5F77,páng
3737,佘,U+4F58,shé
3738,佥,U+4F65,qiān
3739,孚,U+5B5A,fú
3740,豸,U+8C78,zhài，zhì
3741,坌,U+574C,bèn
3742,肟,U+809F,wò
3743,邸,U+90B8,dǐ
3744,奂,U+5942,huàn
3745,劬,U+52AC,qú
3746,狄,U+72C4,dí
3747,狁,U+72C1,yǔn
3748,鸠,U+9E20,jiū
3749,邹,U+90B9,zōu
3750,饨,U+9968,tún
3751,饩,U+9969,xì
3752,饪,U+996A,rèn
3753,饫,U+996B,yù
3754,饬,U+996C,chì
3755,亨,U+4EA8,hēng
3756,庑,U+5E91,wǔ
3757,庋,U+5E8B,guǐ
3758,疔,U+7594,dīng
3759,疖,U+7596,jiē
3760,肓,U+8093,huāng
3761,闱,U+95F1,wéi
3762,闳,U+95F3,hóng
3763,闵,U+95F5,mǐn
3764,羌,U+7F8C,qiāng
3765,炀,U+7080,yáng
3766,沣,U+6CA3,fēng
3767,沅,U+6C85,yuán
3768,沔,U+6C94,miǎn
3769,沤,U+6CA4,òu
3770,沌,U+6C8C,dùn，zhuàn
3771,沏,U+6C8F,qī
3772,沚,U+6C9A,zhǐ
3773,汩,U+6C69,gǔ
3774,汨,U+6C68,mì
3775,沂,U+6C82,yí
3776,汾,U+6C7E,fén
3777,沨,U+6CA8,fēng
3778,汴,U+6C74,biàn
3779,汶,U+6C76,wèn
3780,沆,U+6C86,hàng
3781,沩,U+6CA9,wéi
3782,泐,U+6CD0,lè
3783,怃,U+6003,wǔ
3784,怄,U+6004,òu
3785,忡,U+5FE1,chōng
3786,忤,U+5FE4,wǔ
3787,忾,U+5FFE,kài
3788,怅,U+6005,chàng
3789,忻,U+5FFB,xīn
3790,忪,U+5FEA,sōng
3791,怆,U+6006,chuàng
3792,忭,U+5FED,biàn
3793,忸,U+5FF8,niǔ
3794,诂,U+8BC2,gǔ
3795,诃,U+8BC3,hē
3796,诅,U+8BC5,zǔ
3797,诋,U+8BCB,dǐ
3798,诌,U+8BCC,zhōu
3799,诏,U+8BCF,zhào
3800,诒,U+8BD2,yí
3801,孜,U+5B5C,zī
3802,陇,U+9647,lǒng
3803,陀,U+9640,tuó
3804,陂,U+9642,pí
3805,陉,U+9649,xíng
3806,妍,U+598D,yán
3807,妩,U+59A9,wǔ
3808,妪,U+59AA,yù
3809,妣,U+59A3,bǐ
3810,妊,U+598A,rèn
3811,妗,U+5997,jìn
3812,妫,U+59AB,guī
3813,妞,U+599E,niū
3814,姒,U+59D2,sì
3815,妤,U+59A4,yú
3816,邵,U+90B5,shào
3817,劭,U+52AD,shào
3818,刭,U+522D,jǐng
3819,甬,U+752C,yǒng
3820,邰,U+90B0,tái
3821,纭,U+7EAD,yún
3822,纰,U+7EB0,pī
3823,纴,U+7EB4,rèn
3824,纶,U+7EB6,guān，lún
3825,纾,U+7EBE,shū
3826,玮,U+73AE,wěi
3827,玡,U+73A1,yá
3828,玭,U+73AD,pín
3829,玠,U+73A0,jiè
3830,玢,U+73A2,bīn，fēn
3831,玥,U+73A5,yuè
3832,玦,U+73A6,jué
3833,盂,U+76C2,yú
3834,忝,U+5FDD,tiǎn
3835,匦,U+5326,guǐ
3836,坩,U+5769,gān
3837,抨,U+62A8,pēng
3838,拤,U+62E4,qiá
3839,坫,U+576B,diàn
3840,拈,U+62C8,niān
3841,垆,U+5786,lú
3842,抻,U+62BB,chēn
3843,劼,U+52BC,jié
3844,拃,U+62C3,zhǎ
3845,拊,U+62CA,fǔ
3846,坼,U+577C,chè
3847,坻,U+577B,dǐ
3848,㧟,U+39DF,kuǎi
3849,坨,U+5768,tuó
3850,坭,U+576D,ní
3851,抿,U+62BF,mǐn
3852,坳,U+5773,ào
3853,耶,U+8036,yē，yé
3854,苷,U+82F7,gān
3855,苯,U+82EF,běn
3856,苤,U+82E4,piě
3857,茏,U+830F,lóng
3858,苫,U+82EB,shān，shàn
3859,苜,U+82DC,mù
3860,苴,U+82F4,jū
3861,苒,U+82D2,rǎn
3862,苘,U+82D8,qǐng
3863,茌,U+830C,chí
3864,苻,U+82FB,fú
3865,苓,U+82D3,líng
3866,茚,U+831A,yìn
3867,茆,U+8306,máo
3868,茑,U+8311,niǎo
3869,茓,U+8313,xué
3870,茔,U+8314,yíng
3871,茕,U+8315,qióng
3872,茀,U+8300,fú
3873,苕,U+82D5,sháo
3874,枥,U+67A5,lì
3875,枇,U+6787,pí
3876,杪,U+676A,miǎo
3877,杳,U+6773,yǎo
3878,枧,U+67A7,jiǎn
3879,杵,U+6775,chǔ
3880,枨,U+67A8,chéng
3881,枞,U+679E,cōng，zōng
3882,枋,U+678B,fāng
3883,杻,U+677B,chǒu，niǔ
3884,杷,U+6777,pá
3885,杼,U+677C,zhù
3886,矸,U+77F8,gān
3887,砀,U+7800,dàng
3888,刳,U+5233,kū
3889,奄,U+5944,yǎn
3890,瓯,U+74EF,ōu
3891,殁,U+6B81,mò
3892,郏,U+90CF,jiá
3893,轭,U+8F6D,è
3894,郅,U+90C5,zhì
3895,鸢,U+9E22,yuān
3896,盱,U+76F1,xū
3897,昊,U+660A,hào
3898,昙,U+6619,tán
3899,杲,U+6772,gǎo
3900,昃,U+6603,zè
3901,咂,U+5482,zā
3902,呸,U+5478,pēi
3903,昕,U+6615,xīn
3904,昀,U+6600,yún
3905,旻,U+65FB,mín
3906,昉,U+6609,fǎng
3907,炅,U+7085,guì，jiǒng
3908,咔,U+5494,kā，kǎ
3909,畀,U+7540,bì
3910,虮,U+866E,jǐ
3911,咀,U+5480,jǔ，zuǐ
3912,呷,U+5477,xiā
3913,黾,U+9EFE,mǐn
3914,呱,U+5471,gū，guā
3915,呤,U+5464,lìng
3916,咚,U+549A,dōng
3917,咆,U+5486,páo
3918,咛,U+549B,níng
3919,呶,U+5476,náo
3920,呣,U+5463,ḿ，m̀
3921,呦,U+5466,yōu
3922,咝,U+549D,sī
3923,岢,U+5CA2,kě
3924,岿,U+5CBF,kuī
3925,岬,U+5CAC,jiǎ
3926,岫,U+5CAB,xiù
3927,帙,U+5E19,zhì
3928,岣,U+5CA3,gǒu
3929,峁,U+5CC1,mǎo
3930,刿,U+523F,guì
3931,迥,U+8FE5,jiǒng
3932,岷,U+5CB7,mín
3933,剀,U+5240,kǎi
3934,帔,U+5E14,pèi
3935,峄,U+5CC4,yì
3936,沓,U+6C93,dá，tà
3937,囹,U+56F9,líng
3938,罔,U+7F54,wǎng
3939,钍,U+948D,tǔ
3940,钎,U+948E,qiān
3941,钏,U+948F,chuàn
3942,钒,U+9492,fán
3943,钕,U+9495,nǚ
3944,钗,U+9497,chāi
3945,邾,U+90BE,zhū
3946,迮,U+8FEE,zé
3947,牦,U+7266,máo
3948,竺,U+7AFA,zhú
3949,迤,U+8FE4,yí，yǐ
3950,佶,U+4F76,jí
3951,佬,U+4F6C,lǎo
3952,佰,U+4F70,bǎi
3953,侑,U+4F91,yòu
3954,侉,U+4F89,kuǎ
3955,臾,U+81FE,yú
3956,岱,U+5CB1,dài
3957,侗,U+4F97,dòng
3958,侃,U+4F83,kǎn
3959,侏,U+4F8F,zhū
3960,侩,U+4FA9,kuài
3961,佻,U+4F7B,tiāo
3962,佾,U+4F7E,yì
3963,侪,U+4FAA,chái
3964,佼,U+4F7C,jiǎo
3965,佯,U+4F6F,yáng
3966,侬,U+4FAC,nóng
3967,帛,U+5E1B,bó
3968,阜,U+961C,fù
3969,侔,U+4F94,móu
3970,徂,U+5F82,cú
3971,刽,U+523D,guì
3972,郄,U+90C4,qiè
3973,怂,U+6002,sǒng
3974,籴,U+7C74,dí
3975,瓮,U+74EE,wèng
3976,戗,U+6217,qiāng，qiàng
3977,肼,U+80BC,jǐng
3978,䏝,U+43DD,zhuān
3979,肽,U+80BD,tài
3980,肱,U+80B1,gōng
3981,肫,U+80AB,zhūn
3982,剁,U+5241,duò
3983,迩,U+8FE9,ěr
3984,郇,U+90C7,huán，xún
3985,狙,U+72D9,jū
3986,狎,U+72CE,xiá
3987,狍,U+72CD,páo
3988,狒,U+72D2,fèi
3989,咎,U+548E,jiù
3990,炙,U+7099,zhì
3991,枭,U+67AD,xiāo
3992,饯,U+996F,jiàn
3993,饴,U+9974,yí
3994,冽,U+51BD,liè
3995,冼,U+51BC,xiǎn
3996,庖,U+5E96,páo
3997,疠,U+75A0,lì
3998,疝,U+759D,shàn
3999,疡,U+75A1,yáng
4000,兖,U+5156,yǎn
4001,妾,U+59BE,qiè
4002,劾,U+52BE,hé
4003,炜,U+709C,wěi
4004,𬉼,U+2C27,Cǒu
4005,炖,U+7096,dùn
4006,炘,U+7098,xīn
4007,炝,U+709D,qiàng
4008,炔,U+7094,quē
4009,泔,U+6CD4,gān
4010,沭,U+6CAD,shù
4011,泷,U+6CF7,lóng，shuāng
4012,泸,U+6CF8,lú
4013,泱,U+6CF1,yāng
4014,泅,U+6CC5,qiú
4015,泗,U+6CD7,sì
4016,泠,U+6CE0,líng
4017,泺,U+6CFA,luò
4018,泖,U+6CD6,mǎo
4019,泫,U+6CEB,xuàn
4020,泮,U+6CEE,pàn
4021,沱,U+6CB1,tuó
4022,泯,U+6CEF,mǐn
4023,泓,U+6CD3,hóng
4024,泾,U+6CFE,jīng
4025,怙,U+6019,hù
4026,怵,U+6035,chù
4027,怦,U+6026,pēng
4028,怛,U+601B,dá
4029,怏,U+600F,yàng
4030,怍,U+600D,zuò
4031,㤘,U+3918,zhòu
4032,怩,U+6029,ní
4033,怫,U+602B,fú
4034,怿,U+603F,yì
4035,宕,U+5B95,dàng
4036,穹,U+7A79,qióng
4037,宓,U+5B93,fú，mì
4038,诓,U+8BD3,kuāng
4039,诔,U+8BD4,lěi
4040,诖,U+8BD6,guà
4041,诘,U+8BD8,jié
4042,戾,U+623E,lì
4043,诙,U+8BD9,huī
4044,戽,U+623D,hù
4045,郓,U+90D3,yùn
4046,衩,U+8869,chǎ，chà
4047,祆,U+7946,xiān
4048,祎,U+794E,yī
4049,祉,U+7949,zhǐ
4050,祇,U+7947,qí
4051,诛,U+8BDB,zhū
4052,诜,U+8BDC,shēn
4053,诟,U+8BDF,gòu
4054,诠,U+8BE0,quán
4055,诣,U+8BE3,yì
4056,诤,U+8BE4,zhèng
4057,诧,U+8BE7,chà
4058,诨,U+8BE8,hùn
4059,诩,U+8BE9,xǔ
4060,戕,U+6215,qiāng
4061,孢,U+5B62,bāo
4062,亟,U+4E9F,jí，qì
4063,陔,U+9654,gāi
4064,妲,U+59B2,dá
4065,妯,U+59AF,zhóu
4066,姗,U+59D7,shān
4067,帑,U+5E11,tǎng
4068,弩,U+5F29,nǔ
4069,孥,U+5B65,nú
4070,驽,U+9A7D,nú
4071,虱,U+8671,shī
4072,迦,U+8FE6,jiā
4073,迨,U+8FE8,dài
4074,绀,U+7EC0,gàn
4075,绁,U+7EC1,xiè
4076,绂,U+7EC2,fú
4077,驷,U+9A77,sì
4078,驸,U+9A78,fù
4079,绉,U+7EC9,zhòu
4080,绌,U+7ECC,chù
4081,驿,U+9A7F,yì
4082,骀,U+9A80,dài，tái
4083,甾,U+753E,zāi
4084,珏,U+73CF,jué
4085,珐,U+73D0,fà
4086,珂,U+73C2,kē
4087,珑,U+73D1,lóng
4088,玳,U+73B3,dài
4089,珀,U+73C0,pò
4090,顸,U+9878,hān
4091,珉,U+73C9,mín
4092,珈,U+73C8,jiā
4093,拮,U+62EE,jié
4094,垭,U+57AD,yā
4095,挝,U+631D,wō
4096,垣,U+57A3,yuán
4097,挞,U+631E,tà
4098,垤,U+57A4,dié
4099,赳,U+8D73,jiū
4100,贲,U+8D32,bēn
4101,垱,U+57B1,dàng
4102,垌,U+578C,dòng，tóng
4103,郝,U+90DD,hǎo
4104,垧,U+57A7,shǎng
4105,垓,U+5793,gāi
4106,挦,U+6326,xián
4107,垠,U+57A0,yín
4108,茜,U+831C,qiàn，xī
4109,荚,U+835A,jiá
4110,荑,U+8351,tí，yí
4111,贳,U+8D33,shì
4112,荜,U+835C,bì
4113,莒,U+8392,jǔ
4114,茼,U+833C,tóng
4115,茴,U+8334,huí
4116,茱,U+8331,zhū
4117,莛,U+839B,tíng
4118,荞,U+835E,qiáo
4119,茯,U+832F,fú
4120,荏,U+834F,rěn
4121,荇,U+8347,xìng
4122,荃,U+8343,quán
4123,荟,U+835F,huì
4124,荀,U+8340,xún
4125,茗,U+8317,míng
4126,荠,U+8360,jì，qí
4127,茭,U+832D,jiāo
4128,茨,U+8328,cí
4129,垩,U+57A9,è
4130,荥,U+8365,xíng，yíng
4131,荦,U+8366,luò
4132,荨,U+8368,qián，xún
4133,荩,U+8369,jìn
4134,剋,U+524B,kēi
4135,荪,U+836A,sūn
4136,茹,U+8339,rú
4137,荬,U+836C,mǎi
4138,荮,U+836E,zhòu
4139,柰,U+67F0,nài
4140,栉,U+6809,zhì
4141,柯,U+67EF,kē
4142,柘,U+67D8,zhè
4143,栊,U+680A,lóng
4144,柩,U+67E9,jiù
4145,枰,U+67B0,píng
4146,栌,U+680C,lú
4147,柙,U+67D9,xiá
4148,枵,U+67B5,xiāo
4149,柚,U+67DA,yóu，yòu
4150,枳,U+67B3,zhǐ
4151,柞,U+67DE,zhà，zuò
4152,柝,U+67DD,tuò
4153,栀,U+6800,zhī
4154,柢,U+67E2,dǐ
4155,栎,U+680E,lì，yuè
4156,枸,U+67B8,gōu，gǒu，jǔ
4157,柈,U+67C8,bàn
4158,柁,U+67C1,tuó
4159,枷,U+67B7,jiā
4160,柽,U+67FD,chēng
4161,剌,U+524C,là
4162,酊,U+914A,dīng，dǐng
4163,郦,U+90E6,lì
4164,甭,U+752D,béng
4165,砗,U+7817,chē
4166,砘,U+7818,dùn
4167,砒,U+7812,pī
4168,斫,U+65AB,zhuó
4169,砭,U+782D,biān
4170,砜,U+781C,fēng
4171,奎,U+594E,kuí
4172,耷,U+8037,dā
4173,虺,U+867A,huǐ
4174,殂,U+6B82,cú
4175,殇,U+6B87,shāng
4176,殄,U+6B84,tiǎn
4177,殆,U+6B86,dài
4178,轱,U+8F71,gū
4179,轲,U+8F72,kē
4180,轳,U+8F73,lú
4181,轶,U+8F76,yì
4182,轸,U+8F78,zhěn
4183,虿,U+867F,chài
4184,毖,U+6BD6,bì
4185,觇,U+89C7,chān
4186,尜,U+5C1C,gá
4187,哐,U+54D0,kuāng
4188,眄,U+7704,miàn
4189,眍,U+770D,kōu
4190,𠳐,U+20CD,0bāng
4191,郢,U+90E2,yǐng
4192,眇,U+7707,miǎo
4193,眊,U+770A,mào
4194,眈,U+7708,dān
4195,禺,U+79BA,yú
4196,哂,U+54C2,shěn
4197,咴,U+54B4,huī
4198,曷,U+66F7,hé
4199,昴,U+6634,mǎo
4200,昱,U+6631,yù
4201,昵,U+6635,nì
4202,咦,U+54A6,yí
4203,哓,U+54D3,xiāo
4204,哔,U+54D4,bì
4205,畎,U+754E,quǎn
4206,毗,U+6BD7,pí
4207,呲,U+5472,cī
4208,胄,U+80C4,zhòu
4209,畋,U+754B,tián
4210,畈,U+7548,fàn
4211,虼,U+867C,gè
4212,虻,U+867B,méng
4213,盅,U+76C5,zhōng
4214,咣,U+54A3,guāng
4215,哕,U+54D5,huì，yuě
4216,剐,U+5250,guǎ
4217,郧,U+90E7,yún
4218,咻,U+54BB,xiū
4219,囿,U+56FF,yòu
4220,咿,U+54BF,yī
4221,哌,U+54CC,pài
4222,哙,U+54D9,kuài
4223,哚,U+54DA,duǒ
4224,咯,U+54AF,gē，kǎ，lo，luò
4225,咩,U+54A9,miē
4226,咤,U+54A4,zhà
4227,哝,U+54DD,nóng
4228,哏,U+54CF,gén
4229,哞,U+54DE,mōu
4230,峙,U+5CD9,shì，zhì
4231,峣,U+5CE3,yáo
4232,罘,U+7F58,fú
4233,帧,U+5E27,zhēn
4234,峒,U+5CD2,dòng，tóng
4235,峤,U+5CE4,jiào，qiáo
4236,峋,U+5CCB,xún
4237,峥,U+5CE5,zhēng
4238,贶,U+8D36,kuàng
4239,钚,U+949A,bù
4240,钛,U+949B,tài
4241,钡,U+94A1,bèi
4242,钣,U+94A3,bǎn
4243,钤,U+94A4,qián
4244,钨,U+94A8,wū
4245,钫,U+94AB,fāng
4246,钯,U+94AF,bǎ
4247,氡,U+6C21,dōng
4248,氟,U+6C1F,fú
4249,牯,U+726F,gǔ
4250,郜,U+90DC,gào
4251,秕,U+79D5,bǐ
4252,秭,U+79ED,zǐ
4253,竽,U+7AFD,yú
4254,笈,U+7B08,jí
4255,笃,U+7B03,dǔ
4256,俦,U+4FE6,chóu
4257,俨,U+4FE8,yǎn
4258,俅,U+4FC5,qiú
4259,俪,U+4FEA,lì
4260,叟,U+53DF,sǒu
4261,垡,U+57A1,fá
4262,牮,U+726E,jiàn
4263,俣,U+4FE3,yǔ
4264,俚,U+4FDA,lǐ
4265,皈,U+7688,guī
4266,俑,U+4FD1,yǒng
4267,俟,U+4FDF,qí，sì
4268,逅,U+9005,hòu
4269,徇,U+5F87,xùn
4270,徉,U+5F89,yáng
4271,舢,U+8222,shān
4272,俞,U+4FDE,yú
4273,郗,U+90D7,xī
4274,俎,U+4FCE,zǔ
4275,郤,U+90E4,xì
4276,爰,U+7230,yuán
4277,郛,U+90DB,fú
4278,瓴,U+74F4,líng
4279,胨,U+80E8,dòng
4280,胪,U+80EA,lú
4281,胛,U+80DB,jiǎ
4282,胂,U+80C2,shèn
4283,胙,U+80D9,zuò
4284,胍,U+80CD,guā
4285,胗,U+80D7,zhēn
4286,胝,U+80DD,zhī
4287,朐,U+6710,qú
4288,胫,U+80EB,jìng
4289,鸨,U+9E28,bǎo
4290,匍,U+530D,pú
4291,狨,U+72E8,róng
4292,狯,U+72EF,kuài
4293,飑,U+98D1,biāo
4294,狩,U+72E9,shòu
4295,狲,U+72F2,sūn
4296,訇,U+8A07,hōng
4297,逄,U+9004,páng
4298,昝,U+661D,zǎn
4299,饷,U+9977,xiǎng
4300,饸,U+9978,hé
4301,饹,U+9979,gē，le
4302,胤,U+80E4,yìn
4303,孪,U+5B6A,luán
4304,娈,U+5A08,luán
4305,弈,U+5F08,yì
4306,奕,U+5955,yì
4307,庥,U+5EA5,xiū
4308,疬,U+75AC,lì
4309,疣,U+75A3,yóu
4310,疥,U+75A5,jiè
4311,疭,U+75AD,zòng
4312,庠,U+5EA0,xiáng
4313,竑,U+7AD1,hóng
4314,彦,U+5F66,yàn
4315,飒,U+98D2,sà
4316,闼,U+95FC,tà
4317,闾,U+95FE,lǘ
4318,闿,U+95FF,kǎi
4319,阂,U+9602,hé
4320,羑,U+7F91,yǒu
4321,迸,U+8FF8,bèng
4322,籼,U+7C7C,xiān
4323,酋,U+914B,qiú
4324,炳,U+70B3,bǐng
4325,炻,U+70BB,shí
4326,炽,U+70BD,chì
4327,炯,U+70AF,jiǒng
4328,烀,U+70C0,hū
4329,炷,U+70B7,zhù
4330,烃,U+70C3,tīng
4331,洱,U+6D31,ěr
4332,洹,U+6D39,huán
4333,洧,U+6D27,wěi
4334,洌,U+6D0C,liè
4335,浃,U+6D43,jiā
4336,洇,U+6D07,yīn
4337,洄,U+6D04,huí
4338,洙,U+6D19,zhū
4339,涎,U+6D8E,xián
4340,洎,U+6D0E,jì
4341,洫,U+6D2B,xù
4342,浍,U+6D4D,huì
4343,洮,U+6D2E,táo
4344,洵,U+6D35,xún
4345,浒,U+6D52,hǔ，xǔ
4346,浔,U+6D54,xún
4347,浕,U+6D55,jìn
4348,洳,U+6D33,rù
4349,恸,U+6078,tòng
4350,恓,U+6053,xī
4351,恹,U+6079,yān
4352,恫,U+606B,dòng
4353,恺,U+607A,kǎi
4354,恻,U+607B,cè
4355,恂,U+6042,xún
4356,恪,U+606A,kè
4357,恽,U+607D,yùn
4358,宥,U+5BA5,yòu
4359,扃,U+6243,jiōng
4360,衲,U+8872,nà
4361,衽,U+887D,rèn
4362,衿,U+887F,jīn
4363,袂,U+8882,mèi
4364,祛,U+795B,qū
4365,祜,U+795C,hù
4366,祓,U+7953,fú
4367,祚,U+795A,zuò
4368,诮,U+8BEE,qiào
4369,祗,U+7957,zhī
4370,祢,U+7962,mí
4371,诰,U+8BF0,gào
4372,诳,U+8BF3,kuáng
4373,鸩,U+9E29,zhèn
4374,昶,U+6636,chǎng
4375,郡,U+90E1,jùn
4376,咫,U+54AB,zhǐ
4377,弭,U+5F2D,mǐ
4378,牁,U+7241,kē
