seq,pinyin,char
U+3484,rǎn,㒄
U+3485,qǐ,㒅
U+3486,chì,㒆
U+3487,wǔ,㒇
U+3488,hàn,㒈
U+3489,tǎng,㒉
U+348A,sè,㒊
U+348B,sī,㒋
U+348C,qióng,㒌
U+348D,léi,㒍
U+348E,sà,㒎
U+3491,kuǐ;huì,㒑
U+3492,pú,㒒
U+3493,tà,㒓
U+3494,shú;dú;tù,㒔
U+3495,yāng,㒕
U+3496,ǒu,㒖
U+3497,tái,㒗
U+3499,mián,㒙
U+349A,yìn;wěn,㒚
U+349B,diào,㒛
U+349C,yǔ,㒜
U+349D,miè;wà,㒝
U+349E,jùn,㒞
U+349F,niǎo,㒟
U+34A0,xiè,㒠
U+34A1,yóu,㒡
U+34A4,chè,㒤
U+34A5,fēng,㒥
U+34A6,lěi;lèi,㒦
U+34A7,lì,㒧
U+34A9,luǒ,㒩
U+34AB,jì,㒫
U+34B0,quán,㒰
U+34B2,cái,㒲
U+34B3,liǎng,㒳
U+34B4,gǔ,㒴
U+34B5,mào,㒵
U+34B7,guǎ,㒷
U+34B8,suì,㒸
U+34BB,mào,㒻
U+34BC,mán,㒼
U+34BD,quān,㒽
U+34BE,shì,㒾
U+34BF,lí,㒿
U+34C1,wǎng,㓁
U+34C2,kòu,㓂
U+34C3,dù,㓃
U+34C4,zhèn,㓄
U+34C5,tīng,㓅
U+34C8,bìng,㓈
U+34C9,huò,㓉
U+34CA,dòng,㓊
U+34CB,gòng,㓋
U+34CC,chēng,㓌
U+34CE,qīn;qìn;qǐn,㓎
U+34CF,jiǒng,㓏
U+34D0,lù,㓐
U+34D1,xìng,㓑
U+34D3,nán,㓓
U+34D4,xiè,㓔
U+34D6,bì,㓖
U+34D7,jié,㓗
U+34D8,sù,㓘
U+34DA,gōng,㓚
U+34DC,yòu,㓜
U+34DD,xíng,㓝
U+34DE,qià,㓞
U+34DF,pí,㓟
U+34E0,diàn;diǎn,㓠
U+34E1,fǔ;guā,㓡
U+34E2,luò,㓢
U+34E3,qià;gē,㓣
U+34E4,qià,㓤
U+34E5,tāng,㓥
U+34E6,bāi,㓦
U+34E7,gān,㓧
U+34E8,cí,㓨
U+34E9,xuān;jiē,㓩
U+34EA,lǎng,㓪
U+34ED,shé,㓭
U+34EE,diāo,㓮
U+34EF,lí,㓯
U+34F0,huà,㓰
U+34F1,tóu;shū,㓱
U+34F2,piān,㓲
U+34F3,dī,㓳
U+34F4,ruǎn,㓴
U+34F5,è,㓵
U+34F6,qiè,㓶
U+34F7,yì,㓷
U+34F8,zhuō;dōu,㓸
U+34F9,ruì;cuì;jì,㓹
U+34FA,jiān;qián,㓺
U+34FC,chì,㓼
U+34FD,chóng,㓽
U+34FE,xī;chí,㓾
U+3500,lüè,㔀
U+3501,dēng,㔁
U+3502,lín,㔂
U+3503,jué;xuē,㔃
U+3504,sù,㔄
U+3505,xiào,㔅
U+3506,zàn,㔆
U+3509,zhǔ,㔉
U+350A,zhǎn;dǎn,㔊
U+350B,jiān;lán,㔋
U+350C,zòu;cǒu,㔌
U+350D,chuā;zhá,㔍
U+350E,xiè,㔎
U+350F,lì;luǒ,㔏
U+3511,chì,㔑
U+3512,xí,㔒
U+3513,jiǎn,㔓
U+3515,jí,㔕
U+3517,fèi;bèi;fú,㔗
U+3518,chù,㔘
U+3519,bēng,㔙
U+351A,jié,㔚
U+351C,bá,㔜
U+351D,liǎng;liáng,㔝
U+351E,kuài,㔞
U+3520,xiā;hé,㔠
U+3521,biē,㔡
U+3522,jué;xuē,㔢
U+3523,léi,㔣
U+3524,xìn,㔤
U+3525,bài;pí,㔥
U+3526,yǎng,㔦
U+3527,lǜ,㔧
U+3528,bèi,㔨
U+3529,è,㔩
U+352A,lǔ,㔪
U+352D,chè,㔭
U+352E,nuó,㔮
U+352F,xuán;suǎn,㔯
U+3530,héng,㔰
U+3531,yǔ,㔱
U+3533,guǐ,㔳
U+3534,yì,㔴
U+3535,xuǎn,㔵
U+3536,gòng;gǎn,㔶
U+3537,lòu,㔷
U+3538,tī,㔸
U+3539,lè,㔹
U+353A,shì,㔺
U+353C,sǔn,㔼
U+353D,yào,㔽
U+353E,xiān;jié,㔾
U+353F,zòu,㔿
U+3541,què,㕁
U+3542,yín;qín,㕂
U+3543,xī,㕃
U+3544,zhǐ,㕄
U+3545,jiá,㕅
U+3546,hù,㕆
U+3547,lā,㕇
U+3548,yǐ,㕈
U+3549,kè,㕉
U+354A,fū,㕊
U+354B,qín,㕋
U+354C,ài,㕌
U+354E,kè,㕎
U+354F,chú,㕏
U+3550,xiě;xiè,㕐
U+3551,chú,㕑
U+3552,wēi,㕒
U+3555,huàn,㕕
U+3556,sù,㕖
U+3557,yòu,㕗
U+3559,jùn,㕙
U+355A,zhǎo,㕚
U+355B,xù,㕛
U+355C,shǐ,㕜
U+355E,shuā,㕞
U+355F,kuì;kuài,㕟
U+3560,shuāng,㕠
U+3561,hé,㕡
U+3562,gài;hài,㕢
U+3563,yǎn,㕣
U+3564,qiú,㕤
U+3565,shēn,㕥
U+3566,huà,㕦
U+3567,xī,㕧
U+3568,fàn,㕨
U+3569,pàng,㕩
U+356A,dǎn,㕪
U+356B,fǎng;fēng,㕫
U+356C,gōng;sòng,㕬
U+356D,āo;ào,㕭
U+356E,fǔ,㕮
U+356F,nè,㕯
U+3570,xuè;ma,㕰
U+3571,yóu,㕱
U+3572,huá;yíng,㕲
U+3574,chén,㕴
U+3575,guó,㕵
U+3576,ň;ňg,㕶
U+3577,huà;pā,㕷
U+3578,lì,㕸
U+3579,fá,㕹
U+357A,xiāo,㕺
U+357B,pǒu,㕻
U+357D,sì,㕽
U+3580,lè,㖀
U+3581,lìn,㖁
U+3582,yì,㖂
U+3583,hǒu;hòu,㖃
U+3585,xù,㖅
U+3586,qú,㖆
U+3587,ér,㖇
U+358A,xún,㖊
U+358F,niè,㖏
U+3590,wěi,㖐
U+3591,xiè,㖑
U+3592,tí,㖒
U+3593,hóng,㖓
U+3594,tǔn,㖔
U+3595,niè;xīn,㖕
U+3596,niè,㖖
U+3597,yín,㖗
U+3598,zhēn,㖘
U+359E,wāi,㖞
U+359F,shòu,㖟
U+35A0,nuò,㖠
U+35A1,yè,㖡
U+35A2,qí,㖢
U+35A3,tòu,㖣
U+35A4,hán,㖤
U+35A5,jùn,㖥
U+35A6,dǒng,㖦
U+35A7,hūn;wěn,㖧
U+35A8,lù,㖨
U+35A9,jū;sǒu,㖩
U+35AA,huò;guó;xù,㖪
U+35AB,líng,㖫
U+35AD,tiǎn,㖭
U+35AE,lún,㖮
U+35B5,gé,㖵
U+35B6,yān;yè;yīn,㖶
U+35B7,shí;tí,㖷
U+35B8,xué;niā,㖸
U+35B9,pēn;fèn,㖹
U+35BA,chǔn,㖺
U+35BB,niú;ròu,㖻
U+35BC,duǒ,㖼
U+35BD,zé,㖽
U+35BE,è,㖾
U+35BF,xié;yé,㖿
U+35C0,yōu,㗀
U+35C1,è,㗁
U+35C2,shěng,㗂
U+35C3,wěn;hūn,㗃
U+35C4,kū,㗄
U+35C5,hú,㗅
U+35C6,gé,㗆
U+35C7,xiá;ya,㗇
U+35C8,màn,㗈
U+35C9,lüè;è,㗉
U+35CA,jí;léi,㗊
U+35CB,hóu,㗋
U+35CC,zhì,㗌
U+35CF,wāi,㗏
U+35D1,bai,㗑
U+35D2,ài,㗒
U+35D3,zhuī,㗓
U+35D4,qiān,㗔
U+35D5,gòu;gōu,㗕
U+35D6,dàn,㗖
U+35D7,bēi,㗗
U+35D8,bó,㗘
U+35D9,chū;nà;zhōu,㗙
U+35DA,lì,㗚
U+35DB,xiào,㗛
U+35DC,xiù,㗜
U+35E2,hóng;dòng;hòng,㗢
U+35E3,tì,㗣
U+35E4,cù,㗤
U+35E5,kuò;guō,㗥
U+35E6,láo,㗦
U+35E7,zhì;dié,㗧
U+35E8,xiē;ǎi,㗨
U+35E9,xī,㗩
U+35EB,qiè,㗫
U+35EC,zhā,㗬
U+35ED,xī,㗭
U+35F0,cóng,㗰
U+35F1,jí,㗱
U+35F2,huò,㗲
U+35F3,tǎ;dā,㗳
U+35F4,yán,㗴
U+35F5,xù,㗵
U+35F6,pō,㗶
U+35F7,sǎi,㗷
U+35FB,guō,㗻
U+35FC,yè,㗼
U+35FD,xiǎng,㗽
U+35FE,xuē,㗾
U+35FF,hé;xià;xiā,㗿
U+3600,zuò,㘀
U+3601,yì,㘁
U+3602,cí,㘂
U+3604,lēng,㘄
U+3605,xián,㘅
U+3606,tǎi,㘆
U+3607,róng,㘇
U+3608,yì;nǐ,㘈
U+3609,zhì,㘉
U+360A,xī;yì,㘊
U+360B,xián,㘋
U+360C,jù,㘌
U+360D,jí,㘍
U+360E,hǎn,㘎
U+3610,pào,㘐
U+3611,lì,㘑
U+3613,lán,㘓
U+3614,sǎi,㘔
U+3615,hǎn;lán,㘕
U+3616,yán,㘖
U+3617,qū,㘗
U+3619,yán,㘙
U+361A,hǎn,㘚
U+361B,kān,㘛
U+361C,chǐ,㘜
U+361D,niè,㘝
U+361E,huò,㘞
U+3620,bì,㘠
U+3621,xiá,㘡
U+3622,wěng,㘢
U+3623,xuán;yuán,㘣
U+3624,wān,㘤
U+3625,yóu,㘥
U+3626,qín,㘦
U+3627,xù,㘧
U+3628,niè,㘨
U+3629,bì,㘩
U+362A,hào,㘪
U+362B,jǐng,㘫
U+362C,ào;wù,㘬
U+362D,ào,㘭
U+3630,zhēn,㘰
U+3631,tān,㘱
U+3632,jú,㘲
U+3634,zuò,㘴
U+3635,bù,㘵
U+3636,jié,㘶
U+3637,ài,㘷
U+3638,zàng;zuò,㘸
U+3639,cí,㘹
U+363A,fá,㘺
U+363F,niè,㘿
U+3640,liù;jiù,㙀
U+3641,méi;mù,㙁
U+3642,duì;wèng,㙂
U+3643,bāng,㙃
U+3644,bì,㙄
U+3645,bǎo,㙅
U+3647,chù,㙇
U+3648,xià,㙈
U+3649,tiǎn,㙉
U+364A,cháng;zhàng,㙊
U+364D,duō,㙍
U+364E,wēi,㙎
U+364F,fù,㙏
U+3650,duǒ,㙐
U+3651,yǔ,㙑
U+3652,yě,㙒
U+3653,kuí,㙓
U+3654,wěi;hán,㙔
U+3655,kuài,㙕
U+3657,wēi,㙗
U+3658,yāo,㙘
U+3659,lǒng,㙙
U+365A,xīng,㙚
U+365B,bǔ,㙛
U+365C,chí,㙜
U+365D,xié,㙝
U+365E,niè,㙞
U+365F,lǎng,㙟
U+3660,yī;yì,㙠
U+3661,zōng,㙡
U+3662,mán,㙢
U+3663,zhàng,㙣
U+3664,xià,㙤
U+3665,gùn,㙥
U+3666,xié,㙦
U+3668,jì,㙨
U+3669,liáo,㙩
U+366A,yì,㙪
U+366B,jí,㙫
U+366C,yín,㙬
U+366E,dā;da,㙮
U+366F,yì,㙯
U+3670,xiè,㙰
U+3671,hào,㙱
U+3672,yǒng,㙲
U+3673,kǎn;hǎn,㙳
U+3674,chàn,㙴
U+3675,tái,㙵
U+3676,táng,㙶
U+3677,zhí;zhé,㙷
U+3678,bào,㙸
U+3679,méng,㙹
U+367A,kuí;guì,㙺
U+367B,chán,㙻
U+367C,lěi,㙼
U+367E,xì,㙾
U+3680,xī,㚀
U+3681,qiào,㚁
U+3682,nàng,㚂
U+3683,yūn,㚃
U+3685,lóng,㚅
U+3686,fù,㚆
U+3687,zōng,㚇
U+3689,gǔ,㚉
U+368A,kāi,㚊
U+368B,diāo,㚋
U+368C,huà,㚌
U+368D,kuǐ;kuì,㚍
U+368F,gǎo,㚏
U+3690,tào,㚐
U+3692,shǎn,㚒
U+3693,lǎi,㚓
U+3694,niè;xìng,㚔
U+3695,fú,㚕
U+3696,gǎo;zé,㚖
U+3697,qié,㚗
U+3698,bàn;hè;fú,㚘
U+3699,jiā,㚙
U+369A,kōng;kuāng,㚚
U+369B,xì,㚛
U+369C,yù;xù,㚜
U+369D,zhuī,㚝
U+369E,shěn,㚞
U+369F,chuò,㚟
U+36A0,xiāo,㚠
U+36A1,jǐ,㚡
U+36A2,nú;wǔ,㚢
U+36A3,xiáo,㚣
U+36A4,yì,㚤
U+36A5,yú,㚥
U+36A6,yí,㚦
U+36A7,yǎn,㚧
U+36A8,shěn,㚨
U+36A9,rǎn,㚩
U+36AA,hào,㚪
U+36AB,sà,㚫
U+36AC,jūn,㚬
U+36AD,yóu,㚭
U+36AF,xín,㚯
U+36B0,pēi;bǐ,㚰
U+36B1,qiū,㚱
U+36B2,chān;diǎn;diàn,㚲
U+36B4,bù,㚴
U+36B5,dōng,㚵
U+36B6,sì;yí,㚶
U+36B7,ěr,㚷
U+36B9,mǎo;liǔ,㚹
U+36BA,yùn,㚺
U+36BB,jī,㚻
U+36BD,qiǎo,㚽
U+36BE,xiōng,㚾
U+36BF,páo,㚿
U+36C0,chú,㛀
U+36C1,pēng,㛁
U+36C2,nuǒ,㛂
U+36C3,jié,㛃
U+36C4,yī,㛄
U+36C5,èr,㛅
U+36C6,duò;duǒ,㛆
U+36CA,duǒ,㛊
U+36CD,qiè;xiǎn;xiá,㛍
U+36CE,lǚ,㛎
U+36CF,qiú,㛏
U+36D0,sǒu,㛐
U+36D1,càn,㛑
U+36D2,dòu,㛒
U+36D3,xī,㛓
U+36D4,fēng;péng,㛔
U+36D5,yì;è,㛕
U+36D6,suō,㛖
U+36D7,qiē;zuō;suō,㛗
U+36D8,pò,㛘
U+36D9,xīn;qiè,㛙
U+36DA,tǒng;yǒng,㛚
U+36DB,xìn,㛛
U+36DC,yóu,㛜
U+36DD,bèi,㛝
U+36DE,lòng,㛞
U+36E3,yún,㛣
U+36E4,lí,㛤
U+36E5,tà,㛥
U+36E6,lǎn,㛦
U+36E7,mǎn,㛧
U+36E8,qiǎng,㛨
U+36E9,zhóu,㛩
U+36EA,yàn;yān,㛪
U+36EB,xī,㛫
U+36EC,lù,㛬
U+36ED,xī,㛭
U+36EE,sǎo,㛮
U+36EF,fàn;miǎn;zhuàn,㛯
U+36F1,wěi;wēi,㛱
U+36F2,fà,㛲
U+36F3,yì,㛳
U+36F4,nǎo,㛴
U+36F5,chēng,㛵
U+36F6,tàn,㛶
U+36F7,jī,㛷
U+36F8,shù,㛸
U+36F9,pián,㛹
U+36FA,ān,㛺
U+36FB,kuā,㛻
U+36FC,chā;shà,㛼
U+36FE,xián,㛾
U+36FF,zhì,㛿
U+3702,fēng,㜂
U+3703,liàn,㜃
U+3704,xún,㜄
U+3705,xù,㜅
U+3706,mì,㜆
U+3707,huì;yè,㜇
U+3708,mù,㜈
U+3709,yōng,㜉
U+370A,zhǎn,㜊
U+370B,yì,㜋
U+370C,nǒu;gòu;kòu,㜌
U+370D,táng,㜍
U+370E,xī;xì,㜎
U+370F,yún,㜏
U+3710,shù,㜐
U+3711,fú,㜑
U+3712,yì,㜒
U+3713,dá,㜓
U+3715,lián,㜕
U+3716,cáo,㜖
U+3717,cān;sēn,㜗
U+3718,jù;qù;chá,㜘
U+3719,lù,㜙
U+371A,sù,㜚
U+371B,nèn,㜛
U+371C,ào,㜜
U+371D,ǎn;yǎn,㜝
U+371E,qiàn;cán,㜞
U+3720,cuī,㜠
U+3721,cōng,㜡
U+3723,rán;rǎn,㜣
U+3724,niǎn;tiǎn;tán,㜤
U+3725,mái,㜥
U+3726,xín,㜦
U+3727,yuè,㜧
U+3728,nái,㜨
U+3729,ào,㜩
U+372A,shēn,㜪
U+372B,mà,㜫
U+372E,làn;lán,㜮
U+372F,xī,㜯
U+3730,yuè,㜰
U+3731,zhì,㜱
U+3732,wěng,㜲
U+3733,huái,㜳
U+3734,mèng,㜴
U+3735,niǎo,㜵
U+3736,wǎn,㜶
U+3737,mí;xiǎn,㜷
U+3738,niè,㜸
U+3739,qú,㜹
U+373A,zàn,㜺
U+373B,liàn,㜻
U+373C,zhí,㜼
U+373D,zǐ,㜽
U+373E,hái,㜾
U+373F,xù,㜿
U+3740,hào,㝀
U+3741,xuān;qióng,㝁
U+3742,zhì;zhè,㝂
U+3743,miǎn,㝃
U+3744,chún,㝄
U+3745,gòu,㝅
U+3747,chún,㝇
U+3748,luán,㝈
U+3749,zhù,㝉
U+374A,shǒu,㝊
U+374B,liǎo,㝋
U+374C,jiù,㝌
U+374D,xiě,㝍
U+374E,dìng,㝎
U+374F,jiè,㝏
U+3750,róng,㝐
U+3751,máng,㝑
U+3753,kè,㝓
U+3754,yǎo,㝔
U+3755,níng,㝕
U+3756,yí,㝖
U+3757,láng;lǎng,㝗
U+3758,yóng,㝘
U+3759,yín,㝙
U+375A,yán,㝚
U+375B,sù,㝛
U+375D,lín,㝝
U+375E,yā;yà,㝞
U+375F,máo,㝟
U+3760,míng,㝠
U+3761,zuì,㝡
U+3762,yǔ,㝢
U+3763,yì,㝣
U+3764,gòu,㝤
U+3765,mǐ,㝥
U+3766,jùn,㝦
U+3767,wěn,㝧
U+3769,kāng,㝩
U+376A,diàn,㝪
U+376B,lóng,㝫
U+376D,xǐng,㝭
U+376E,cuì,㝮
U+376F,qiáo,㝯
U+3770,mián,㝰
U+3771,mèng,㝱
U+3772,qǐn,㝲
U+3774,wán,㝴
U+3775,dé;ài,㝵
U+3776,ài,㝶
U+3778,biàn,㝸
U+3779,nóu,㝹
U+377A,lián,㝺
U+377B,jǐn,㝻
U+377C,yū,㝼
U+377D,chuí,㝽
U+377E,zuǒ,㝾
U+377F,bǒ,㝿
U+3780,huī,㞀
U+3781,yào,㞁
U+3782,tuǐ;tuì,㞂
U+3783,jì,㞃
U+3784,ān,㞄
U+3785,luò,㞅
U+3786,jǐ,㞆
U+3787,wěi,㞇
U+3788,bō,㞈
U+3789,zā,㞉
U+378A,xù,㞊
U+378B,niǎn;jí,㞋
U+378C,yùn,㞌
U+378E,bǎ;pā,㞎
U+378F,zhé;jié,㞏
U+3790,jū,㞐
U+3791,wěi,㞑
U+3792,xiè;xì,㞒
U+3793,qì;jī,㞓
U+3794,yí,㞔
U+3795,xiè,㞕
U+3796,cí;cì,㞖
U+3797,qiú,㞗
U+3798,dū,㞘
U+3799,niào,㞙
U+379A,qì;zhǎ,㞚
U+379B,jǐ,㞛
U+379C,tuī,㞜
U+379E,sóng,㞞
U+379F,diàn;dǐng,㞟
U+37A0,láo,㞠
U+37A1,zhǎn,㞡
U+37A4,yín;cén,㞤
U+37A5,cén,㞥
U+37A6,jǐ,㞦
U+37A7,huì,㞧
U+37A8,zǐ,㞨
U+37A9,lán,㞩
U+37AA,náo,㞪
U+37AB,jù,㞫
U+37AC,qìn,㞬
U+37AD,dài,㞭
U+37AF,jié,㞯
U+37B0,xǔ,㞰
U+37B1,cōng,㞱
U+37B2,yòng,㞲
U+37B3,dǒu,㞳
U+37B4,chí;mín,㞴
U+37B6,mǐn,㞶
U+37B7,huáng,㞷
U+37B8,suì,㞸
U+37B9,kě,㞹
U+37BA,zú,㞺
U+37BB,hào,㞻
U+37BC,chéng,㞼
U+37BD,xuè,㞽
U+37BE,ní,㞾
U+37BF,chì,㞿
U+37C0,lián,㟀
U+37C1,àn,㟁
U+37C2,mǔ,㟂
U+37C3,sī,㟃
U+37C4,xiáng,㟄
U+37C5,yáng,㟅
U+37C6,huá,㟆
U+37C7,cuò;cuó,㟇
U+37C8,qiú,㟈
U+37C9,láo,㟉
U+37CA,fú,㟊
U+37CB,duì,㟋
U+37CC,máng,㟌
U+37CD,láng;lǎng,㟍
U+37CE,tuǒ;tuǐ,㟎
U+37CF,hán,㟏
U+37D0,mǎng,㟐
U+37D1,bó,㟑
U+37D2,qūn,㟒
U+37D3,qí,㟓
U+37D4,hán,㟔
U+37D6,lòng;lóng,㟖
U+37D7,bīn,㟗
U+37D8,tiáo,㟘
U+37D9,zé,㟙
U+37DA,qí,㟚
U+37DB,zàn,㟛
U+37DC,mí,㟜
U+37DD,péi,㟝
U+37DE,zhàn,㟞
U+37DF,xiàng,㟟
U+37E0,gǎng,㟠
U+37E2,qí,㟢
U+37E4,lù,㟤
U+37E6,yùn,㟦
U+37E7,è,㟧
U+37E8,duān,㟨
U+37E9,mín,㟩
U+37EA,wēi;wěi,㟪
U+37EB,quán,㟫
U+37EC,sǒu,㟬
U+37ED,mín,㟭
U+37EE,tū,㟮
U+37F0,mǐng,㟰
U+37F1,yǎo,㟱
U+37F2,jué,㟲
U+37F3,lì,㟳
U+37F4,kuài,㟴
U+37F5,gǎng,㟵
U+37F6,yuán,㟶
U+37F7,da,㟷
U+37F9,láo,㟹
U+37FA,lóu,㟺
U+37FB,qiàn;zhǎn,㟻
U+37FC,áo,㟼
U+37FD,biǎo;biāo,㟽
U+37FE,yōng,㟾
U+37FF,mǎng;máng,㟿
U+3800,dǎo,㠀
U+3802,áo,㠂
U+3804,xí,㠄
U+3805,fú;fù,㠅
U+3806,dān,㠆
U+3807,jiù,㠇
U+3808,rùn,㠈
U+3809,tóng,㠉
U+380A,qū,㠊
U+380B,è,㠋
U+380C,qī,㠌
U+380D,jí,㠍
U+380E,jí;jié,㠎
U+380F,huá,㠏
U+3810,jiào,㠐
U+3811,zuì,㠑
U+3812,biǎo,㠒
U+3813,méng,㠓
U+3814,bài,㠔
U+3815,wěi,㠕
U+3816,yǐ,㠖
U+3817,ào,㠗
U+3818,yǔ,㠘
U+3819,háo,㠙
U+381A,duì,㠚
U+381B,wò,㠛
U+381C,nì,㠜
U+381D,cuán,㠝
U+381F,lí,㠟
U+3820,lú,㠠
U+3821,niǎo,㠡
U+3822,huái,㠢
U+3823,lì,㠣
U+3825,lǜ;léi;lěi,㠥
U+3826,fēng,㠦
U+3827,mǐ,㠧
U+3828,yù,㠨
U+382A,jù,㠪
U+382D,zhǎn,㠭
U+382E,pēng;gāng,㠮
U+382F,yǐ,㠯
U+3831,jì;qǐ,㠱
U+3832,bǐ,㠲
U+3834,rèn,㠴
U+3835,huāng,㠵
U+3836,fán,㠶
U+3837,gé,㠷
U+3838,kù,㠸
U+3839,jiè,㠹
U+383A,shā;miáo,㠺
U+383C,sī,㠼
U+383D,tóng,㠽
U+383E,yuān,㠾
U+383F,zī;cǐ,㠿
U+3840,bì,㡀
U+3841,kuǎ,㡁
U+3842,lì,㡂
U+3843,huāng,㡃
U+3844,xún,㡄
U+3845,nuǒ,㡅
U+3847,zhé;jiē,㡇
U+3848,wèn;mén;miǎn,㡈
U+3849,xián,㡉
U+384A,qià,㡊
U+384B,yé;ān,㡋
U+384C,mào,㡌
U+384F,shù;xū;tóu;shū,㡏
U+3851,qiāo;jiǎo,㡑
U+3852,zhūn,㡒
U+3853,kūn,㡓
U+3854,wù,㡔
U+3855,yīng,㡕
U+3856,chuáng,㡖
U+3857,tí,㡗
U+3858,lián;lín,㡘
U+3859,bī,㡙
U+385A,gōu,㡚
U+385B,máng,㡛
U+385C,xiè;xuě,㡜
U+385D,fèng,㡝
U+385E,lóu;lǚ,㡞
U+385F,zāo,㡟
U+3860,zhèng,㡠
U+3861,chú,㡡
U+3862,màn,㡢
U+3863,lóng,㡣
U+3865,yìn,㡥
U+3866,pīn,㡦
U+3867,zhèng,㡧
U+3868,jiān;qiān,㡨
U+3869,luán,㡩
U+386A,nié,㡪
U+386B,yì,㡫
U+386D,jì,㡭
U+386E,jí,㡮
U+386F,zhái;dù;duó,㡯
U+3870,yǔ,㡰
U+3871,jiǔ,㡱
U+3872,huán,㡲
U+3873,zhǐ,㡳
U+3874,lā,㡴
U+3875,líng,㡵
U+3876,zhǐ,㡶
U+3877,běn,㡷
U+3878,zhà;zhǎ;chá,㡸
U+3879,jū,㡹
U+387A,dàn,㡺
U+387B,liào,㡻
U+387C,yì,㡼
U+387D,zhào,㡽
U+387E,xiàn,㡾
U+387F,chì,㡿
U+3880,cì,㢀
U+3881,chǐ;shǐ,㢁
U+3882,yǎn;tuí;duī,㢂
U+3883,láng,㢃
U+3884,dòu,㢄
U+3885,lòng,㢅
U+3886,chán,㢆
U+3888,tuí;duī,㢈
U+3889,chá,㢉
U+388A,ǎi;yǐ,㢊
U+388B,chǐ,㢋
U+388D,yǐng,㢍
U+388E,zhé,㢎
U+388F,tóu;yǔ;yú,㢏
U+3891,tuí,㢑
U+3892,chá,㢒
U+3893,yǎo,㢓
U+3894,zǒng,㢔
U+3896,pān;bān,㢖
U+3897,qiào,㢗
U+3898,lián,㢘
U+3899,qín,㢙
U+389A,lǔ,㢚
U+389B,yàn;qiān,㢛
U+389C,kāng;kàng,㢜
U+389D,sū,㢝
U+389E,yì,㢞
U+389F,chān,㢟
U+38A0,jiǒng,㢠
U+38A1,jiǎng,㢡
U+38A3,jìng,㢣
U+38A5,dòng,㢥
U+38A7,juàn,㢧
U+38A8,hàn,㢨
U+38A9,dì,㢩
U+38AC,hóng,㢬
U+38AE,chí,㢮
U+38AF,diāo;mín,㢯
U+38B0,bì,㢰
U+38B2,xùn,㢲
U+38B3,lú,㢳
U+38B5,xié;shè,㢵
U+38B6,bì,㢶
U+38B8,bì,㢸
U+38BA,xián,㢺
U+38BB,ruì,㢻
U+38BC,biè,㢼
U+38BD,ěr,㢽
U+38BE,juàn,㢾
U+38C0,zhèn,㣀
U+38C1,bèi,㣁
U+38C2,è,㣂
U+38C3,yǔ,㣃
U+38C4,qú,㣄
U+38C5,zàn,㣅
U+38C6,mí,㣆
U+38C7,yì,㣇
U+38C8,sì,㣈
U+38CC,shàn,㣌
U+38CD,tái,㣍
U+38CE,mù,㣎
U+38CF,jìng,㣏
U+38D0,biàn,㣐
U+38D1,róng,㣑
U+38D2,cèng,㣒
U+38D3,càn,㣓
U+38D4,dīng,㣔
U+38D9,dí;zhòu,㣙
