#,	汉字,	Unicode,	普通话读音
6635,	妧,	U+59A7	,yuán
6636,	妘,	U+5998	,yún
6637,	𨚕,	U+28695,	biàn
6638,	纮,	U+7EAE	,hóng
6639,	驲,	U+9A72	,rì
6640,	𫘜,	U+2B61C,	wén
6641,	纻,	U+7EBB	,zhù
6642,	𬘘,	U+2C618,	dǎn
6643,	𫘝,	U+2B61D,	jué
6644,	纼,	U+7EBC	,zhèn
6645,	玤,	U+73A4	,bàng
6646,	玞,	U+739E	,fū
6647,	玱,	U+73B1	,qiāng
6648,	玟,	U+739F	,wén
6649,	邽,	U+90BD	,guī
6650,	邿,	U+90BF	,shī
6651,	坥,	U+5765	,qū
6652,	坰,	U+5770	,jiōng
6653,	坬,	U+576C	,guà，wā
6654,	坽,	U+577D	,líng
6655,	弆,	U+5F06	,jǔ
6656,	耵,	U+8035	,dīng
6657,	䢼,	U+48BC	,gōng
6658,	𦭜,	U+26B5C,	zhī
6659,	茋,	U+830B	,dǐ
6660,	苧,	U+82E7	,níng
6661,	苾,	U+82FE	,bì
6662,	苠,	U+82E0	,mín
6663,	枅,	U+6785	,jī
6664,	㭎,	U+3B4E	,gāng
6665,	枘,	U+6798	,ruì
6666,	枍,	U+678D	,yì
6667,	矼,	U+77FC	,gāng
6668,	矻,	U+77FB	,kū
6669,	匼,	U+533C	,kē
6670,	𬨂,	U+2CA02,	qí
6671,	𬀩,	U+2C029,	wěi
6672,	𬀪,	U+2C02A,	xiàn
6673,	旿,	U+65FF	,wǔ
6674,	昇,	U+6607	,shēng
6675,	昄,	U+6604	,bǎn
6676,	昒,	U+6612	,hū
6677,	昈,	U+6608	,hù
6678,	咉,	U+5489	,yāng
6679,	咇,	U+5487	,bì
6680,	咍,	U+548D	,hāi
6681,	岵,	U+5CB5	,hù
6682,	岽,	U+5CBD	,dōng
6683,	岨,	U+5CA8	,jū，qū
6684,	岞,	U+5C9E	,zuò
6685,	峂,	U+5CC2	,tóng
6686,	㟃,	U+37C3	,sī
6687,	囷,	U+56F7	,qūn
6688,	𬬩,	U+2CB29,	yì
6689,	钐,	U+9490	,shān，shàn
6690,	钔,	U+9494	,mén
6691,	钖,	U+9496	,yáng
6692,	牥,	U+7265	,fāng
6693,	佴,	U+4F74	,nài
6694,	垈,	U+5788	,dài
6695,	侁,	U+4F81	,shēn
6696,	侹,	U+4FB9	,tǐng
6697,	佸,	U+4F78	,huó
6698,	佺,	U+4F7A	,quán
6699,	隹,	U+96B9	,zhuī
6700,	㑊,	U+344A	,yì
6701,	侂,	U+4F82	,tuō
6702,	佽,	U+4F7D	,cì
6703,	侘,	U+4F98	,chà
6704,	郈,	U+90C8	,hòu
6705,	舠,	U+8220	,dāo
6706,	郐,	U+90D0	,kuài
6707,	郃,	U+90C3	,hé
6708,	攽,	U+653D	,bān
6709,	肭,	U+80AD	,nà
6710,	肸,	U+80B8	,xī
6711,	肷,	U+80B7	,qiǎn
6712,	狉,	U+72C9	,pī
6713,	狝,	U+72DD	,xiǎn
6714,	饳,	U+9973	,duò
6715,	忞,	U+5FDE	,mín
6716,	於,	U+65BC	,yū，yú
6717,	炌,	U+708C	,kài
6718,	炆,	U+7086	,wén
6719,	泙,	U+6CD9	,píng
6720,	沺,	U+6CBA	,tián
6721,	泂,	U+6CC2	,jiǒng
6722,	泜,	U+6CDC	,zhī
6723,	泃,	U+6CC3	,jū
6724,	泇,	U+6CC7	,jiā
6725,	怊,	U+600A	,chāo
6726,	峃,	U+5CC3	,xué
6727,	穸,	U+7A78	,xī
6728,	祋,	U+794B	,duì
6729,	祊,	U+794A	,bēng
6730,	𫍣,	U+2B363,	tóng
6731,	𬣳,	U+2C8F3,	hěn
6732,	𬩽,	U+2CA7D,	xún
6733,	鸤,	U+9E24	,shī
6734,	弢,	U+5F22	,tāo
6735,	弨,	U+5F28	,chāo
6736,	陑,	U+9651	,ér
6737,	𬮿,	U+2CBBF,	gài
6738,	陎,	U+964E	,shū
6739,	𬯀,	U+2CBC0,	jī
6740,	卺,	U+537A	,jǐn
6741,	乸,	U+4E78	,nǎ
6742,	妭,	U+59AD	,bá
6743,	姈,	U+59C8	,líng
6744,	𫰛,	U+2BC1B,	xíng
6745,	迳,	U+8FF3	,jìng
6746,	叕,	U+53D5	,zhuó
6747,	𬳵,	U+2CCF5,	pī
6748,	驵,	U+9A75	,zǎng
6749,	𬳶,	U+2CCF6,	jiōng
6750,	䌹,	U+4339	,jiǒng
6751,	驺,	U+9A7A	,zōu
6752,	𫠊,	U+2B80A,	xuán
6753,	绋,	U+7ECB	,fú
6754,	绐,	U+7ED0	,dài
6755,	砉,	U+7809	,huā
6756,	耔,	U+8014	,zǐ
6757,	㛃,	U+36C3	,jié
6758,	玶,	U+73B6	,píng
6759,	珇,	U+73C7	,zǔ
6760,	珅,	U+73C5	,shēn
6761,	𬍛,	U+2C35B,	lì
6762,	珋,	U+73CB	,liǔ
6763,	玹,	U+73B9	,xuán
6764,	珌,	U+73CC	,bì
6765,	玿,	U+73BF	,sháo
6766,	韨,	U+97E8	,fú
6767,	垚,	U+579A	,yáo
6768,	垯,	U+57AF	,da
6769,	垙,	U+5799	,guāng
6770,	垲,	U+57B2	,kǎi
6771,	埏,	U+57CF	,shān
6772,	垍,	U+578D	,jì
6773,	耇,	U+8007	,gǒu
6774,	鿍,	U+9FCD	,gàng
6775,	垎,	U+578E	,hè
6776,	垴,	U+57B4	,nǎo
6777,	垟,	U+579F	,yáng
6778,	垞,	U+579E	,chá
6779,	挓,	U+6313	,zhā
6780,	垵,	U+57B5	,ān
6781,	垏,	U+578F	,lǜ
6782,	拶,	U+62F6	,zā，zǎn
6783,	荖,	U+8356	,lǎo
6784,	荁,	U+8341	,huán
6785,	荙,	U+8359	,dá
6786,	荛,	U+835B	,ráo
6787,	茈,	U+8308	,cí，zǐ
6788,	茽,	U+833D	,zhòng
6789,	荄,	U+8344	,gāi
6790,	茺,	U+833A	,chōng
6791,	𬜬,	U+2C72C,	màn
6792,	荓,	U+8353	,píng
6793,	茳,	U+8333	,jiāng
6794,	𦰡,	U+26C21,	nà，nuó
6795,	茛,	U+831B	,gèn
6796,	荭,	U+836D	,hóng
6797,	㭕,	U+3B55	,qū
6798,	柷,	U+67F7	,zhù
6799,	柃,	U+67C3	,líng
6800,	柊,	U+67CA	,zhōng
6801,	枹,	U+67B9	,bāo
6802,	栐,	U+6810	,yǒng
6803,	柖,	U+67D6	,sháo
6804,	郚,	U+90DA	,wú
6805,	剅,	U+5245	,lóu
6806,	䴓,	U+4D13	,shī
6807,	迺,	U+8FFA	,nǎi
6808,	厖,	U+5396	,máng
6809,	砆,	U+7806	,fū
6810,	砑,	U+7811	,yà
6811,	砄,	U+7804	,jué
6812,	耏,	U+800F	,ér，nài
6813,	奓,	U+5953	,zhā
6814,	䶮,	U+4DAE	,yǎn
6815,	轵,	U+8F75	,zhǐ
6816,	轷,	U+8F77	,hū
6817,	轹,	U+8F79	,lì
6818,	轺,	U+8F7A	,yáo
6819,	昺,	U+663A	,bǐng
6820,	𪾢,	U+2AFA2,	xiàn
6821,	昽,	U+663D	,lóng
6822,	盷,	U+76F7	,tián
6823,	咡,	U+54A1	,èr
6824,	咺,	U+54BA	,xuān
6825,	昳,	U+6633	,dié
6826,	昣,	U+6623	,zhěn
6827,	哒,	U+54D2	,dā
6828,	昤,	U+6624	,líng
6829,	昫,	U+662B	,xù
6830,	昡,	U+6621	,xuàn
6831,	咥,	U+54A5	,xì
6832,	昪,	U+662A	,biàn
6833,	虷,	U+8677	,gān，hán
6834,	虸,	U+8678	,zǐ
6835,	哃,	U+54C3	,tóng
6836,	峘,	U+5CD8	,huán
6837,	耑,	U+8011	,duān
6838,	峛,	U+5CDB	,liè
6839,	𪨰,	U+2AA30,	qū
6840,	峗,	U+5CD7	,wéi
6841,	峧,	U+5CE7	,jiāo
6842,	帡,	U+5E21	,píng
6843,	钘,	U+9498	,xíng
6844,	𫓧,	U+2B4E7,	fū
6845,	钜,	U+949C	,jù
6846,	𬬮,	U+2CB2E,	chǎng
6847,	𬬱,	U+2CB31,	jīn
6848,	𬬭,	U+2CB2D,	lún
6849,	钪,	U+94AA	,kàng
6850,	钬,	U+94AC	,huǒ
6851,	钭,	U+94AD	,dǒu
6852,	矧,	U+77E7	,shěn
6853,	秬,	U+79EC	,jù
6854,	俫,	U+4FEB	,lái
6855,	舁,	U+8201	,yú
6856,	俜,	U+4FDC	,pīng
6857,	俙,	U+4FD9	,xī
6858,	俍,	U+4FCD	,liáng
6859,	垕,	U+5795	,hòu
6860,	衎,	U+884E	,kàn
6861,	舣,	U+8223	,yǐ
6862,	弇,	U+5F07	,yǎn
6863,	侴,	U+4FB4	,chǒu
6864,	鸧,	U+9E27	,cāng
6865,	䏡,	U+43E1	,shì
6866,	胠,	U+80E0	,qū
6867,	𦙶,	U+26676,	gǔ
6868,	胈,	U+80C8	,bá
6869,	胩,	U+80E9	,kǎ
6870,	胣,	U+80E3	,chǐ
6871,	朏,	U+670F	,fěi
6872,	飐,	U+98D0	,zhǎn
6873,	訄,	U+8A04	,qiú
6874,	饻,	U+997B	,xī
6875,	庤,	U+5EA4	,zhì
6876,	疢,	U+75A2	,chèn
6877,	炣,	U+70A3	,kě
6878,	炟,	U+709F	,dá
6879,	㶲,	U+3DB2	,yòng
6880,	洭,	U+6D2D	,kuāng
6881,	洘,	U+6D18	,kǎo
6882,	洓,	U+6D13	,qì
6883,	洿,	U+6D3F	,wū
6884,	㳚,	U+3CDA	,xù
6885,	泚,	U+6CDA	,cǐ
6886,	浈,	U+6D48	,zhēn
6887,	浉,	U+6D49	,shī
6888,	洸,	U+6D38	,guāng
6889,	洑,	U+6D11	,fú
6890,	洢,	U+6D22	,yī
6891,	洈,	U+6D08	,wéi
6892,	洚,	U+6D1A	,jiàng
6893,	洺,	U+6D3A	,míng
6894,	洨,	U+6D28	,xiáo
6895,	浐,	U+6D50	,chǎn
6896,	㳘,	U+3CD8	,chōng
6897,	洴,	U+6D34	,píng
6898,	洣,	U+6D23	,mǐ
6899,	恔,	U+6054	,jiǎo
6900,	宬,	U+5BAC	,chéng
6901,	窀,	U+7A80	,zhūn
6902,	扂,	U+6242	,diàn
6903,	袆,	U+8886	,huī
6904,	祏,	U+794F	,shí
6905,	祐,	U+7950	,yòu
6906,	祕,	U+7955	,mì
6907,	叚,	U+53DA	,xiá
6908,	陧,	U+9667	,niè
6909,	陞,	U+965E	,shēng
6910,	娀,	U+5A00	,sōng
6911,	姞,	U+59DE	,jí
6912,	姱,	U+59F1	,kuā
6913,	姤,	U+59E4	,gòu
6914,	姶,	U+59F6	,è
6915,	姽,	U+59FD	,guǐ
6916,	枲,	U+67B2	,xǐ
6917,	绖,	U+7ED6	,dié
6918,	骃,	U+9A83	,yīn
6919,	𬘡,	U+2C621,	yīn
6920,	𬳽,	U+2CCFD,	shēn
6921,	𬘩,	U+2C629,	tīng
6922,	𫄧,	U+2B127,	yán
6923,	彖,	U+5F56	,tuàn
6924,	骉,	U+9A89	,biāo
6925,	恝,	U+605D	,jiá
6926,	珪,	U+73EA	,guī
6927,	珛,	U+73DB	,xiù
6928,	珹,	U+73F9	,chéng
6929,	琊,	U+740A	,yá
6930,	玼,	U+73BC	,cǐ
6931,	珖,	U+73D6	,guāng
6932,	𪟝,	U+2A7DD,	jì
6933,	珽,	U+73FD	,tǐng
6934,	珦,	U+73E6	,xiàng
6935,	珫,	U+73EB	,chōng
6936,	珒,	U+73D2	,jīn
6937,	𬍤,	U+2C364,	xún
6938,	珢,	U+73E2	,yín
6939,	珕,	U+73D5	,lì
6940,	珝,	U+73DD	,xǔ
6941,	𫭼,	U+2BB7C,	láo
6942,	埗,	U+57D7	,bù
6943,	垾,	U+57BE	,hàn
6944,	垺,	U+57BA	,fú
6945,	埆,	U+57C6	,què
6946,	垿,	U+57BF	,xù
6947,	埌,	U+57CC	,làng
6948,	埇,	U+57C7	,yǒng
6949,	莰,	U+83B0	,kǎn
6950,	茝,	U+831D	,chǎi
6951,	𬜯,	U+2C72F,	liǎng
6952,	鄀,	U+9100	,ruò
6953,	莶,	U+83B6	,xiān
6954,	莝,	U+839D	,cuò
6955,	䓖,	U+44D6	,qióng
6956,	莙,	U+8399	,jūn
6957,	栻,	U+683B	,shì
6958,	桠,	U+6860	,yā
6959,	𬂩,	U+2C0A9,	jiā
6960,	桄,	U+6844	,guāng，guàng
6961,	梠,	U+68A0	,lǚ
6962,	栴,	U+6834	,zhān
6963,	梴,	U+68B4	,chān
6964,	栒,	U+6812	,xún
6965,	酎,	U+914E	,zhòu
6966,	酏,	U+914F	,yǐ
6967,	𫠆,	U+2B806,	kuǐ
6968,	砵,	U+7835	,bō
6969,	砠,	U+7820	,jū
6970,	砫,	U+782B	,zhù
6971,	砬,	U+782C	,lá
6972,	硁,	U+7841	,kēng
6973,	恧,	U+6067	,nǜ
6974,	翃,	U+7FC3	,hóng
6975,	郪,	U+90EA	,qī
6976,	𨐈,	U+28408,	guāng
6977,	辀,	U+8F80	,zhōu
6978,	辁,	U+8F81	,quán
6979,	𬌗,	U+2C317,	hé
6980,	剕,	U+5255	,fèi
6981,	赀,	U+8D40	,zī
6982,	哢,	U+54E2	,lòng
6983,	晅,	U+6645	,xuǎn
6984,	晊,	U+664A	,zhì
6985,	唝,	U+551D	,hǒng
6986,	哳,	U+54F3	,zhā
6987,	哱,	U+54F1	,bō
6988,	冔,	U+5194	,xǔ
6989,	晔,	U+6654	,yè
6990,	晐,	U+6650	,gāi
6991,	晖,	U+6656	,huī
6992,	畖,	U+7556	,wā
6993,	蚄,	U+8684	,fāng
6994,	蚆,	U+8686	,bā
6995,	𫑡,	U+2B461,	méng
6996,	帱,	U+5E31	,chóu，dào
6997,	崁,	U+5D01	,kàn
6998,	峿,	U+5CFF	,wú
6999,	𪨶,	U+2AA36,	shē
7000,	崄,	U+5D04	,xiǎn
7001,	帨,	U+5E28	,shuì
7002,	崀,	U+5D00	,làng
7003,	赆,	U+8D46	,jìn
7004,	𬬸,	U+2CB38,	shù
7005,	钷,	U+94B7	,pǒ
7006,	𬬻,	U+2CB3B,	lú
7007,	𬬹,	U+2CB39,	shén
7008,	𬬿,	U+2CB3F,	zhāo
7009,	𬭁,	U+2CB41,	mǔ
7010,	眚,	U+771A	,shěng
7011,	甡,	U+7521	,shēn
7012,	笫,	U+7B2B	,zǐ
7013,	倻,	U+503B	,yē
7014,	倴,	U+5034	,bèn
7015,	脩,	U+8129	,xiū
7016,	倮,	U+502E	,luǒ
7017,	倕,	U+5015	,chuí
7018,	倞,	U+501E	,jìng
7019,	𫢸,	U+2B8B8,	dàn
7020,	倓,	U+5013	,tán
7021,	倧,	U+5027	,zōng
7022,	衃,	U+8843	,pēi
7023,	虒,	U+8652	,sī
7024,	舭,	U+822D	,bǐ
7025,	舯,	U+822F	,zhōng
7026,	舥,	U+8225	,pā
7027,	瓞,	U+74DE	,dié
7028,	鬯,	U+9B2F	,chàng
7029,	鸰,	U+9E30	,líng
7030,	脎,	U+810E	,sà
7031,	朓,	U+6713	,tiǎo
7032,	胲,	U+80F2	,hǎi
7033,	虓,	U+8653	,xiāo
7034,	鱽,	U+9C7D	,dāo
7035,	狴,	U+72F4	,bì
7036,	峱,	U+5CF1	,náo
7037,	狻,	U+72FB	,suān
7038,	眢,	U+7722	,yuān
7039,	𫗧,	U+2B5E7,	sù
7040,	勍,	U+52CD	,qíng
7041,	痄,	U+75C4	,zhà
7042,	疰,	U+75B0	,zhù
7043,	痃,	U+75C3	,xuán
7044,	竘,	U+7AD8	,qǔ
7045,	羖,	U+7F96	,gǔ
7046,	羓,	U+7F93	,bā
7047,	桊,	U+684A	,juàn
7048,	敉,	U+6549	,mǐ
7049,	烠,	U+70E0	,huí
7050,	烔,	U+70D4	,tóng
7051,	烶,	U+70F6	,tǐng
7052,	烻,	U+70FB	,shān
7053,	𬊈,	U+2C288,	xún
7054,	涍,	U+6D8D	,xiào
7055,	浡,	U+6D61	,bó
7056,	浭,	U+6D6D	,gēng
7057,	浬,	U+6D6C	,lǐ
7058,	涄,	U+6D84	,pīng
7059,	涢,	U+6DA2	,yún
7060,	涐,	U+6D90	,é
7061,	浰,	U+6D70	,lì，liàn
7062,	浟,	U+6D5F	,yóu
7063,	浛,	U+6D5B	,hán
7064,	浼,	U+6D7C	,měi
7065,	浲,	U+6D72	,féng
7066,	涘,	U+6D98	,sì
7067,	悈,	U+6088	,jiè
7068,	悃,	U+6083	,kǔn
7069,	悢,	U+60A2	,liàng
7070,	𬒈,	U+2C488,	què
7071,	宧,	U+5BA7	,yí
7072,	窅,	U+7A85	,yǎo
7073,	窊,	U+7A8A	,wā
7074,	窎,	U+7A8E	,diào
7075,	扅,	U+6245	,yí
7076,	扆,	U+6246	,yǐ
7077,	袪,	U+88AA	,qū
7078,	袗,	U+8897	,zhěn
7079,	袯,	U+88AF	,bó
7080,	祧,	U+7967	,tiāo
7081,	隺,	U+96BA	,hè
7082,	堲,	U+5832	,jí
7083,	疍,	U+758D	,dàn
7084,	𨺙,	U+28E99,	nì
7085,	陴,	U+9674	,pí
7086,	烝,	U+70DD	,zhēng
7087,	砮,	U+782E	,nǔ
7088,	㛚,	U+36DA	,tǒng
7089,	哿,	U+54FF	,gě
7090,	翀,	U+7FC0	,chōng
7091,	翂,	U+7FC2	,fēn
7092,	剟,	U+525F	,duō
7093,	𬳿,	U+2CCFF,	tú
7094,	𫄨,	U+2B128,	chī
7095,	绤,	U+7EE4	,xì
7096,	骍,	U+9A8D	,xīng
7097,	𬘫,	U+2C62B,	huán
7098,	䂮,	U+40AE	,lüè
7099,	琎,	U+740E	,jìn
7100,	珸,	U+73F8	,wú
7101,	珵,	U+73F5	,chéng
7102,	琄,	U+7404	,xuàn
7103,	琈,	U+7408	,fú
7104,	琀,	U+7400	,hán
7105,	珺,	U+73FA	,jùn
7106,	掭,	U+63AD	,tiàn
7107,	堎,	U+580E	,lèng
7108,	堐,	U+5810	,yá
7109,	埼,	U+57FC	,qí
7110,	掎,	U+638E	,jǐ
7111,	埫,	U+57EB	,tǎng
7112,	堌,	U+580C	,gù
7113,	晢,	U+6662	,zhé
7114,	𫮃,	U+2BB83,	shàn
7115,	掞,	U+639E	,yàn
7116,	埪,	U+57EA	,kōng
7117,	壸,	U+58F8	,kǔn
7118,	㙍,	U+364D	,duō
7119,	聍,	U+804D	,níng
7120,	菝,	U+83DD	,bá
7121,	萚,	U+841A	,tuò
7122,	菥,	U+83E5	,xī
7123,	莿,	U+83BF	,cì
7124,	䓫,	U+44EB	,qí
7125,	勚,	U+52DA	,yì
7126,	䓬,	U+44EC	,zhuó
7127,	萆,	U+8406	,bì
7128,	菂,	U+83C2	,dì
7129,	菍,	U+83CD	,niè
7130,	菼,	U+83FC	,tǎn
7131,	萣,	U+8423	,dìng
7132,	䓨,	U+44E8	,yīng
7133,	菉,	U+83C9	,lù
7134,	䓛,	U+44DB	,qū
7135,	梼,	U+68BC	,táo
7136,	梽,	U+68BD	,zhì
7137,	桲,	U+6872	,bó，po
7138,	梾,	U+68BE	,lái
7139,	桯,	U+686F	,tīng
7140,	梣,	U+68A3	,chén，qín
7141,	梌,	U+688C	,tú
7142,	桹,	U+6879	,láng
7143,	敔,	U+6554	,yǔ
7144,	厣,	U+53A3	,yǎn
7145,	硔,	U+7854	,gǒng
7146,	鿎,	U+9FCE	,dá，tǎ
7147,	硙,	U+7859	,wèi
7148,	硚,	U+785A	,qiáo
7149,	硊,	U+784A	,huì
7150,	硍,	U+784D	,yín
7151,	勔,	U+52D4	,miǎn
7152,	䴕,	U+4D15	,liè
7153,	龁,	U+9F81	,hé
7154,	逴,	U+9034	,chuō
7155,	唪,	U+552A	,fěng
7156,	啫,	U+556B	,zhě
7157,	翈,	U+7FC8	,xiá
7158,	㫰,	U+3AF0	,làng
7159,	晙,	U+6659	,jùn
7160,	畤,	U+7564	,zhì
7161,	𬱖,	U+2CC56,	dí
7162,	趼,	U+8DBC	,jiǎn
7163,	跂,	U+8DC2	,qí
7164,	蛃,	U+86C3	,bǐng
7165,	蚲,	U+86B2	,píng
7166,	𬟽,	U+2C7FD,	dōng
7167,	蚺,	U+86BA	,rán
7168,	啴,	U+5574	,chǎn
7169,	䎃,	U+4383	,rǎn
7170,	崧,	U+5D27	,sōng
7171,	崟,	U+5D1F	,yín
7172,	崞,	U+5D1E	,guō
7173,	崒,	U+5D12	,zú
7174,	崌,	U+5D0C	,jū
7175,	崡,	U+5D21	,hán
7176,	铏,	U+94CF	,xíng
7177,	𫓯,	U+2B4EF,	jī
7178,	𫟹,	U+2B7F9,	hóng
7179,	铕,	U+94D5	,yǒu
7180,	𫟼,	U+2B7FC,	dá
7181,	铖,	U+94D6	,chéng
7182,	铘,	U+94D8	,yé
7183,	铚,	U+94DA	,zhì
7184,	铞,	U+94DE	,diào
7185,	铥,	U+94E5	,diū
7186,	铴,	U+94F4	,tāng
7187,	牻,	U+727B	,máng
7188,	牿,	U+727F	,gù
7189,	稆,	U+7A06	,lǚ
7190,	笱,	U+7B31	,gǒu
7191,	笯,	U+7B2F	,nú
7192,	偰,	U+5070	,xiè
7193,	偡,	U+5061	,zhàn
7194,	鸺,	U+9E3A	,xiū
7195,	偭,	U+506D	,miǎn
7196,	偲,	U+5072	,cāi
7197,	偁,	U+5041	,chēng
7198,	㿠,	U+3FE0	,huàng
7199,	鄅,	U+9105	,yǔ
7200,	偓,	U+5053	,wò
7201,	徛,	U+5F9B	,jì
7202,	衒,	U+8852	,xuàn
7203,	舳,	U+8233	,zhú
7204,	舲,	U+8232	,líng
7205,	鸼,	U+9E3C	,zhōu
7206,	悆,	U+6086	,yù
7207,	鄃,	U+9103	,shū
7208,	瓻,	U+74FB	,chī
7209,	䝙,	U+4759	,chū
7210,	脶,	U+8136	,luó
7211,	脞,	U+811E	,cuǒ
7212,	脟,	U+811F	,liè
7213,	䏲,	U+43F2	,tī
7214,	鱾,	U+9C7E	,jǐ
7215,	猇,	U+7307	,xiāo
7216,	猊,	U+730A	,ní
7217,	猄,	U+7304	,jīng
7218,	觖,	U+89D6	,jué
7219,	𠅤,	U+20164,	xí
7220,	庱,	U+5EB1	,chěng
7221,	庼,	U+5EBC	,qǐng
7222,	庳,	U+5EB3	,bì
7223,	痓,	U+75D3	,chì
7224,	䴔,	U+4D14	,jiāo
7225,	竫,	U+7AEB	,jìng
7226,	堃,	U+5803	,kūn
7227,	阌,	U+960C	,wén
7228,	羝,	U+7F9D	,dī
7229,	羕,	U+7F95	,yàng
7230,	焆,	U+7106	,juān
7231,	烺,	U+70FA	,lǎng
