20昂 39摆 59包
1653守 1681数 1709松 1737缩
1654首 1682刷 1710耸 1738所
1655寿 1683耍 1711宋 1739索
1656受 1684衰 1712送 1740锁
1657兽 1685摔 1713颂 
1658售 1686甩 1714搜 1741他

1742它 1770趟 1798条 1826徒
1743她 1771涛 1799跳 1827涂
1744塌 1772掏 1800贴 1828途
1745塔 1773逃 1801铁 1829屠
1746踏 1774桃 1802厅 1830±
1747胎 1775陶 1803听 1831吐
1748台 1776淘 1804廷 1832兔
1749抬 1777萄 1805亭 1833团
1750太 1778讨 1806庭 1834推
1751态 1779套 1807停 1835腿
1752泰 1780特 1808蜓 1836退
1753贪 1781腾 1809挺 1837吞
1754摊 1782藤 1810艇 1838托
1755滩 1783疼 1811通 1839拖
1756坛 1784梯 1812同 1840脱
1757谈 1785踢 1813桐 1841驼
1758潭 1786啼 1814铜 1842妥
1759坦 1787提 1815童 1843拓
1760叹 1788题 1816统 1844唾
1761炭 1789蹄 1817桶 
1762探 1790体 1818筒 1845挖
1763碳 1791替 1819痛 1846哇
1764汤 1792天 1820偷 1847蛙
1765唐 1793添 1821头 1848娃
1766堂 1794田 1822投 1849瓦
1767塘 1795甜 1823透 1850歪
1768糖 1796填 1824突 1851外
1769躺 1797挑 1825图 1852弯


1853湾 1881尾 1909污 1936锡
1854丸 1882纬 1910屋 1937熙
1855完 1883委 1911无 1938嘻
1856玩 1884萎 1912吴 1939膝
1857顽 1885卫 1913吾 1940习
1858挽 1886未 1914五 1941席
1859晚 1887位 1915午 1942袭
1860碗 1888味 1916伍 1943媳
1861万 1889胃 1917武 1944洗
1862汪 1890谓 1918舞 1945喜
1863亡 1891喂 1919务 1946戏
1864王 1892慰 1920物 1947系
1865网 1893魏 1921误 1948细
1866往 1894温 1922悟 1949隙
1867忘 1895文 1923雾 1950虾
1868旺 1896纹 1951瞎
1869望 1897闻 1924夕 1952峡
1870危 1898蚊 1925西 1953狭
1871威 1899吻 1926吸 1954辖
1872微 1900稳 1927希 1955霞
1873为 1901问 1928析 1956T
1874围 1902翁 1929息 1957吓
1875违 1903窝 1930牺 1958夏
1876唯 1904我 1931悉 1959厦
1877惟 1905沃 1932惜 1960仙
1878维 1906卧 1933晰 1961先
1879伟 1907握 1934稀 1962纤
1880伪 1908乌 1935溪 1963掀


1964鲜 1992想 2020泻 2048熊
1965闲 1993向 2021卸 2049休
1966弦 1994巷 2022屑 2050修
1967贤 1995项 2023械 2051羞
1968咸 1996象 2024谢 2052朽
1969衔 1997像 2025蟹 2053秀
1970嫌 1998橡 2026心 2054绣
1971显 1999削 2027辛 2055袖
1972险 2000消 2028欣 2056嗅
1973县 2001萧 2029新 2057须
1974现 2002硝 2030信 2058虚
1975线 2003销 2031兴 2059需
1976限 2004小 2032星 2060徐
1977宪 2005晓 2033猩 2061许
1978陷 2006孝 2034刑 2062序
1979献 2007效 2035行 2063叙
1980腺 2008校 2036形 2064畜
1981乡 2009笑 2037型 2065绪
1982相 2010些 2038醒 2066续
1983香 2011歇 2039杏 2067蓄
1984厢 2012协 2040姓 2068宣
1985湘 2013胁 2041幸 2069玄
1986箱 2014斜 2042性 2070悬
1987详 2015谐 2043凶 2071旋
1988祥 2016携 2044兄 2072选
1989翔 2017鞋 2045匈 2073穴
1990享 2018写 2046胸 2074学
1991响 2019泄 2047雄 2075雪

2076血 2103研 2131遥 2159以
2077寻 2104盐 2132咬 2160矣
2078巡 2105颜 2133药 2161蚁
2079询 2106衍 2134要 2162椅
2080循 2107掩 2135耀 2163义
2081训 2108眼 2136爷 2164亿
2082讯 2109演 2137也 2165忆
2083迅 2110厌 2138冶 2166艺
2111宴 2139野 2167议
2084压 2112艳 2140业 2168亦
2085呀 2113验 2141叶 2169异
2086鸦 2114焰 2142页 2170役
2087鸭 2115雁 2143夜 2171抑
2088牙 2116燕 2144液 2172译
2089芽 2117央 2145— 2173易
2090崖 2118扬 2146伊 2174疫
2091哑 2119羊 2147衣 2175益
2092雅 2120阳 2148医 2176谊
2093亚 2121杨 2149依 2177逸
2094咽 2122洋 2150仪 2178意
2095烟 2123仰 2151夷 2179溢
2096淹 2124养 2152宜 2180毅
2097延 2125氧 2153姨 2181翼
2098严 2126痒 2154移 2182因
2099言 2127样 2155遗 2183阴
2100岩 2128腰 2156疑 2184音
2101沿 2129邀 2157乙 2185吟
2102炎 2130摇 2158已 2186银


2187引 2215尤 2243郁 2271约
2188饮 2216犹 2244狱 2272月
2189蚓 2217由 2245浴 2273岳
2190隐 2218邮 2246预 2274钥
2191印 2219油 2247域 2275悦
2192应 2220游 2248欲 2276阅
2193英 2221友 2249喻 2277跃
2194婴 2222有 2250寓 2278越
2195鹰 2223又 2251御 2279云
2196迎 2224右 2252裕 2280匀
2197盈 2225幼 2253遇 2281允
2198营 2226诱 2254愈 2282孕
2199蝇 2227于 2255誉 2283运
2200赢 2228予 2256豫 2284晕
2201影 2229余 2257元 2285韵
2202映 2230鱼 2258员 2286蕴
2203硬 2231娱 2259园 
2204哟 2232渔 2260原 2287杂
2205拥 2233愉 2261圆 2288砸
2206永 2234愚 2262袁 2289灾
2207泳 2235与 2263援 2290栽
2208勇 2236宇 2264缘 2291宰
2209涌 2237羽 2265源 2292载
2210用 2238雨 2266远 2293再
2211优 2239语 2267怨 2294在
2212忧 2240玉 2268院 2295咱
2213幽 2241吁 2269愿 2296暂
2214悠 2242育 2270曰 2297赞


2298脏 2326窄 2354者 2382枝
2299葬 2327债 2355这 2383知
2300遭 2328沾 2356浙 2384织
2301糟 2329粘 2357针 2385肢
2302早 2330展 2358侦 2386脂
2303枣 2331占 2359珍 2387蜘
2304藻 2332战 2360真 2388执
2305灶 2333站 2361诊 2389直
2306皂 2334张 2362枕 2390值
2307造 2335章 2363阵 2391职
2308噪 2336涨 2364振 2392植
2309燥 2337掌 2365镇 2393殖
2310躁 2338丈 2366震 2394止
2311则 2339仗 2367争 2395只
2312择 2340帐 2368征 2396旨
2313泽 2341胀 2369挣 2397址
2314责 2342账 2370睁 2398纸
2315贼 2343障 2371蒸 2399指
2316怎 2344招 2372整 2400趾
2317曾 2345找 2373正 2401至
2318增 2346召 2374证 2402志
2319赠 2347兆 2375郑 2403制
2320渣 2348赵 2376政 2404治
2321扎 2349照 2377症 2405质
2322眨 2350罩 2378之 2406致
2323炸 2351遮 2379支 2407智
2324摘 2352折 2380汁 2408置
2325宅 2353哲 2381芝 2409中


2410忠 2433烛 2456壮 2479纵
2411终 2434逐 2457状 2480走
2412钟 2435主 2458撞 2481奏
2413肿 2436煮 2459追 2482租
2414种 2437嘱 2460准 2483足
2415仲 2438住 2461捉 2484族
2416众 2439助 2462桌 2485阻
2417重 2440注 2463着 2486组
2418州 2441贮 2464仔 2487祖
2419舟 2442驻 2465兹 2488钻
2420周 2443柱 2466姿 2489嘴
2421洲 2444祝 2467资 2490最
2422轴 2445著 2468滋 2491罪
2423宙 2446筑 2469籽 2492醉
2424皱 2447抓 2470子 2493尊
2425骤 2448爪 2471紫 2494遵
2426朱 2449专 2472字 2495昨
2427株 2450砖 2473自 2496左
2428珠 2451转 2474宗 2497作
2429诸 2452赚 2475综 2498坐
2430猪 2453庄 2476棕 2499座
2431蛛 2454桩 2477踪 2500做
2432竹 2455装 2478总 
