seq,	word,	Unicode,pinyin
0061,	已,	U+5DF2,	yǐ
0062,	巳,	U+5DF3,	sì
0063,	弓,	U+5F13,	gōng
0064,	子,	U+5B50,	zǐ
0065,	卫,	U+536B,	wèi
0066,	也,	U+4E5F,	yě
0067,	女,	U+5973,	nǚ
0068,	刃,	U+5203,	rèn
0069,	飞,	U+98DE,	fēi
0070,	习,	U+4E60,	xí
0071,	叉,	U+53C9,	chā，chá，chǎ，chà
0072,	马,	U+9A6C,	mǎ
0073,	乡,	U+4E61,	xiāng
0074,	丰,	U+4E30,	fēng
0075,	王,	U+738B,	wáng
0076,	开,	U+5F00,	kāi
0077,	井,	U+4E95,	jǐng
0078,	天,	U+5929,	tiān
0079,	夫,	U+592B,	fū
0080,	元,	U+5143,	yuán
0081,	无,	U+65E0,	mó，wú
0082,	云,	U+4E91,	yún
0083,	专,	U+4E13,	zhuān
0084,	丐,	U+4E10,	gài
0085,	扎,	U+624E,	zā，zhā，zhá
0086,	艺,	U+827A,	yì
0087,	木,	U+6728,	mù
0088,	五,	U+4E94,	wǔ
0089,	支,	U+652F,	zhī
0090,	厅,	U+5385,	tīng
0091,	不,	U+4E0D,	bù
0092,	犬,	U+72AC,	quǎn
0093,	太,	U+592A,	tài
0094,	区,	U+533A,	ōu，qū
0095,	历,	U+5386,	lì
0096,	歹,	U+6B79,	dǎi
0097,	友,	U+53CB,	yǒu
0098,	尤,	U+5C24,	yóu
0099,	匹,	U+5339,	pǐ
0100,	车,	U+8F66,	chē，jū
0101,	巨,	U+5DE8,	jù
0102,	牙,	U+7259,	yá
0103,	屯,	U+5C6F,	tún
0104,	戈,	U+6208,	gē
0105,	比,	U+6BD4,	bǐ
0106,	互,	U+4E92,	hù
0107,	切,	U+5207,	qiē，qiè
0108,	瓦,	U+74E6,	wǎ，wà
0109,	止,	U+6B62,	zhǐ
0110,	少,	U+5C11,	shǎo，shào
0111,	曰,	U+66F0,	yuē
0112,	日,	U+65E5,	rì
0113,	中,	U+4E2D,	zhōng，zhòng
0114,	贝,	U+8D1D,	bèi
0115,	冈,	U+5188,	gāng
0116,	内,	U+5185,	nèi
0117,	水,	U+6C34,	shuǐ
0118,	见,	U+89C1,	jiàn，xiàn
0119,	午,	U+5348,	wǔ
0120,	牛,	U+725B,	niú
0121,	手,	U+624B,	shǒu
0122,	气,	U+6C14,	qì
0123,	毛,	U+6BDB,	máo
0124,	壬,	U+58EC,	rén
0125,	升,	U+5347,	shēng
0126,	夭,	U+592D,	yāo
0127,	长,	U+957F,	cháng，zhǎng
0128,	仁,	U+4EC1,	rén
0129,	什,	U+4EC0,	shén，shí
0130,	片,	U+7247,	piān，piàn
0131,	仆,	U+4EC6,	pū，pú
0132,	化,	U+5316,	huà
0133,	仇,	U+4EC7,	chóu，qiú
0134,	币,	U+5E01,	bì
0135,	仍,	U+4ECD,	réng
0136,	仅,	U+4EC5,	jǐn
0137,	斤,	U+65A4,	jīn
0138,	爪,	U+722A,	zhǎo，zhuǎ
0139,	反,	U+53CD,	fǎn
0140,	介,	U+4ECB,	jiè
0141,	父,	U+7236,	fù
0142,	从,	U+4ECE,	cóng
0143,	仑,	U+4ED1,	lún
0144,	今,	U+4ECA,	jīn
0145,	凶,	U+51F6,	xiōng
0146,	分,	U+5206,	fēn，fèn
0147,	乏,	U+4E4F,	fá
0148,	公,	U+516C,	gōng
0149,	仓,	U+4ED3,	cāng
0150,	月,	U+6708,	yuè
0151,	氏,	U+6C0F,	shì，zhī
0152,	勿,	U+52FF,	wù
0153,	欠,	U+6B20,	qiàn
0154,	风,	U+98CE,	fēng
0155,	丹,	U+4E39,	dān
0156,	匀,	U+5300,	yún
0157,	乌,	U+4E4C,	wū
0158,	勾,	U+52FE,	gōu，gòu
0159,	凤,	U+51E4,	fèng
0160,	六,	U+516D,	liù
0161,	文,	U+6587,	wén
0162,	亢,	U+4EA2,	kàng
0163,	方,	U+65B9,	fāng
0164,	火,	U+706B,	huǒ
0165,	为,	U+4E3A,	wéi，wèi
0166,	斗,	U+6597,	dǒu，dòu
0167,	忆,	U+5FC6,	yì
0168,	计,	U+8BA1,	jì
0169,	订,	U+8BA2,	dìng
0170,	户,	U+6237,	hù
0171,	认,	U+8BA4,	rèn
0172,	冗,	U+5197,	rǒng
0173,	讥,	U+8BA5,	jī
0174,	心,	U+5FC3,	xīn
0175,	尺,	U+5C3A,	chě，chǐ
0176,	引,	U+5F15,	yǐn
0177,	丑,	U+4E11,	chǒu
0178,	巴,	U+5DF4,	bā
0179,	孔,	U+5B54,	kǒng
0180,	队,	U+961F,	duì
0181,	办,	U+529E,	bàn
0182,	以,	U+4EE5,	yǐ
0183,	允,	U+5141,	yǔn
0184,	予,	U+4E88,	yú，yǔ
0185,	邓,	U+9093,	dèng
0186,	劝,	U+529D,	quàn
0187,	双,	U+53CC,	shuāng
0188,	书,	U+4E66,	shū
0189,	幻,	U+5E7B,	huàn
0190,	玉,	U+7389,	yù
0191,	刊,	U+520A,	kān
0192,	未,	U+672A,	wèi
0193,	末,	U+672B,	mò
0194,	示,	U+793A,	shì
0195,	击,	U+51FB,	jī
0196,	打,	U+6253,	dá，dǎ
0197,	巧,	U+5DE7,	qiǎo
0198,	正,	U+6B63,	zhēng，zhèng
0199,	扑,	U+6251,	pū
0200,	卉,	U+5349,	huì
0201,	扒,	U+6252,	bā，pá
0202,	功,	U+529F,	gōng
0203,	扔,	U+6254,	rēng
0204,	去,	U+53BB,	qù
0205,	甘,	U+7518,	gān
0206,	世,	U+4E16,	shì
0207,	艾,	U+827E,	ài，yì
0208,	古,	U+53E4,	gǔ
0209,	节,	U+8282,	jiē，jié
0210,	本,	U+672C,	běn
0211,	术,	U+672F,	shù，zhú
0212,	可,	U+53EF,	kě，kè
0213,	丙,	U+4E19,	bǐng
0214,	左,	U+5DE6,	zuǒ
0215,	厉,	U+5389,	lì
0216,	石,	U+77F3,	dàn，shí
0217,	右,	U+53F3,	yòu
0218,	布,	U+5E03,	bù
0219,	夯,	U+592F,	hāng
0220,	戊,	U+620A,	wù
0221,	龙,	U+9F99,	lóng
0222,	平,	U+5E73,	píng
0223,	灭,	U+706D,	miè
0224,	轧,	U+8F67,	yà，zhá
0225,	东,	U+4E1C,	dōng
0226,	卡,	U+5361,	kǎ，qiǎ
0227,	北,	U+5317,	běi
0228,	占,	U+5360,	zhān，zhàn
0229,	凸,	U+51F8,	tū
0230,	卢,	U+5362,	lú
0231,	业,	U+4E1A,	yè
0232,	旧,	U+65E7,	jiù
0233,	帅,	U+5E05,	shuài
0234,	归,	U+5F52,	guī
0235,	旦,	U+65E6,	dàn
0236,	目,	U+76EE,	mù
0237,	且,	U+4E14,	qiě
0238,	叶,	U+53F6,	xié，yè
0239,	甲,	U+7532,	jiǎ
0240,	申,	U+7533,	shēn
0241,	叮,	U+53EE,	dīng
0242,	电,	U+7535,	diàn
0243,	号,	U+53F7,	háo，hào
0244,	田,	U+7530,	tián
0245,	由,	U+7531,	yóu
0246,	只,	U+53EA,	zhī，zhǐ
0247,	叭,	U+53ED,	bā
0248,	史,	U+53F2,	shǐ
0249,	央,	U+592E,	yāng
0250,	兄,	U+5144,	xiōng
0251,	叽,	U+53FD,	jī
0252,	叼,	U+53FC,	diāo
0253,	叫,	U+53EB,	jiào
0254,	叩,	U+53E9,	kòu
0255,	叨,	U+53E8,	dāo，dáo，tāo
0256,	另,	U+53E6,	lìng
0257,	叹,	U+53F9,	tàn
0258,	冉,	U+5189,	rǎn
0259,	皿,	U+76BF,	mǐn
0260,	凹,	U+51F9,	āo
0261,	囚,	U+56DA,	qiú
0262,	四,	U+56DB,	sì
0263,	生,	U+751F,	shēng
0264,	矢,	U+77E2,	shǐ
0265,	失,	U+5931,	shī
0266,	乍,	U+4E4D,	zhà
0267,	禾,	U+79BE,	hé
0268,	丘,	U+4E18,	qiū
0269,	付,	U+4ED8,	fù
0270,	仗,	U+4ED7,	zhàng
0271,	代,	U+4EE3,	dài
0272,	仙,	U+4ED9,	xiān
0273,	们,	U+4EEC,	mén，men
0274,	仪,	U+4EEA,	yí
0275,	白,	U+767D,	bái
0276,	仔,	U+4ED4,	zǎi，zǐ
0277,	他,	U+4ED6,	tā
0278,	斥,	U+65A5,	chì
0279,	瓜,	U+74DC,	guā
0280,	乎,	U+4E4E,	hū
0281,	丛,	U+4E1B,	cóng
0282,	令,	U+4EE4,	líng，lǐng，lìng
0283,	用,	U+7528,	yòng
0284,	甩,	U+7529,	shuǎi
0285,	印,	U+5370,	yìn
0286,	尔,	U+5C14,	ěr
0287,	乐,	U+4E50,	lè，yuè
0288,	句,	U+53E5,	gōu，jù
0289,	匆,	U+5306,	cōng
0290,	册,	U+518C,	cè
0291,	卯,	U+536F,	mǎo
0292,	犯,	U+72AF,	fàn
0293,	外,	U+5916,	wài
0294,	处,	U+5904,	chǔ，chù
0295,	冬,	U+51AC,	dōng
0296,	鸟,	U+9E1F,	niǎo
0297,	务,	U+52A1,	wù
0298,	包,	U+5305,	bāo
0299,	饥,	U+9965,	jī
0300,	主,	U+4E3B,	zhǔ
0301,	市,	U+5E02,	shì
0302,	立,	U+7ACB,	lì
0303,	冯,	U+51AF,	féng
0304,	玄,	U+7384,	xuán
0305,	闪,	U+95EA,	shǎn
0306,	兰,	U+5170,	lán
0307,	半,	U+534A,	bàn
0308,	汁,	U+6C41,	zhī
0309,	汇,	U+6C47,	huì
0310,	头,	U+5934,	tóu
0311,	汉,	U+6C49,	hàn
0312,	宁,	U+5B81,	níng，nìng
0313,	穴,	U+7A74,	xué
0314,	它,	U+5B83,	tā
0315,	讨,	U+8BA8,	tǎo
0316,	写,	U+5199,	xiě
0317,	让,	U+8BA9,	ràng
0318,	礼,	U+793C,	lǐ
0319,	训,	U+8BAD,	xùn
0320,	议,	U+8BAE,	yì
0321,	必,	U+5FC5,	bì
0322,	讯,	U+8BAF,	xùn
0323,	记,	U+8BB0,	jì
0324,	永,	U+6C38,	yǒng
0325,	司,	U+53F8,	sī
0326,	尼,	U+5C3C,	ní
0327,	民,	U+6C11,	mín
0328,	弗,	U+5F17,	fú
0329,	弘,	U+5F18,	hóng
0330,	出,	U+51FA,	chū
0331,	辽,	U+8FBD,	liáo
0332,	奶,	U+5976,	nǎi
0333,	奴,	U+5974,	nú
0334,	召,	U+53EC,	shào，zhào
0335,	加,	U+52A0,	jiā
0336,	皮,	U+76AE,	pí
0337,	边,	U+8FB9,	biān
0338,	孕,	U+5B55,	yùn
0339,	发,	U+53D1,	fā，fà
0340,	圣,	U+5723,	shèng
0341,	对,	U+5BF9,	duì
0342,	台,	U+53F0,	tāi，tái
0343,	矛,	U+77DB,	máo
0344,	纠,	U+7EA0,	jiū
0345,	母,	U+6BCD,	mǔ
0346,	幼,	U+5E7C,	yòu
0347,	丝,	U+4E1D,	sī
0348,	邦,	U+90A6,	bāng
0349,	式,	U+5F0F,	shì
0350,	迂,	U+8FC2,	yū
0351,	刑,	U+5211,	xíng
0352,	戎,	U+620E,	róng
0353,	动,	U+52A8,	dòng
0354,	扛,	U+625B,	gāng，káng
0355,	寺,	U+5BFA,	sì
0356,	吉,	U+5409,	jí
0357,	扣,	U+6263,	kòu
0358,	考,	U+8003,	kǎo
0359,	托,	U+6258,	tuō
0360,	老,	U+8001,	lǎo
0361,	巩,	U+5DE9,	gǒng
0362,	圾,	U+573E,	jī
0363,	执,	U+6267,	zhí
0364,	扩,	U+6269,	kuò
0365,	扫,	U+626B,	sǎo，sào
0366,	地,	U+5730,	de，dì
0367,	场,	U+573A,	cháng，chǎng
0368,	扬,	U+626C,	yáng
0369,	耳,	U+8033,	ěr
0370,	芋,	U+828B,	yù
0371,	共,	U+5171,	gòng
0372,	芒,	U+8292,	máng
0373,	亚,	U+4E9A,	yà
0374,	芝,	U+829D,	zhī
0375,	朽,	U+673D,	xiǔ
0376,	朴,	U+6734,	piáo，pò，pǔ
0377,	机,	U+673A,	jī
0378,	权,	U+6743,	quán
0379,	过,	U+8FC7,	guō，guò
0380,	臣,	U+81E3,	chén
0381,	吏,	U+540F,	lì
0382,	再,	U+518D,	zài
0383,	协,	U+534F,	xié
0384,	西,	U+897F,	xī
0385,	压,	U+538B,	yā，yà
0386,	厌,	U+538C,	yàn
0387,	戌,	U+620C,	qu，xū
0388,	在,	U+5728,	zài
0389,	百,	U+767E,	bǎi
0390,	有,	U+6709,	yǒu
0391,	存,	U+5B58,	cún
0392,	而,	U+800C,	ér
0393,	页,	U+9875,	yè
0394,	匠,	U+5320,	jiàng
0395,	夸,	U+5938,	kuā
0396,	夺,	U+593A,	duó
0397,	灰,	U+7070,	huī
0398,	达,	U+8FBE,	dá
0399,	列,	U+5217,	liè
0400,	死,	U+6B7B,	sǐ
0401,	成,	U+6210,	chéng
0402,	夹,	U+5939,	gā，jiā，jiá
0403,	夷,	U+5937,	yí
0404,	轨,	U+8F68,	guǐ
0405,	邪,	U+90AA,	xié
0406,	尧,	U+5C27,	yáo
0407,	划,	U+5212,	huá，huà
0408,	迈,	U+8FC8,	mài
0409,	毕,	U+6BD5,	bì
0410,	至,	U+81F3,	zhì
0411,	此,	U+6B64,	cǐ
0412,	贞,	U+8D1E,	zhēn
0413,	师,	U+5E08,	shī
0414,	尘,	U+5C18,	chén
0415,	尖,	U+5C16,	jiān
0416,	劣,	U+52A3,	liè
0417,	光,	U+5149,	guāng
0418,	当,	U+5F53,	dāng，dàng
0419,	早,	U+65E9,	zǎo
0420,	吁,	U+5401,	xū，yū，yù
0421,	吐,	U+5410,	tǔ，tù
0422,	吓,	U+5413,	hè，xià
0423,	虫,	U+866B,	chóng
0424,	曲,	U+66F2,	qū，qǔ
0425,	团,	U+56E2,	tuán
0426,	吕,	U+5415,	lǚ
0427,	同,	U+540C,	tóng，tòng
0428,	吊,	U+540A,	diào
0429,	吃,	U+5403,	chī
0430,	因,	U+56E0,	yīn
0431,	吸,	U+5438,	xī
0432,	吗,	U+5417,	má，mǎ，ma
0433,	吆,	U+5406,	yāo
0434,	屿,	U+5C7F,	yǔ
0435,	屹,	U+5C79,	yì
0436,	岁,	U+5C81,	suì
0437,	帆,	U+5E06,	fān
0438,	回,	U+56DE,	huí
0439,	岂,	U+5C82,	qǐ
0440,	则,	U+5219,	zé
0441,	刚,	U+521A,	gāng
0442,	网,	U+7F51,	wǎng
0443,	肉,	U+8089,	ròu
0444,	年,	U+5E74,	nián
0445,	朱,	U+6731,	zhū
0446,	先,	U+5148,	xiān
0447,	丢,	U+4E22,	diū
0448,	廷,	U+5EF7,	tíng
0449,	舌,	U+820C,	shé
0450,	竹,	U+7AF9,	zhú
0451,	迁,	U+8FC1,	qiān
0452,	乔,	U+4E54,	qiáo
0453,	迄,	U+8FC4,	qì
0454,	伟,	U+4F1F,	wěi
0455,	传,	U+4F20,	chuán，zhuàn
0456,	乒,	U+4E52,	pīng
0457,	乓,	U+4E53,	pāng
0458,	休,	U+4F11,	xiū
0459,	伍,	U+4F0D,	wǔ
0460,	伏,	U+4F0F,	fú
0461,	优,	U+4F18,	yōu
0462,	臼,	U+81FC,	jiù
0463,	伐,	U+4F10,	fá
0464,	延,	U+5EF6,	yán
0465,	仲,	U+4EF2,	zhòng
0466,	件,	U+4EF6,	jiàn
0467,	任,	U+4EFB,	rén，rèn
0468,	伤,	U+4F24,	shāng
0469,	价,	U+4EF7,	jià，jie
0470,	伦,	U+4F26,	lún
0471,	份,	U+4EFD,	fèn
0472,	华,	U+534E,	huá，huà
0473,	仰,	U+4EF0,	yǎng
0474,	仿,	U+4EFF,	fǎng
0475,	伙,	U+4F19,	huǒ
0476,	伪,	U+4F2A,	wěi
0477,	自,	U+81EA,	zì
0478,	伊,	U+4F0A,	yī
0479,	血,	U+8840,	xiě，xuè
0480,	向,	U+5411,	xiàng
0481,	似,	U+4F3C,	shì，sì
0482,	后,	U+540E,	hòu
0483,	行,	U+884C,	háng，héng，xíng
0484,	舟,	U+821F,	zhōu
0485,	全,	U+5168,	quán
0486,	会,	U+4F1A,	huì，kuài
0487,	杀,	U+6740,	shā
0488,	合,	U+5408,	gě，hé
0489,	兆,	U+5146,	zhào
0490,	企,	U+4F01,	qǐ
0491,	众,	U+4F17,	zhòng
0492,	爷,	U+7237,	yé
0493,	伞,	U+4F1E,	sǎn
0494,	创,	U+521B,	chuāng，chuàng
0495,	肌,	U+808C,	jī
0496,	肋,	U+808B,	lèi
0497,	朵,	U+6735,	duǒ
0498,	杂,	U+6742,	zá
0499,	危,	U+5371,	wēi
0500,	旬,	U+65EC,	xún
0501,	旨,	U+65E8,	zhǐ
0502,	旭,	U+65ED,	xù
0503,	负,	U+8D1F,	fù
0504,	匈,	U+5308,	xiōng
0505,	名,	U+540D,	míng
0506,	各,	U+5404,	gè
0507,	多,	U+591A,	duō
0508,	争,	U+4E89,	zhēng
0509,	色,	U+8272,	sè，shǎi
0510,	壮,	U+58EE,	zhuàng
0511,	冲,	U+51B2,	chōng，chòng
0512,	妆,	U+5986,	zhuāng
0513,	冰,	U+51B0,	bīng
0514,	庄,	U+5E84,	zhuāng
0515,	庆,	U+5E86,	qìng
0516,	亦,	U+4EA6,	yì
0517,	刘,	U+5218,	liú
0518,	齐,	U+9F50,	qí
0519,	交,	U+4EA4,	jiāo
0520,	衣,	U+8863,	yī
0521,	次,	U+6B21,	cì
0522,	产,	U+4EA7,	chǎn
0523,	决,	U+51B3,	jué
0524,	亥,	U+4EA5,	hài
0525,	充,	U+5145,	chōng
0526,	妄,	U+5984,	wàng
0527,	闭,	U+95ED,	bì
0528,	问,	U+95EE,	wèn
0529,	闯,	U+95EF,	chuǎng
0530,	羊,	U+7F8A,	yáng
0531,	并,	U+5E76,	bīng，bìng
0532,	关,	U+5173,	guān
0533,	米,	U+7C73,	mǐ
0534,	灯,	U+706F,	dēng
0535,	州,	U+5DDE,	zhōu
0536,	汗,	U+6C57,	hán，hàn
0537,	污,	U+6C61,	wū
0538,	江,	U+6C5F,	jiāng
0539,	汛,	U+6C5B,	xùn
0540,	池,	U+6C60,	chí
0541,	汝,	U+6C5D,	rǔ
0542,	汤,	U+6C64,	tāng
0543,	忙,	U+5FD9,	máng
0544,	兴,	U+5174,	xīng，xìng
0545,	宇,	U+5B87,	yǔ
0546,	守,	U+5B88,	shǒu
0547,	宅,	U+5B85,	zhái
0548,	字,	U+5B57,	zì
0549,	安,	U+5B89,	ān
0550,	讲,	U+8BB2,	jiǎng
0551,	讳,	U+8BB3,	huì
0552,	军,	U+519B,	jūn
0553,	讶,	U+8BB6,	yà
0554,	许,	U+8BB8,	xǔ
0555,	讹,	U+8BB9,	é
0556,	论,	U+8BBA,	lún，lùn
0557,	讼,	U+8BBC,	sòng
0558,	农,	U+519C,	nóng
0559,	讽,	U+8BBD,	fěng
0560,	设,	U+8BBE,	shè
0561,	访,	U+8BBF,	fǎng
0562,	诀,	U+8BC0,	jué
0563,	寻,	U+5BFB,	xún
0564,	那,	U+90A3,	nā，nà
0565,	迅,	U+8FC5,	xùn
0566,	尽,	U+5C3D,	jǐn，jìn
0567,	导,	U+5BFC,	dǎo
0568,	异,	U+5F02,	yì
0569,	弛,	U+5F1B,	chí
0570,	孙,	U+5B59,	sūn
0571,	阵,	U+9635,	zhèn
0572,	阳,	U+9633,	yáng
0573,	收,	U+6536,	shōu
0574,	阶,	U+9636,	jiē
0575,	阴,	U+9634,	yīn
0576,	防,	U+9632,	fáng
0577,	奸,	U+5978,	jiān
0578,	如,	U+5982,	rú
0579,	妇,	U+5987,	fù
0580,	妃,	U+5983,	fēi
0581,	好,	U+597D,	hǎo，hào
0582,	她,	U+5979,	tā
0583,	妈,	U+5988,	mā
0584,	戏,	U+620F,	xì
0585,	羽,	U+7FBD,	yǔ
0586,	观,	U+89C2,	guān，guàn
0587,	欢,	U+6B22,	huān
0588,	买,	U+4E70,	mǎi
0589,	红,	U+7EA2,	hóng
0590,	驮,	U+9A6E,	duò，tuó
0591,	纤,	U+7EA4,	qiàn，xiān
0592,	驯,	U+9A6F,	xùn
0593,	约,	U+7EA6,	yāo，yuē
0594,	级,	U+7EA7,	jí
0595,	纪,	U+7EAA,	jǐ，jì
0596,	驰,	U+9A70,	chí
0597,	纫,	U+7EAB,	rèn
0598,	巡,	U+5DE1,	xún
0599,	寿,	U+5BFF,	shòu
0600,	弄,	U+5F04,	lòng，nòng
0601,	麦,	U+9EA6,	mài
0602,	玖,	U+7396,	jiǔ
0603,	玛,	U+739B,	mǎ
0604,	形,	U+5F62,	xíng
0605,	进,	U+8FDB,	jìn
0606,	戒,	U+6212,	jiè
0607,	吞,	U+541E,	tūn
0608,	远,	U+8FDC,	yuǎn
0609,	违,	U+8FDD,	wéi
0610,	韧,	U+97E7,	rèn
0611,	运,	U+8FD0,	yùn
0612,	扶,	U+6276,	fú
0613,	抚,	U+629A,	fǔ
0614,	坛,	U+575B,	tán
0615,	技,	U+6280,	jì
0616,	坏,	U+574F,	huài
0617,	抠,	U+62A0,	kōu
0618,	扰,	U+6270,	rǎo
0619,	扼,	U+627C,	è
0620,	拒,	U+62D2,	jù
0621,	找,	U+627E,	zhǎo
0622,	批,	U+6279,	pī
0623,	址,	U+5740,	zhǐ
0624,	扯,	U+626F,	chě
0625,	走,	U+8D70,	zǒu
0626,	抄,	U+6284,	chāo
0627,	贡,	U+8D21,	gòng
0628,	汞,	U+6C5E,	gǒng
0629,	坝,	U+575D,	bà
0630,	攻,	U+653B,	gōng
0631,	赤,	U+8D64,	chì
0632,	折,	U+6298,	shé，zhē，zhé
0633,	抓,	U+6293,	zhuā
0634,	扳,	U+6273,	bān
0635,	抡,	U+62A1,	lūn
0636,	扮,	U+626E,	bàn
0637,	抢,	U+62A2,	qiāng，qiǎng
0638,	孝,	U+5B5D,	xiào
0639,	坎,	U+574E,	kǎn
0640,	均,	U+5747,	jūn
0641,	抑,	U+6291,	yì
0642,	抛,	U+629B,	pāo
0643,	投,	U+6295,	tóu
0644,	坟,	U+575F,	fén
0645,	坑,	U+5751,	kēng
0646,	抗,	U+6297,	kàng
0647,	坊,	U+574A,	fāng，fáng
0648,	抖,	U+6296,	dǒu
0649,	护,	U+62A4,	hù
0650,	壳,	U+58F3,	ké，qiào
0651,	志,	U+5FD7,	zhì
0652,	块,	U+5757,	kuài
0653,	扭,	U+626D,	niǔ
0654,	声,	U+58F0,	shēng
0655,	把,	U+628A,	bǎ，bà
0656,	报,	U+62A5,	bào
0657,	拟,	U+62DF,	nǐ
0658,	却,	U+5374,	què
0659,	抒,	U+6292,	shū
0660,	劫,	U+52AB,	jié
0661,	芙,	U+8299,	fú
0662,	芜,	U+829C,	wú
0663,	苇,	U+82C7,	wěi
0664,	芽,	U+82BD,	yá
0665,	花,	U+82B1,	huā
0666,	芹,	U+82B9,	qín
0667,	芥,	U+82A5,	gài，jiè
0668,	芬,	U+82AC,	fēn
0669,	苍,	U+82CD,	cāng
0670,	芳,	U+82B3,	fāng
0671,	严,	U+4E25,	yán
0672,	芦,	U+82A6,	lú，lǔ
0673,	芯,	U+82AF,	xīn，xìn
0674,	劳,	U+52B3,	láo
0675,	克,	U+514B,	kè
0676,	芭,	U+82AD,	bā
0677,	苏,	U+82CF,	sū
0678,	杆,	U+6746,	gān，gǎn
0679,	杠,	U+6760,	gàng
0680,	杜,	U+675C,	dù
0681,	材,	U+6750,	cái
0682,	村,	U+6751,	cūn
0683,	杖,	U+6756,	zhàng
0684,	杏,	U+674F,	xìng
0685,	杉,	U+6749,	shā，shān
0686,	巫,	U+5DEB,	wū
0687,	极,	U+6781,	jí
0688,	李,	U+674E,	lǐ
0689,	杨,	U+6768,	yáng
0690,	求,	U+6C42,	qiú
0691,	甫,	U+752B,	fǔ
0692,	匣,	U+5323,	xiá
0693,	更,	U+66F4,	gēng，gèng
0694,	束,	U+675F,	shù
0695,	吾,	U+543E,	wú
0696,	豆,	U+8C46,	dòu
0697,	两,	U+4E24,	liǎng
0698,	酉,	U+9149,	yǒu
0699,	丽,	U+4E3D,	lí，lì
0700,	医,	U+533B,	yī
0701,	辰,	U+8FB0,	chén
0702,	励,	U+52B1,	lì
0703,	否,	U+5426,	fǒu，pǐ
0704,	还,	U+8FD8,	hái，huán
0705,	尬,	U+5C2C,	gà
0706,	歼,	U+6B7C,	jiān
0707,	来,	U+6765,	lái
0708,	连,	U+8FDE,	lián
0709,	轩,	U+8F69,	xuān
0710,	步,	U+6B65,	bù
0711,	卤,	U+5364,	lǔ
0712,	坚,	U+575A,	jiān
0713,	肖,	U+8096,	xiāo，xiào
0714,	旱,	U+65F1,	hàn
0715,	盯,	U+76EF,	dīng
0716,	呈,	U+5448,	chéng
0717,	时,	U+65F6,	shí
0718,	吴,	U+5434,	wú
0719,	助,	U+52A9,	zhù
0720,	县,	U+53BF,	xiàn
0721,	里,	U+91CC,	lǐ
0722,	呆,	U+5446,	dāi
0723,	吱,	U+5431,	zhī，zī
0724,	吠,	U+5420,	fèi
0725,	呕,	U+5455,	ǒu
0726,	园,	U+56ED,	yuán
0727,	旷,	U+65F7,	kuàng
0728,	围,	U+56F4,	wéi
0729,	呀,	U+5440,	yā，ya
0730,	吨,	U+5428,	dūn
0731,	足,	U+8DB3,	zú
0732,	邮,	U+90AE,	yóu
0733,	男,	U+7537,	nán
0734,	困,	U+56F0,	kùn
0735,	吵,	U+5435,	chāo，chǎo
0736,	串,	U+4E32,	chuàn
0737,	员,	U+5458,	yuán，yùn
0738,	呐,	U+5450,	nà
0739,	听,	U+542C,	tīng
0740,	吟,	U+541F,	yín
