98,98/407,fast,英[fa:st]美[fæst],,a.快的;迅速的ad.迅速地
99,99/407,old,英[əuld]美[ould],,a.老的;旧的
100,100/407,cold,英[kəut]美[kout],,a.冷的n.寒冷;感冒
101,101/407,cool,英[ku:l]美[kul],,a.凉爽的;酷
102,102/407,all,英[ɔ:l]美[ɔl],,a.全部的pron.全部ad.全部地n.全体
103,103/407,nice,英[nais]美[nais],,a.愉快的;美好的
104,104/407,green,英[gri:n]美[grin],,a.绿色的n.绿色
105,105/407,busy,英['bizi]美['bizi],,a.忙碌的
106,106/407,every,英['evri]美['evri],,a.每个的
107,107/407,fine,英[fain]美[fain],,a.美好的;健康的
108,108/407,beautiful,英[bju:tifl]美[bjutfbl],,a.美丽的;极好的
109,109/407,difficult,英['difikәlt],,.难的;不易相处的
110,110/407,young,英[jʌŋ],,a.年轻的
111,111/407,tired,英[taiәd],,a.疲劳的;厌烦的
112,112/407,strong,英[strɒŋ],,a.强壮的;强烈的
113,113/407,dear,英['diә],,a.亲爱的;贵的
114,114/407,close,英[klәuz],,a.亲密的ad.靠近vt.关闭
115,115/407,sunny,英['sʌni],,a.晴朗的;阳光充足的
116,116/407,hot,英[hɒt],,a.热的
117,117/407,any,英['eni],,a.任何的pron.任何ad.稍微
118,118/407,easy,英['i:zi],,a.容易的
119,119/407,angry,英['æŋgri],,a.生气的;愤怒的
120,120/407,late,英[leit],,a.晚的ad.迟地
121,121/407,great,英[greit],,a.伟大的ad.好极了
122,122/407,warm,英[wɒ:m],,a.温暖的;热情的
123,123/407,favourite,英['feivәrit],(美favorite),a.喜爱的n.特别喜爱的人或物
124,124/407,small,英[smɒ:l],,a.小的;少的
125,125/407,little,英['litl],(less;least),a.小的;少的ad.很少地n.一点
126,126/407,new,英[nju:],,a.新的
127,127/407,happy,英['hæpi],,a.幸福的;快乐的
128,128/407,some,英[sʌm],,a.一些;有些
129,129/407,English,英['iŋgliʃ],,a.英国的;英语的n.英语
130,130/407,ill,英[il],,a.有病的;不健康的
131,131/407,windy,英['windi],,a.有风的;多风的
132,132/407,interesting,英['intristiŋ],,a.有趣的
133,133/407,dirty,英['dә:ti],,a.脏的
134,134/407,early,英['ә:li],,a.早的ad.早地
135,135/407,long,英[lɒŋ],,a.长的ad.长久
136,136/407,Chinese,英[tʃai'ni:z],,a.中国的;中国人的;n.中国人;中文
137,137/407,heavy,英['hevi],,a.重的
138,138/407,next,英['nekst],,a.最近的;下一次ad.随后
139,139/407,left,英[left],,a.左边的ad.向左n.左边
140,140/407,why,英[hwai],,ad.&int.为什么
141,141/407,today,英[tә'dei],,ad.&n.今天;当前
142,142/407,tomorrow,英[tә'mɒ:rәu],,ad.&n.明天
143,143/407,under,英['ʌndә-],,ad.&prep.在下面
144,144/407,not,英[nɒt],,ad.不;没
145,145/407,then,英[ðen],,ad.当时;然后
146,146/407,much,英[mʌtʃ],(more;most),ad.非常;更加
147,147/407,well,英[wel],(better;best),ad.好a.好的int.那么
148,148/407,very,英['veri],,ad.很;非常
149,149/407,often,英['ɒ:fn],,ad.经常;常常
150,150/407,slow,英[slәu],,ad.慢慢地
151,151/407,yes,英[jes],,ad.是:同意
152,152/407,now,英[nau],,ad.现在
153,153/407,up,英[ʌp],,ad.向上a.上面的n.上升
154,154/407,too,英[tu:],,ad.也;太;非常
155,155/407,also,英['ɒ:lsәu],,ad.也conj.另外
156,156/407,sometimes,英['sʌmtaimz],(at times),ad.有时
157,157/407,again,英[ә'gein],,ad.再一次;再
158,158/407,where,英[hwєә],,ad.在哪里
159,159/407,here,英[hiә],,ad.在这里
160,160/407,how,英[hau],,ad.怎样;多少
161,161/407,always,英['ɒ:lweiz],,ad.总是;永远
162,162/407,but,英[bʌt],,conj.但是prep.除.....以外ad.只不过....
163,163/407,when,英[hwen],,conj.当....的时候
164,164/407,or,英[ɒ:],,conj.或;否则
165,165/407,welcome,英['welkәm],,int.n.&v.欢迎a.受欢迎的
166,166/407,goodbye,英[gud'bai],(bye),int.再见
167,167/407,after,英['ɑ:ftә],,prep&conj.S.............之后ad.以后a.后来的
168,168/407,of,英[ɒv],,prep当中的
169,169/407,from,英[frɒm],,prep.从...起;来自
170,170/407,like,英[laik],,prep.跟...一样vt.喜欢
171,171/407,with,英[wið;wiθ],,prep.关于;和
172,172/407,for,英[fɔ:(r);fә(r)],,prep.为了...conj.因为
173,173/407,down,英[daun],,prep.沿....而下ad.向下
174,174/407,behind,英[bi'haind],,prep.在....后面ad.在后面;向后
175,175/407,by,英[baɪ],,prep.在....旁;乘坐……ad.经过
176,176/407,beside,英[bi'said],,prep.在...旁边;靠近
177,177/407,on,英[ɒn],,prep.在....上
178,178/407,before,英[bi'fɒ:],,prep.在....之前conj.在……之前a.从前
179,179/407,between,英[bi'twi:n],,prep.在.....中间ad.当中
180,180/407,your,英[juә],,pron.你的;你们的
181,181/407,what,英[hwɒt],,pron.什么a.多么
182,182/407,who,英[hu:],,pron.谁
183,183/407,whose,英[hu:z],,pron.谁的
184,184/407,him,英[him],,pron.他（宾格）
185,185/407,them,英[ðem; ðəm],,pron.他/她/它们（宾格）
186,186/407,his,英[hiz],,pron.他的
187,187/407,they,英[ðei],,pron.他们;人们
188,188/407,their,英[ðєә],,proa他们的
189,189/407,its,英[its],,pron.它的
190,190/407,she,英[ʃi:],,pron.她
191,191/407,her,英[hә:],,pron.她;她的
192,192/407,me,英[mi:],,pron.我
193,193/407,my,英[mai],,pron.我的
194,194/407,our,英['auә],,pron我们的
195,195/407,many,英['meni],(more;most),pron.许多人a.许多的
196,196/407,yesterday,英['jestәdi],,n.&ad.昨天
197,197/407,aunt,英[ɑ:nt],,n.阿姨;舅母
198,198/407,dad,英[dæd],,n.爸爸
199,199/407,class,英[klɑ:s],,n.班;班级
200,200/407,evening,英['i:vniŋ],,n.傍晚;晚上
201,201/407,back,英[bæk],,n.背a.背部的ad.以前
202,202/407,nose,英[nәuz],,n.鼻子
203,203/407,arm,英[ɑ:m],,n.臂;手臂
204,204/407,ice,英[ais],,n.冰
205,205/407,playground,英['pleigraund],,n.操场
206,206/407,grass,英[græs],,n.草;草地
207,207/407,toilet,英['tɒilit],,n.厕所
208,208/407,tea,英[ti:],,n.茶;茶叶
209,209/407,supermarket,英['sju:pәmɑ:kit],,n.超级市场;超市
210,210/407,city,英['siti],,n.城市
211,211/407,taxi,英['tæksi],,n.出租汽车
212,212/407,kitchen,英['kitʃin],,n.厨房
213,213/407,ship,英[ʃip],,n.船v.用船装运
214,214/407,window,英['windәu],,n.窗户
215,215/407,bed,英[bed],,n.床
216,216/407,spring,英[spriŋ],,n.春天;泉水
217,217/407,word,英[wә:d],,n.词;单词;话
218,218/407,bag,英[bæg],,n.袋;包
219,219/407,egg,英[eg],,n.蛋;卵
220,220/407,cake,英[keik],,n.蛋糕;饼
221,221/407,rice,英[rais],,n.稻米;米饭
222,222/407,place,英[pleis],,n.地方v.放置
223,223/407,floor,英[flɒ:],,n.地面;楼层
224,224/407,map,英[mæp],,n.地图
225,225/407,film,英[film],,n.电影
226,226/407,cinema,英['sinәmә],,n.电影院;电影
227,227/407,computer,英[kәm'pju:tә],,n.电脑;电子计算机
228,228/407,email,英['i:'meil],,n.电子邮件v.发电子邮件
229,229/407,winter,英['wintә],,n.冬天
230,230/407,animal,英['ænimәl],,n.动物a.动物的
231,231/407,zoo,英[zu:]美[zu],,n.动物园
232,232/407,shorts,英[ʃɔ:ts],,n.短裤
233,233/407,socks,英[sɒks],,n.短袜
234,234/407,car,英[kɑ:],,n.耳朵;听力
235,235/407,room,英[ru:m],,n.房间;空间
236,236/407,house,英[haus],,n.房子;住宅
237,237/407,fly,英[flai],,n.飞行;苍蝇
238,238/407,plane,英[plein],,n.飞机
239,239/407,minute,英['minit. mai'nju:t],,n.分钟;一会儿
240,240/407,kite,英[kait],,n.风筝
241,241/407,Mrs.,英['misiz],(mistrcss),n.夫人
242,242/407,parent,英['perәnt],,n.父母;双亲
243,243/407,father,英['fɑ:ðә],,n.父亲
244,244/407,woman,英['wumәn],(复women),n.妇女;女人
245,245/407,pen,英[pen],,n.钢笔;笔
246,246/407,song,英[sɒŋ],,n.歌唱;歌曲
247,247/407,worker,英['wә:kә],,n.工人;工作者
248,248/407,bus,英[bʌs],,n.公共汽车;大巴车
249,249/407,park,英[pɑ:k],,n.公园v.停车
250,250/407,dog,英[dɒg],,n.狗
251,251/407,story,英['stɒ:ri],,n.故事;小说
252,252/407,light,英[lait],,n.光;灯v.点火a.明亮的
253,253/407,child,英[tʃaild],(复children),n.孩子;儿童
254,254/407,box,英[bɒks],,n.盒子v.拳击
255,255/407,blackboard,英['blækbɒ:d],,n.黑板
256,256/407,red,英[red],,n.红色a.红色的
257,257/407,monkey,英['mʌŋki],,n.猴子
258,258/407,lake,英[leik],,n.湖
259,259/407,nurse,英[nә:s],,n.护士
260,260/407,flower,英['flauә],,n.花
261,261/407,train,英[trein],,n.火车v.培训
262,262/407,machine,英[mә'ʃi:n],,n.机器
263,263/407,chicken,英['tʃikin],,n.鸡;鸡肉a.胆怯的
264,264/407,season,英['si:zn],,n.季节
265,265/407,home,英[hәum],,n.家ad.到家
266,266/407,family,英['fæmәli],,n.家庭
267,267/407,holiday,英['hɒlәdi],,n.假期
268,268/407,river,英['rivә],,n.江;河
269,269/407,teacher,英['ti:tʃә],,n.教师
270,270/407,street,英[stri:t],,n.街;街道
271,271/407,sister,英['sistә],,n.姐;妹
272,272/407,police,英[pә'li:s],,n.警察
273,273/407,orange,英['ɒ:rindʒ],,n.橘子a.橘色的
274,274/407,party,英['pɑ:ti],,n.聚会;党派
275,275/407,science,英['saiәns],,n.科学
276,276/407,lesson,英['lesn],,n.课;教训
277,277/407,trousers,英['trauzәz],,n.裤子
278,278/407,crayon,英['kreiәn],,n.蜡笔
279,279/407,blue,英[blu:],,n.蓝色a.蓝色的
280,280/407,basketball,英['bɑ:skitbɒ:l],,n.篮球
281,281/407,tiger,英['taigә],,n.老虎
282,282/407,dress,英[dres],,n.连衣裙v.穿衣
283,283/407,face,英[feis],,n.脸v.面向
284,284/407,way,英[wei],,n.路;方式
285,285/407,mum,英[mʌm],,n.妈妈
286,286/407,horse,英[hɒ:s],,n.马
287,287/407,cat,英[kæt],,n.猫
288,288/407,sweater,英['swetә],,n.毛衣
289,289/407,cap,英［kæp],,n.帽子
290,290/407,door,英[dɒ:],,n.门
291,291/407,sheep,英[ʃi:p],(复she叩),n.绵羊
292,292/407,bread,英[bred],,n.面包
293,293/407,noodle,英['nu:dl],,n.面条
294,294/407,card,英[kɑ:d],,n.名片;纸牌
295,295/407,name,英[neim],,n.名字v.命名
296,296/407,mother,英['mʌðә],(mom;mum),n.母亲
297,297/407,there,英[ðєә],,n.那里ad.在那里
298,298/407,grandmother,英['grændmʌðә],(grandma),n.奶奶;外婆
299,299/407,cow,英[kau],,n.奶牛
300,300/407,shirt,英[ʃә:t],,n.男衬衫
301,301/407,boy,英[bɒi],,n.男孩
302,302/407,year,英[jiә],,n.年
303,303/407,bird,英[bә:d],,n鸣
304,304/407,milk,英[milk],,n.牛奶
305,305/407,farm,英[fɑ:m],,n.农场;农庄
306,306/407,farmer,英['fɑ:mә],,n.农夫;农民
307,307/407,girl,英[gә:l],,n.女孩
308,308/407,skirt,英[skә:t],,n.裙子;短裙
309,309/407,Ms.,英[miz],,n.女士
310,310/407,friend,英[frend],,n.朋友
311,311/407,apple,英['æpl],,n.苹果
312,312/407,car,英[kɑ:],,n.汽车
313,313/407,pencil,英['pensl],,n.铅笔
314,314/407,autumn,英['ɒ:tәm],,n.秋天a.秋天的
315,315/407,ball,英[bɒ:l],,n.球;舞会
316,316/407,right,英[rait],,n.权利a.正确的;右边的ad.正确地
317,317/407,fan,英[fæn],,n.迷;爱好者;风扇
318,318/407,people,英['pi:pl],,n.人;人民;人类
319,319/407,body,英['bɒdi],,n.身体
320,320/407,birthday,英['bә:θdei],,n.生日
321,321/407,time,英[taim],,n.时间;时代;次数
322,322/407,food,英[fu:d],,n.食物
323,323/407,hand,英[hænd],,手;指针v.上交
324,324/407,book,英[buk],,n.书v.预订
325,325/407,schoolbag,英['sku:lbæ^],,n.书包
326,326/407,desk,英[desk],,n.书桌
327,327/407,uncle,英[ʌŋkl],,n.叔;伯
328,328/407,vegetable,英['vedʒәtәbl],,n.蔬菜
329,329/407,tree,英[tri:],,n.树
330,330/407,math(s),英[mæθ],(mathmatics),n.数学
331,331/407,water,英['wɒ:tә],,n.水v.浇水
332,332/407,fruit,英[fru:t],,n.水果;果实
333,333/407,driver,英['draivә],,n.司机
334,334/407,sun,英[sʌn],,n.太阳;阳光
335,335/407,soup,英[su:p],,n.汤
336,336/407,cousin,英['kʌzәn],,n.堂兄弟;堂姐妹
337,337/407,candy,英['kændi],,n.糖果
338,338/407,subject,英['sʌbdʒekt],,n.题目;主题;学科
339,339/407,PE,英[pei],(physical education),n.体育
340,340/407,sport,英[spɒ:t],,n.体育运动;运动会
341,341/407,weather,英['weðә],,n.天气
342,342/407,jump,英[dʒʌmp],,n.跳;跳跃v.跳跃
343,343/407,ruler,英['ru:lә],,n.统治者;直尺
344,344/407,head,英[hed],,n.头;标题a.主要的
345,345/407,hair,英[hєә],,n.头发
346,346/407,picture,英['piktʃә],,n.图片;照片
347,347/407,library,英['laibrәri],,n.图书馆
348,348/407,potato,英[pә'teitәu],,n.土豆;马铃薯
349,349/407,leg,英[leg],,n.腿
350,350/407,coat,英[kәut],,n.外套;大衣
351,351/407,toy,英[tɒi],,n.玩具
352,352/407,lunch,英[lʌntʃ],,n.午餐
353,353/407,tomato,英[tә'mɑ:tәu],,n.西红柿
354,354/407,wash,英[wɒʃ],,n.洗v.冲洗
355,355/407,afternoon,英['ɑ:ftә'nu:n],,n.下午
356,356/407,summer,英['sʌmә],,n.夏天
357,357/407,banana,英[bә'nɑ:nә],,n.香蕉
358,358/407,elephant,英['elifәnt],,n.象;大象
359,359/407,boat,英[bәut],,n.小船v.乘船
360,360/407,kid,英[kid],,n.小孩
361,361/407,Miss,英[mis],,n.小姐
362,362/407,hour,英[auә],,n.小时
363,363/407,pupil,英['pju:pl],,n.小学生
364,364/407,shoe,英[ʃu:],,n.鞋子
365,365/407,star,英[stɑ:],,n.星
366,366/407,Mr.,英['mistә(r)],(mister),n.先生
367,367/407,week,英[wi:k],,n.星期;周
368,368/407,brother,英['brʌðә],,n.兄;弟
369,369/407,bear,英[bєә],,n.熊v.忍受
370,370/407,panda,英['pændә],,n.熊猫
371,371/407,school,英[sku:l],,n.学校
372,372/407,snow,英[snәu],,n.雪v.下雪
373,373/407,duck,英[dʌk],,n.鸭子
374,374/407,colour,英['kʌlә],(color),n.颜色
375,375/407,eye,英[ai],,n.眼睛
376,376/407,grandfather,英['grændfɑ:ðә],(grandpa),n.爷爷;外公
377,377/407,night,英[nait],,n.夜间
378,378/407,clothes,英[klәuðz],,n.衣服
379,379/407,doctor,英['dɒktә],,n.医生;博士
380,380/407,hospital,英['hɒspitәl],,n.医院
381,381/407,chair,英[tʃєә],,n.椅子
382,382/407,art,英[ɑ:t],,n.艺术a.艺术的
383,383/407,music,英['mju:zik],,n.音乐;乐曲
384,384/407,baby,英['beibi],,n.婴儿
385,385/407,game,英[geim],,n.游戏;比赛
386,386/407,fish,英[fiʃ],,n.鱼v.钓鱼
387,387/407,rain,英[rein],,n.雨v.下雨
388,388/407,umbrella,英[ʌm'brelә],,n.雨伞
389,389/407,month,英[mʌnθ],,n.月;月份
390,390/407,moon,英[mu:n],,n.月球;月光
391,391/407,breakfast,英['brekfәst],,n.早餐
392,392/407,morning,英['mɒ:niŋ],,n.早晨
393,393/407,photo,英['fәutәu],(photography),n.照片
394,394/407,dinner,英['dinә],,n.正餐
395,395/407,juice,英[dʒu:s],,n.汁液
396,396/407,China,英['tʃainә],,n.中国;瓷器
397,397/407,clock,英[klɒk],,n.钟
398,398/407,kind,英[kaind],,n.种;类
399,399/407,pig,英[pig],,n.猪
400,400/407,idea,英[ai'diә],,n.主意;想法
401,401/407,table,英['teibl],,n.桌子;表格
402,402/407,bike,英[baik],(bicycle),n.自行车
403,403/407,brown,英[braun],,n棕色a.棕色的
404,404/407,foot,英[fut],(feet),n.脚;英尺
405,405/407,football,英['futbɒ:l],,n.足球;橄榄球
406,406/407,mouth,英[mauθ],,n.嘴
407,407/407,day,英[dei],,n.一天;白;天
